# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.381
metadata : {}


# id : NWRW1800000048.381.1.1
[아침 햇발] 강인한 사람들, 박근혜·김무성·박원순… / 박용현

[아침	[/SS+아침/NNG
햇발]	햇발/NNG+]/SS
강인한	강인하/VA+ㄴ/ETM
사람들,	사람/NNG+들/XSN+,/SP
박근혜·김무성·박원순…	박근혜/NNP+·/SP+김무성/NNP+·/SP+박원순/NNP+…/SE
/	//SP
박용현	박용현/NNP


# id : NWRW1800000048.381.2.1
조희연 서울시교육감에게 일부 무죄를 선고한 항소심 판결은 의미심장하다.

조희연	조희연/NNP
서울시교육감에게	서울시/NNP+교육감/NNG+에게/JKB
일부	일부/NNG
무죄를	무죄/NNG+를/JKO
선고한	선고/NNG+하/XSV+ㄴ/ETM
항소심	항소심/NNG
판결은	판결/NNG+은/JX
의미심장하다.	의미심장하/VA+다/EF+./SF


# id : NWRW1800000048.381.2.2
선거 때 상대 후보인 고승덕 전 의원에 대해 △‘미국 영주권을 보유하고 있다’는 사실을 주장한 것과 △‘그런 의혹이 있다’는 사실을 주장한 것을 구분한 게 핵심이다.

선거	선거/NNG
때	때/NNG
상대	상대/NNG
후보인	후보/NNG+이/VCP+ㄴ/ETM
고승덕	고승덕/NNP
전	전/MMD
의원에	의원/NNG+에/JKB
대해	대하/VV+아/EC
△‘미국	△/SW+‘/SS+미국/NNP
영주권을	영주/NNG+권/XSN+을/JKO
보유하고	보유/NNG+하/XSV+고/EC
있다’는	있/VA+다/EF+’/SS+는/ETM
사실을	사실/NNG+을/JKO
주장한	주장/NNG+하/XSV+ㄴ/ETM
것과	것/NNB+과/JC
△‘그런	△/SW+‘/SS+그런/MMD
의혹이	의혹/NNG+이/JKS
것을	것/NNB+을/JKO
구분한	구분/NNG+하/XSV+ㄴ/ETM
게	거/NNB+이/JKS
핵심이다.	핵심/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.381.2.3
혹자는 ‘기교적’ 판결이라고 비판하는데, 엇비슷해 보이는 현상들에서 본질상 다른 측면을 분리해 각각에 맞는 법 원칙을 적용하는 것이야말로 법률적 추론의 기본이다.

혹자는	혹자/NNG+는/JX
‘기교적’	‘/SS+기교/NNG+적/XSN+’/SS
판결이라고	판결/NNG+이/VCP+라고/EC
비판하는데,	비판/NNG+하/XSV+는데/EC+,/SP
엇비슷해	엇비슷하/VA+아/EC
보이는	보이/VV+는/ETM
현상들에서	현상/NNG+들/XSN+에서/JKB
본질상	본질/NNG+상/XSN
다른	다른/MMD
측면을	측면/NNG+을/JKO
분리해	분리/NNG+하/XSV+아/EC
각각에	각각/NNG+에/JKB
맞는	맞/VV+는/ETM
법	법/NNG
원칙을	원칙/NNG+을/JKO
적용하는	적용/NNG+하/XSV+는/ETM
것이야말로	것/NNB+이야말로/JX
법률적	법률/NNG+적/XSN
추론의	추론/NNG+의/JKG
기본이다.	기본/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.381.3.1
마침 이런 구분이 왜 필요한지 보여주는 사례가 있다.

마침	마침/MAG
이런	이런/MMD
구분이	구분/NNG+이/JKS
왜	왜/MAG
필요한지	필요/NNG+하/XSA+ㄴ지/EF
보여주는	보이/VV+어/EC+주/VX+는/ETM
사례가	사례/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.381.3.2
김무성 새누리당 대표 사위의 마약 사건이다.

김무성	김무성/NNP
새누리당	새누리당/NNP
대표	대표/NNG
사위의	사위/NNG+의/JKG
마약	마약/NNG
사건이다.	사건/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.381.3.3
김 대표가 대선 후보라고 가정해보자.

김	김/NNP
대표가	대표/NNG+가/JKS
대선	대선/NNG
후보라고	후보/NNG+이/VCP+라고/EC
가정해보자.	가정/NNG+하/XSV+아/EC+보/VX+자/EF+./SF


# id : NWRW1800000048.381.3.4
‘김 대표의 영향력으로 부실 수사와 봐주기 재판이 이뤄졌다’고 주장하려면 “그런 사실의 존재를 수긍할 만한 소명자료를 제시”(대법원 판례)해야 한다.

‘김	‘/SS+김/NNP
대표의	대표/NNG+의/JKG
영향력으로	영향력/NNG+으로/JKB
부실	부실/NNG
수사와	수사/NNG+와/JC
봐주기	봐주/VV+기/ETN
재판이	재판/NNG+이/JKS
이뤄졌다’고	이뤄지/VV+었/EP+다/EF+’/SS+고/JKQ
주장하려면	주장/NNG+하/XSV+려면/EC
“그런	“/SS+그런/MMD
사실의	사실/NNG+의/JKG
존재를	존재/NNG+를/JKO
수긍할	수긍/NNG+하/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
소명자료를	소명/NNG+자료/NNG+를/JKO
제시”(대법원	제시/NNG+”/SS+(/SS+대/XPN+법원/NNG
판례)해야	판례/NNG+)/SS+하/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000048.381.3.5
‘그런 의혹이 있다’는 주장에도 똑같은 기준이 적용된다면 지금 쏟아지는 의혹제기 보도는 모두 처벌될 수 있다.

‘그런	‘/SS+그런/MMD
의혹이	의혹/NNG+이/JKS
있다’는	있/VA+다/EF+’/SS+는/ETM
주장에도	주장/NNG+에/JKB+도/JX
똑같은	똑같/VA+은/ETM
기준이	기준/NNG+이/JKS
적용된다면	적용/NNG+되/XSV+ㄴ다면/EC
