# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.254
metadata : {}


# id : NWRW1800000037.254.1.1
호랑이들이 주름잡네, KLPGA 정글

호랑이들이	호랑이/NNG+들/XSN+이/JKS
주름잡네,	주름잡/VV+네/EF+,/SP
KLPGA	KLPGA/SL
정글	정글/NNG


# id : NWRW1800000037.254.2.1
■ 고려대 여학생들 초강세 김세영, 시즌 최다승-상금 1위 질주 한국오픈

■	■/SW
고려대	고려대/NNP
여학생들	여학생/NNG+들/XSN
초강세	초/XPN+강세/NNG
김세영,	김세영/NNP+,/SP
시즌	시즌/NNG
최다승-상금	최/XPN+다승/NNG+-/SO+상금/NNG
1위	1/SN+위/NNB
질주	질주/NNG
한국오픈	한국/NNP+오픈/NNG


# id : NWRW1800000037.254.3.1
우승 전인지, 신인왕 노려 슈퍼 루키 김효주도 내년 합류할 듯

우승	우승/NNG
전인지,	전인지/NNP+,/SP
신인왕	신인왕/NNG
노려	노리/VV+어/EF
슈퍼	슈퍼/NNG
루키	루키/NNG
김효주도	김효주/NNP+도/JX
내년	내년/NNG
합류할	합류/NNG+하/XSV+ㄹ/ETM
듯	듯/NNB


# id : NWRW1800000037.254.4.1
올 시즌 한국 여자프로골프(KLPGA) 투어에는 ‘맹호’들의 활약이 두드러진다.

올	올/NNG
시즌	시즌/NNG
한국	한국/NNP
여자프로골프(KLPGA)	여자/NNG+프로/NNG+골프/NNG+(/SS+KLPGA/SL+)/SS
투어에는	투어/NNG+에/JKB+는/JX
‘맹호’들의	‘/SS+맹호/NNG+’/SS+들/XSN+의/JKG
활약이	활약/NNG+이/JKS
두드러진다.	두드러지/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.254.4.2
학교 동물이 호랑이인 고려대에 다니고 있는 선수들이 필드를 주름잡고 있다.

학교	학교/NNG
동물이	동물/NNG+이/JKS
호랑이인	호랑이/NNG+이/VCP+ㄴ/ETM
고려대에	고려대/NNP+에/JKB
다니고	다니/VV+고/EC
있는	있/VX+는/ETM
선수들이	선수/NNG+들/XSN+이/JKS
필드를	필드/NNG+를/JKO
주름잡고	주름잡/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.254.4.3
올 시즌 열린 2개 메이저 대회 우승 트로피를 나눠 가진 김세영(20)과 전인지(19)가 대표적이다.

올	올/NNG
시즌	시즌/NNG
열린	열리/VV+ㄴ/ETM
2개	2/SN+개/NNB
메이저	메이저/NNG
대회	대회/NNG
우승	우승/NNG
트로피를	트로피/NNG+를/JKO
나눠	나누/VV+어/EC
가진	가지/VV+ㄴ/ETM
김세영(20)과	김세영/NNP+(/SS+20/SN+)/SS+과/JC
전인지(19)가	전인지/NNP+(/SS+19/SN+)/SS+가/JKS
대표적이다.	대표/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000037.254.5.1
사회체육과 3학년인 김세영은 올 시즌 국내 개막전인 롯데마트오픈 우승에 이어 9월 들어 2주 연속 한화금융클래식과 KLPGA 챔피언십을 휩쓸었다.

사회체육과	사회체육과/NNG
3학년인	3/SN+학년/NNG+이/VCP+ㄴ/ETM
김세영은	김세영/NNP+은/JX
올	올/NNG
시즌	시즌/NNG
국내	국내/NNG
개막전인	개막전/NNG+이/VCP+ㄴ/ETM
