# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.243
metadata : {}


# id : NWRW1800000048.243.1.1
[단독] 취소 기준 또 완화…교육부 도넘은 ‘자사고 구하기’

[단독]	[/SS+단독/NNG+]/SS
취소	취소/NNG
기준	기준/NNG
또	또/MAG
완화…교육부	완화/NNG+…/SE+교육부/NNG
도넘은	도/NNG+넘/VV+은/ETM
‘자사고	‘/SS+자사고/NNG
구하기’	구하/VV+기/ETN+’/SS


# id : NWRW1800000048.243.2.1
교육부가 자율형사립고(자사고)의 적정 운영 여부를 평가하는 시·도교육청들에 자사고 지정 취소를 훨씬 까다롭게 한 평가안을 제시했다.

교육부가	교육부/NNG+가/JKS
자율형사립고(자사고)의	자율/NNG+형/XSN+사립고/NNG+(/SS+자사고/NNG+)/SS+의/JKG
적정	적정/NNG
운영	운영/NNG
여부를	여부/NNG+를/JKO
평가하는	평가/NNG+하/XSV+는/ETM
시·도교육청들에	시·도/NNG+교육청/NNG+들/XSN+에/JKB
자사고	자사고/NNG
지정	지정/NNG
취소를	취소/NNG+를/JKO
훨씬	훨씬/MAG
까다롭게	까다롭/VA+게/EC
한	하/VX+ㄴ/ETM
평가안을	평가/NNG+안/NNG+을/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.243.2.2
이미 장관의 동의 없이는 지정 취소를 못 하게 한 교육부가 ‘입시 위주 학교로 변질돼 사교육을 유발하고 일반고를 황폐화하는 등 폐해를 키웠다’는 눈총을 받는 자사고를 지나치게 두둔한다는 지적이 나온다.

이미	이미/MAG
장관의	장관/NNG+의/JKG
동의	동의/NNG
없이는	없이/MAG+는/JX
지정	지정/NNG
취소를	취소/NNG+를/JKO
못	못/MAG
하게	하/VV+게/EC
한	하/VX+ㄴ/ETM
교육부가	교육부/NNG+가/JKS
‘입시	‘/SS+입시/NNG
위주	위주/NNG
학교로	학교/NNG+로/JKB
변질돼	변질/NNG+되/XSV+어/EC
사교육을	사교육/NNG+을/JKO
유발하고	유발/NNG+하/XSV+고/EC
일반고를	일반고/NNG+를/JKO
황폐화하는	황폐/NNG+화/XSN+하/XSV+는/ETM
등	등/NNB
폐해를	폐해/NNG+를/JKO
키웠다’는	키우/VV+었/EP+다/EF+’/SS+는/ETM
눈총을	눈총/NNG+을/JKO
받는	받/VV+는/ETM
자사고를	자사고/NNG+를/JKO
지나치게	지나치/VA+게/EC
두둔한다는	두둔/NNG+하/XSV+ㄴ다는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.243.2.3
