# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.160
metadata : {}


# id : NWRW1800000024.160.1.1
‘4대강 살리기’ 김해지역 보상 타결

‘4대강	‘/SS+4/SN+대/NNG+강/NNG
살리기’	살리/VV+기/ETN+’/SS
김해지역	김해/NNP+지역/NNG
보상	보상/NNG
타결	타결/NNG


# id : NWRW1800000024.160.2.1
4대강 살리기 사업과 관련해 경남 김해시의 낙동강변 사업구역에 대한 보상이 일괄타결됐다.

4대강	4/SN+대/NNG+강/NNG
살리기	살리/VV+기/ETN
사업과	사업/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
경남	경남/NNP
김해시의	김해시/NNP+의/JKG
낙동강변	낙동강/NNP+변/NNG
사업구역에	사업/NNG+구역/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
보상이	보상/NNG+이/JKS
일괄타결됐다.	일괄/NNG+타결/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.160.3.1
경남도는 12일 김해시 하천 환경정비사업 구역에 포함된 하천 터에 대한 경작자와 김해시 간 보상협약식을 13일 연다고 밝혔다.

경남도는	경남도/NNP+는/JX
12일	12/SN+일/NNB
김해시	김해시/NNP
하천	하천/NNG
환경정비사업	환경/NNG+정비/NNG+사업/NNG
구역에	구역/NNG+에/JKB
포함된	포함/NNG+되/XSV+ㄴ/ETM
터에	터/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
경작자와	경작자/NNG+와/JC
간	간/NNB
보상협약식을	보상/NNG+협약식/NNG+을/JKO
13일	13/SN+일/NNB
연다고	열/VV+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.160.3.2
이 지역은 4대강 살리기 사업의 본보기로 삼아 먼저 추진하는 선도지구로 선정된 곳이다.

이	이/MMD
지역은	지역/NNG+은/JX
4대강	4/SN+대/NNG+강/NNG
살리기	살리/VV+기/ETN
사업의	사업/NNG+의/JKG
본보기로	본보기/NNG+로/JKB
삼아	삼/VV+아/EC
먼저	먼저/MAG
추진하는	추진/NNG+하/XSV+는/ETM
선도지구로	선도/NNG+지구/NNG+로/JKB
선정된	선정/NNG+되/XSV+ㄴ/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.160.4.1
보상협약 대상 지역의 면적은 146만㎡이며, 현재 265명이 1678개동의 비닐하우스를 지어 경작하고 있다.

보상협약	보상/NNG+협약/NNG
대상	대상/NNG
지역의	지역/NNG+의/JKG
면적은	면적/NNG+은/JX
146만㎡이며,	146/SN+만/NR+㎡/SW+이/VCP+며/EC+,/SP
현재	현재/MAG
265명이	265/SN+명/NNB+이/JKS
1678개동의	1678/SN+개/NNB+동/NNB+의/JKG
비닐하우스를	비닐하우스/NNG+를/JKO
지어	짓/VV+어/EC
경작하고	경작/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.160.4.2
김해시는 이들 경작자에게 보상비로 194억원을 지급하기로 했다.

김해시는	김해시/NNP+는/JX
이들	이/NP+들/XSN
경작자에게	경작자/NNG+에게/JKB
보상비로	보상비/NNG+로/JKB
194억원을	194/SN+억/NR+원/NNB+을/JKO
지급하기로	지급/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.160.4.3
경작자는 7월 말까지 보상금을 수령하고, 8월 말까지 모든 시설물을 자진철거하며, 재배하고 있는 농작물도 수확을 서둘러 끝내며 이후에는 경작하지 않기로 했다.

경작자는	경작자/NNG+는/JX
7월	7/SN+월/NNB
말까지	말/NNB+까지/JX
보상금을	보상금/NNG+을/JKO
수령하고,	수령/NNG+하/XSV+고/EC+,/SP
8월	8/SN+월/NNB
모든	모든/MMN
시설물을	시설물/NNG+을/JKO
자진철거하며,	자진/NNG+철거/NNG+하/XSV+며/EC+,/SP
재배하고	재배/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
농작물도	농작물/NNG+도/JX
수확을	수확/NNG+을/JKO
서둘러	서두르/VV+어/EC
끝내며	끝내/VV+며/EC
이후에는	이후/NNG+에/JKB+는/JX
경작하지	경작/NNG+하/XSV+지/EC
않기로	않/VX+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.160.5.1
이 지역에서 4대강 살리기 사업은 환경영향평가 등을 거친 뒤 오는 9월 착공돼 2011년 마무리될 예정이다.

이	이/MMD
지역에서	지역/NNG+에서/JKB
4대강	4/SN+대/NNG+강/NNG
살리기	살리/VV+기/ETN
사업은	사업/NNG+은/JX
환경영향평가	환경/NNG+영향/NNG+평가/NNG
등을	등/NNB+을/JKO
거친	거치/VV+ㄴ/ETM
뒤	뒤/NNG
오는	오/VV+는/ETM
9월	9/SN+월/NNB
착공돼	착공/NNG+되/XSV+어/EC
2011년	2011/SN+년/NNB
마무리될	마무리/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.160.6.1
이에 앞서 지난해 말 경작자들은 보상대책위를 구성해 자신들의 의견을 김해시에 냈으며, 김해시는 지난해 말 기준으로 점용허가기간이 끝나는 곳에 대해 8월 말까지 허가기간을 연장해 주면서 일괄보상을 추진해왔다.

이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
지난해	지난해/NNG
말	말/NNB
경작자들은	경작자/NNG+들/XSN+은/JX
보상대책위를	보상/NNG+대책위/NNG+를/JKO
구성해	구성/NNG+하/XSV+아/EC
자신들의	자신/NNG+들/XSN+의/JKG
의견을	의견/NNG+을/JKO
김해시에	김해시/NNP+에/JKB
냈으며,	내/VV+었/EP+으며/EC+,/SP
김해시는	김해시/NNP+는/JX
기준으로	기준/NNG+으로/JKB
점용허가기간이	점용/NNG+허가/NNG+기간/NNG+이/JKS
끝나는	끝나/VV+는/ETM
곳에	곳/NNG+에/JKB
대해	대하/VV+아/EC
8월	8/SN+월/NNB
말까지	말/NNB+까지/JX
허가기간을	허가/NNG+기간/NNG+을/JKO
연장해	연장/NNG+하/XSV+아/EC
주면서	주/VX+면서/EC
일괄보상을	일괄/NNG+보상/NNG+을/JKO
추진해왔다.	추진/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


