# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.3
metadata : {}


# id : NWRW1800000049.3.1.1
中企 수출판로 뚫은 대학생 무역전문가들

中企	中企/SH
수출판로	수출/NNG+판로/NNG
뚫은	뚫/VV+은/ETM
대학생	대학/NNG+생/XSN
무역전문가들	무역/NNG+전문가/NNG+들/XSN


# id : NWRW1800000049.3.2.1
‘반려견용 샤워기’ 지원 숭실대팀, 年매출 4배 늘려 무협 최우수상

‘반려견용	‘/SS+반려견/NNG+용/XSN
샤워기’	샤워기/NNG+’/SS
지원	지원/NNG
숭실대팀,	숭실대/NNP+팀/NNG+,/SP
年매출	年/SH+매출/NNG
4배	4/SN+배/NNG
늘려	늘리/VV+어/EC
무협	무협/NNP
최우수상	최우수상/NNG


# id : NWRW1800000049.3.3.1
“까다로운 호주 바이어의 요구에 3차원(3D) 프린터로 샘플을 만들어 보내줬습니다.

“까다로운	“/SS+까다롭/VA+ㄴ/ETM
호주	호주/NNP
바이어의	바이어/NNG+의/JKG
요구에	요구/NNG+에/JKB
3차원(3D)	3/SN+차원/NNG+(/SS+3/SN+D/SL+)/SS
프린터로	프린터/NNG+로/JKB
샘플을	샘플/NNG+을/JKO
만들어	만들/VV+어/EC
보내줬습니다.	보내/VV+어/EC+주/VX+었/EP+습니다/EF+./SF


# id : NWRW1800000049.3.3.2
이제야 신뢰가 생겼는지 곧 발주를 마무리할 것 같네요.”

이제야	이제야/MAG
신뢰가	신뢰/NNG+가/JKS
생겼는지	생기/VV+었/EP+는지/EC
곧	곧/MAG
발주를	발주/NNG+를/JKO
마무리할	마무리/NNG+하/XSV+ㄹ/ETM
것	것/NNB
같네요.”	같/VA+네/EF+요/JX+./SF+”/SS


# id : NWRW1800000049.3.4.1
여느 기업인 못지않은 진지함이 묻어났다.

여느	여느/MMA
기업인	기업인/NNG
못지않은	못지않/VA+은/ETM
진지함이	진지하/VA+ㅁ/ETN+이/JKS
묻어났다.	묻어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.3.4.2
김유관 씨(24·숭실대 글로벌통상학과 3년)는 “최근엔 영국의 한 바이어가 샘플 300개를 주문했고, 곧 독일 프랑크푸르트 국제 소비재 박람회 참가로 출국한다”며 바쁜 일정을 전했다.

김유관	김유관/NNP
씨(24·숭실대	씨/NNB+(/SS+24/SN+·/SP+숭실대/NNP
글로벌통상학과	글로벌/NNG+통상/NNG+학과/NNG
3년)는	3/SN+년/NNB+)/SS+는/JX
“최근엔	“/SS+최근/NNG+에/JKB+ㄴ/JX
영국의	영국/NNP+의/JKG
한	한/MMN
바이어가	바이어/NNG+가/JKS
샘플	샘플/NNG
300개를	300/SN+개/NNB+를/JKO
주문했고,	주문/NNG+하/XSV+았/EP+고/EC+,/SP
곧	곧/MAG
독일	독일/NNP
프랑크푸르트	프랑크푸르트/NNP
국제	국제/NNG
소비재	소비재/NNG
박람회	박람회/NNG
참가로	참가/NNG+로/JKB
출국한다”며	출국/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
바쁜	바쁘/VA+ㄴ/ETM
일정을	일정/NNG+을/JKO
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.3.5.1
사실 그는 선후배 3명과 함께 ‘숭실대 GTEP(지역특성화청년무역전문가양성사업) 사업단’에 속해 팀장으로 활동한 학생.

사실	사실/MAG
그는	그/NP+는/JX
선후배	선후배/NNG
3명과	3/SN+명/NNB+과/JKB
함께	함께/MAG
‘숭실대	‘/SS+숭실대/NNP
GTEP(지역특성화청년무역전문가양성사업)	GTEP/SL+(/SS+지역/NNG+특성/NNG+화/XSN+청년/NNG+무역/NNG+전문가/NNG+양성/NNG+사업/NNG+)/SS
사업단’에	사업단/NNG+’/SS+에/JKB
속해	속하/VV+아/EC
팀장으로	팀장/NNG+으로/JKB
활동한	활동/NNG+하/XSV+ㄴ/ETM
학생.	학생/NNG+./SF


