# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.102
metadata : {}


# id : NWRW1800000037.102.1.1
[다문화의 진화]출신국 학력 인정… 한국학교 편입 쉬워진다

[다문화의	[/SS+다문화/NNG+의/JKG
진화]출신국	진화/NNG+]/SS+출신국/NNG
학력	학력/NNG
인정…	인정/NNG+…/SE
한국학교	한국/NNP+학교/NNG
편입	편입/NNG
쉬워진다	쉬워지/VV+ㄴ다/EF


# id : NWRW1800000037.102.2.1
다문화학생 교육지원 법률안 의결… 특별학급 있는 학교로 전학도 용이

다문화학생	다문화/NNG+학생/NNG
교육지원	교육/NNG+지원/NNG
법률안	법률안/NNG
의결…	의결/NNG+…/SE
특별학급	특별/NNG+학급/NNG
있는	있/VA+는/ETM
학교로	학교/NNG+로/JKB
전학도	전학/NNG+도/JX
용이	용이/XR


# id : NWRW1800000037.102.3.1
중도입국 자녀가 출신국의 학력을 한국에서 인정받을 길이 열린다.

중도입국	중도/NNG+입국/NNG
자녀가	자녀/NNG+가/JKS
출신국의	출신국/NNG+의/JKG
학력을	학력/NNG+을/JKO
한국에서	한국/NNP+에서/JKB
인정받을	인정/NNG+받/XSV+을/ETM
길이	길/NNG+이/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.102.4.1
교육부는 22일 국무회의에서 이 같은 방안이 담긴 ‘다문화 학생 교육지원 강화를 위한 초·중등교육법 시행령 개정법률안’이 의결됐다고 밝혔다.

교육부는	교육부/NNG+는/JX
22일	22/SN+일/NNB
국무회의에서	국무/NNG+회의/NNG+에서/JKB
이	이/MMD
같은	같/VA+은/ETM
방안이	방안/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
‘다문화	‘/SS+다문화/NNG
학생	학생/NNG
교육지원	교육/NNG+지원/NNG
강화를	강화/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
초·중등교육법	초·중등/NNG+교육법/NNG
시행령	시행령/NNG
개정법률안’이	개정/NNG+법률안/NNG+’/SS+이/JKS
의결됐다고	의결/NNG+되/XSV+었/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.102.5.1
그동안 중도입국 자녀는 출신국에서의 학력증명 서류를 갖추지 못하면 학력을 제대로 인정받지 못했다.

그동안	그동안/NNG
중도입국	중도/NNG+입국/NNG
자녀는	자녀/NNG+는/JX
출신국에서의	출신국/NNG+에서/JKB+의/JKG
학력증명	학력/NNG+증명/NNG
서류를	서류/NNG+를/JKO
갖추지	갖추/VV+지/EC
못하면	못하/VX+면/EC
학력을	학력/NNG+을/JKO
제대로	제대로/MAG
인정받지	인정/NNG+받/XSV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.102.5.2
초·중·고등학교에 입학하거나 편입하기가 어려웠던 이유다.

초·중·고등학교에	초·중·고등학교/NNG+에/JKB
입학하거나	입학/NNG+하/XSV+거나/EC
편입하기가	편입/NNG+하/XSV+기/ETN+가/JKS
어려웠던	어렵/VA+었/EP+던/ETM
이유다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.102.6.1
시행령 개정에 따라 앞으로는 학력증명서를 발급받기 곤란한 학생이라도 교육감 소속의 학력심의위원회 심의를 거쳐 학력을 인정받을 수 있다.

시행령	시행령/NNG
개정에	개정/NNG+에/JKB
따라	따르/VV+아/EC
앞으로는	앞/NNG+으로/JKB+는/JX
학력증명서를	학력/NNG+증명서/NNG+를/JKO
발급받기	발급/NNG+받/XSV+기/ETN
곤란한	곤란/NNG+하/XSA+ㄴ/ETM
학생이라도	학생/NNG+이/VCP+라도/EC
교육감	교육감/NNG
소속의	소속/NNG+의/JKG
학력심의위원회	학력/NNG+심의/NNG+위원회/NNG
심의를	심의/NNG+를/JKO
거쳐	거치/VV+어/EC
학력을	학력/NNG+을/JKO
인정받을	인정/NNG+받/XSV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.102.6.2
학력심의위원회는 지금까지 북한이탈주민에게만 한정해 학력을 인정할지 심의했다.

학력심의위원회는	학력/NNG+심의/NNG+위원회/NNG+는/JX
지금까지	지금/NNG+까지/JX
북한이탈주민에게만	북한/NNP+이탈/NNG+주민/NNG+에게/JKB+만/JX
한정해	한정/NNG+하/XSV+아/EC
학력을	학력/NNG+을/JKO
인정할지	인정/NNG+하/XSV+ㄹ지/EF
심의했다.	심의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.102.7.1
또 다문화가정 학생은 교육감이 정하는 바에 따라 ‘다문화학생 특별학급’이 설치된 초등학교나 중학교로 전입학을 쉽게 할 수 있다.

또	또/MAG
다문화가정	다문화/NNG+가정/NNG
학생은	학생/NNG+은/JX
교육감이	교육감/NNG+이/JKS
정하는	정하/VV+는/ETM
바에	바/NNB+에/JKB
따라	따르/VV+아/EC
‘다문화학생	‘/SS+다문화/NNG+학생/NNG
특별학급’이	특별/NNG+학급/NNG+’/SS+이/JKS
설치된	설치/NNG+되/XSV+ㄴ/ETM
초등학교나	초등학교/NNG+나/JC
중학교로	중학교/NNG+로/JKB
전입학을	전입학/NNG+을/JKO
쉽게	쉽/VA+게/EC
할	하/VX+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.102.7.2
주소지가 있는 학구 내의 학교가 아니라도 다문화 특별학급이 설치된 학교를 고를 수 있게 한다는 뜻이다.

주소지가	주소지/NNG+가/JKS
있는	있/VA+는/ETM
학구	학구/NNG
내의	내/NNB+의/JKG
학교가	학교/NNG+가/JKC
아니라도	아니/VCN+라도/EC
다문화	다문화/NNG
특별학급이	특별/NNG+학급/NNG+이/JKS
설치된	설치/NNG+되/XSV+ㄴ/ETM
학교를	학교/NNG+를/JKO
고를	고르/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
한다는	하/VX+ㄴ다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.102.7.3
다문화 특별학급에선 한국어와 한국문화 등을 집중적으로 가르친다.

다문화	다문화/NNG
특별학급에선	특별/NNG+학급/NNG+에서/JKB+ㄴ/JX
한국어와	한국어/NNP+와/JKB
한국문화	한국/NNP+문화/NNG
등을	등/NNB+을/JKO
집중적으로	집중/NNG+적/XSN+으로/JKB
가르친다.	가르치/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.102.7.4
이 특별학급은 현재 전국의 22개 학교에서 26학급이 운영되고 있다.

이	이/MMD
특별학급은	특별/NNG+학급/NNG+은/JX
현재	현재/MAG
전국의	전국/NNG+의/JKG
22개	22/SN+개/NNB
학교에서	학교/NNG+에서/JKB
26학급이	26/SN+학급/NNG+이/JKS
운영되고	운영/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.102.8.1
개정된 시행령은 다문화 언어강사를 운영하는 근거를 함께 마련했다.

개정된	개정/NNG+되/XSV+ㄴ/ETM
시행령은	시행령/NNG+은/JX
다문화	다문화/NNG
언어강사를	언어/NNG+강사/NNG+를/JKO
운영하는	운영/NNG+하/XSV+는/ETM
근거를	근거/NNG+를/JKO
함께	함께/MAG
마련했다.	마련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.102.8.2
다문화가정의 학생에게 언어교육을 실시하고 일반 학생에 대한 다문화 이해교육을 활성화하기 위해서다.

다문화가정의	다문화/NNG+가정/NNG+의/JKG
학생에게	학생/NNG+에게/JKB
언어교육을	언어/NNG+교육/NNG+을/JKO
실시하고	실시/NNG+하/XSV+고/EC
일반	일반/NNG
학생에	학생/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
다문화	다문화/NNG
이해교육을	이해/NNG+교육/NNG+을/JKO
활성화하기	활성/NNG+화/XSN+하/XSV+기/ETN
위해서다.	위하/VV+아서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000037.102.8.3
다문화 언어강사는 중등영어 이외의 외국어 교사 자격증을 소지한 사람 중 외국어에 능통하고 교육감이 따로 정하는 자격기준을 충족해야 한다.

다문화	다문화/NNG
언어강사는	언어/NNG+강사/NNG+는/JX
중등영어	중등/NNG+영어/NNP
이외의	이외/NNG+의/JKG
외국어	외국어/NNG
교사	교사/NNG
자격증을	자격증/NNG+을/JKO
소지한	소지/NNG+하/XSV+ㄴ/ETM
사람	사람/NNG
중	중/NNB
외국어에	외국어/NNG+에/JKB
능통하고	능통하/VA+고/EC
교육감이	교육감/NNG+이/JKS
따로	따로/MAG
정하는	정하/VV+는/ETM
자격기준을	자격/NNG+기준/NNG+을/JKO
충족해야	충족/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000037.102.9.1
교육부는 시행령 개정으로 다문화가정의 학생이 보다 원만하게 학교생활에 적응할 수 있을 것으로 기대하고 있다.

교육부는	교육부/NNG+는/JX
시행령	시행령/NNG
개정으로	개정/NNG+으로/JKB
다문화가정의	다문화/NNG+가정/NNG+의/JKG
학생이	학생/NNG+이/JKS
보다	보다/MAG
원만하게	원만하/VA+게/EC
학교생활에	학교생활/NNG+에/JKB
적응할	적응/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
기대하고	기대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


