# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.274
metadata : {}


# id : NWRW1800000041.274.1.1
[횡설수설/권순활]은행 도쿄지점의 영욕

[횡설수설/권순활]은행	[/SS+횡설수설/NNG+//SP+권순활/NNP+]/SS+은행/NNG
도쿄지점의	도쿄/NNP+지점/NNG+의/JKG
영욕	영욕/NNG


# id : NWRW1800000041.274.2.1
국내 금융계에서 도쿄지점 근무는 오랫동안 ‘출세 코스’로 꼽혔다.

국내	국내/NNG
금융계에서	금융/NNG+계/XSN+에서/JKB
도쿄지점	도쿄/NNP+지점/NNG
근무는	근무/NNG+는/JX
오랫동안	오랫동안/NNG
‘출세	‘/SS+출세/NNG
코스’로	코스/NNG+’/SS+로/JKB
꼽혔다.	꼽히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.274.2.2
일본은 세계가 돌아가는 각종 정보가 모여드는 선진국이어서 선발 과정부터 인재들이 몰렸고 경쟁도 치열했다.

일본은	일본/NNP+은/JX
세계가	세계/NNG+가/JKS
돌아가는	돌아가/VV+는/ETM
각종	각종/NNG
정보가	정보/NNG+가/JKS
모여드는	모여들/VV+는/ETM
선진국이어서	선진국/NNG+이/VCP+어서/EC
선발	선발/NNG
과정부터	과정/NNG+부터/JX
인재들이	인재/NNG+들/XSN+이/JKS
몰렸고	몰리/VV+었/EP+고/EC
경쟁도	경쟁/NNG+도/JX
치열했다.	치열/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000041.274.2.3
정부 부처와 대기업의 도쿄 주재원들은 귀국 후 좋은 자리로 옮겨가는 일이 많아 은행에서 중시하는 인맥 쌓기에도 도움이 됐다.

정부	정부/NNG
부처와	부처/NNG+와/JC
대기업의	대/XPN+기업/NNG+의/JKG
도쿄	도쿄/NNP
주재원들은	주재원/NNG+들/XSN+은/JX
귀국	귀국/NNG
후	후/NNG
좋은	좋/VA+은/ETM
자리로	자리/NNG+로/JKB
옮겨가는	옮기/VV+어/EC+가/VX+는/ETM
일이	일/NNG+이/JKS
많아	많/VA+아/EC
은행에서	은행/NNG+에서/JKB
중시하는	중시/NNG+하/XSV+는/ETM
인맥	인맥/NNG
쌓기에도	쌓/VV+기/ETN+에/JKB+도/JX
도움이	도움/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.274.3.1
▷2000년대 초까지 각 은행 도쿄지점장은 임기를 마친 뒤 대부분 임원으로 승진했다.

▷2000년대	▷/SW+2000/SN+년대/NNB
초까지	초/NNB+까지/JX
각	각/MMD
은행	은행/NNG
도쿄지점장은	도쿄/NNP+지점장/NNG+은/JX
임기를	임기/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
뒤	뒤/NNG
대부분	대/XPN+부분/NNG
임원으로	임원/NNG+으로/JKB
승진했다.	승진/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.274.3.2
IBK기업은행에서 첫 내부 공채 은행장 기록을 남긴 조준희 전 행장은 도쿄지점장을 지낸 ‘일본통(通)’이다.

IBK기업은행에서	IBK기업은행/NNP+에서/JKB
첫	첫/MMN
내부	내부/NNG
공채	공채/NNG
은행장	은행장/NNG
기록을	기록/NNG+을/JKO
남긴	남기/VV+ㄴ/ETM
조준희	조준희/NNP
전	전/MMD
행장은	행장/NNG+은/JX
도쿄지점장을	도쿄/NNP+지점장/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
‘일본통(通)’이다.	‘/SS+일본통/NNG+(/SS+通/SH+)/SS+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000041.274.3.3
이백순 전 신한은행장, 최영환 전 수출입은행 부행장, 차순관 KB저축은행 대표, 백국종 우리P&S 대표, 이신기 신한금융지주 부사장도 마찬가지다.

이백순	이백순/NNP
전	전/MMD
신한은행장,	신한은행장/NNG+,/SP
최영환	최영환/NNP
수출입은행	수출입은행/NNP
부행장,	부행장/NNG+,/SP
차순관	차순관/NNP
KB저축은행	KB저축은행/NNP
대표,	대표/NNG+,/SP
백국종	백국종/NNP
우리P&S	우리P&S/NNP
이신기	이신기/NNP
신한금융지주	신한금융지주/NNP
부사장도	부사장/NNG+도/JX
마찬가지다.	마찬가지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.274.3.4
이팔성 전 우리금융그룹 회장은 지점장은 서울에서만 했지만 한일은행 도쿄지점에서 일한 적이 있다.

이팔성	이팔성/NNP
전	전/MMD
우리금융그룹	우리금융그룹/NNP
회장은	회장/NNG+은/JX
지점장은	지점장/NNG+은/JX
서울에서만	서울/NNP+에서/JKB+만/JX
했지만	하/VV+았/EP+지만/EC
한일은행	한일은행/NNP
도쿄지점에서	도쿄/NNP+지점/NNG+에서/JKB
일한	일/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.274.4.1
▷은행 도쿄지점을 둘러싼 불미스러운 사건이 잇달아 터져 나오고 있다.

▷은행	▷/SW+은행/NNG
도쿄지점을	도쿄/NNP+지점/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
