# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.75
metadata : {}


# id : NWRW1800000025.75.1.1
성원건설, 법정관리 신청서 제출

성원건설,	성원건설/NNP+,/SP
법정관리	법정/NNG+관리/NNG
신청서	신청서/NNG
제출	제출/NNG


# id : NWRW1800000025.75.2.1
자금난 악화로 최근 금융권에서 퇴출 판정을 받은 성원건설이 법원에 기업회생절차(법정관리)를 신청했다.

자금난	자금난/NNG
악화로	악화/NNG+로/JKB
최근	최근/MAG
금융권에서	금융/NNG+권/XSN+에서/JKB
퇴출	퇴출/NNG
판정을	판정/NNG+을/JKO
받은	받/VV+은/ETM
성원건설이	성원건설/NNP+이/JKS
법원에	법원/NNG+에/JKB
기업회생절차(법정관리)를	기업/NNG+회생/NNG+절차/NNG+(/SS+법정/NNG+관리/NNG+)/SS+를/JKO
신청했다.	신청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.75.3.1
성원건설은 16일 이사회를 열어 기업회생절차를 신청하기로 최종 결정하고 이날 수원지방법원에 회생절차 개시신청과 회사재산보전처분신청, 포괄적금지명령신청을 제출했다고 밝혔다.

성원건설은	성원건설/NNP+은/JX
16일	16/SN+일/NNB
이사회를	이사회/NNG+를/JKO
열어	열/VV+어/EC
기업회생절차를	기업/NNG+회생/NNG+절차/NNG+를/JKO
신청하기로	신청/NNG+하/XSV+기/ETN+로/JKB
최종	최종/NNG
결정하고	결정/NNG+하/XSV+고/EC
이날	이날/NNG
수원지방법원에	수원지방법원/NNP+에/JKB
회생절차	회생/NNG+절차/NNG
개시신청과	개시/NNG+신청/NNG+과/JC
회사재산보전처분신청,	회사/NNG+재산/NNG+보전/NNG+처분/NNG+신청/NNG+,/SP
포괄적금지명령신청을	포괄/NNG+적/XSN+금지/NNG+명령/NNG+신청/NNG+을/JKO
제출했다고	제출/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.75.4.1
1978년 설립한 성원건설은 시공능력평가가 작년 기준 50위권인 중견 건설사로 아파트 브랜드 ‘상떼빌’로 잘 알려져 있다.

1978년	1978/SN+년/NNB
설립한	설립/NNG+하/XSV+ㄴ/ETM
성원건설은	성원건설/NNP+은/JX
시공능력평가가	시공/NNG+능력/NNG+평가/NNG+가/JKS
작년	작년/NNG
기준	기준/NNG
50위권인	50/SN+위/NNB+권/XSN+이/VCP+ㄴ/ETM
중견	중견/NNG
건설사로	건설사/NNG+로/JKB
아파트	아파트/NNG
브랜드	브랜드/NNG
‘상떼빌’로	‘/SS+상떼빌/NNG+’/SS+로/JKB
잘	잘/MAG
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.75.4.2
