# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.242
metadata : {}


# id : NWRW1800000033.242.1.1
수원-서울 개천절 슈퍼매치 ‘북벌완장 vs 승리버스’

수원-서울	수원/NNP+-/SO+서울/NNP
개천절	개천절/NNG
슈퍼매치	슈퍼/NNG+매치/NNG
‘북벌완장	‘/SS+북벌/NNG+완장/NNG
vs	vs/SL
승리버스’	승리/NNG+버스/NNG+’/SS


# id : NWRW1800000033.242.2.1
“천적 굳히기”-“6연패 끊자”… 몰리나 최다 어시스트 도전

“천적	“/SS+천적/NNG
굳히기”-“6연패	굳히/VV+기/ETN+”/SS+-/SO+“/SS+6/SN+연패/NNG
끊자”…	끊/VV+자/EF+”/SS+…/SE
몰리나	몰리나/NNP
최다	최다/NNG
어시스트	어시스트/NNG
도전	도전/NNG


# id : NWRW1800000033.242.3.1
서울이 북벌(北伐) 완장의 징크스에서 벗어날 수 있을까.

서울이	서울/NNP+이/JKS
북벌(北伐)	북벌/NNG+(/SS+北伐/SH+)/SS
완장의	완장/NNG+의/JKG
징크스에서	징크스/NNG+에서/JKB
벗어날	벗어나/VV+ㄹ/ETM
수	수/NNB
있을까.	있/VA+을까/EF+./SF


# id : NWRW1800000033.242.4.1
국제축구연맹(FIFA)이 세계 7대 라이벌전으로 선정한 서울과 수원의 슈퍼매치가 징검다리 추석 연휴 마지막 날인 10월 3일 오후 2시 수원월드컵경기장에서 열린다.

국제축구연맹(FIFA)이	국제축구연맹/NNP+(/SS+FIFA/SL+)/SS+이/JKS
세계	세계/NNG
7대	7/SN+대/NNG
라이벌전으로	라이벌전/NNG+으로/JKB
선정한	선정/NNG+하/XSV+ㄴ/ETM
서울과	서울/NNP+과/JC
수원의	수원/NNP+의/JKG
슈퍼매치가	슈퍼/NNG+매치/NNG+가/JKS
징검다리	징검다리/NNG
추석	추석/NNG
연휴	연휴/NNG
마지막	마지막/NNG
날인	날/NNG+이/VCP+ㄴ/ETM
10월	10/SN+월/NNB
3일	3/SN+일/NNB
오후	오후/NNG
2시	2/SN+시/NNB
수원월드컵경기장에서	수원월드컵경기장/NNP+에서/JKB
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.242.4.2
서울을 맥 못 추게 만드는 수원의 북벌 완장이 이번에도 힘을 발휘할지가 관심거리다.

서울을	서울/NNP+을/JKO
맥	맥/NNG
못	못/MAG
추게	추/VV+게/EC
만드는	만들/VV+는/ETM
수원의	수원/NNP+의/JKG
북벌	북벌/NNG
완장이	완장/NNG+이/JKS
이번에도	이번/NNG+에/JKB+도/JX
힘을	힘/NNG+을/JKO
발휘할지가	발휘/NNG+하/XSV+ㄹ지/EF+가/JKS
관심거리다.	관심거리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.242.5.1
28일 현재 서울은 승점 73(22승 7무 4패)으로 2012시즌 K리그 선두를 달리고 있다.

28일	28/SN+일/NNB
현재	현재/MAG
서울은	서울/NNP+은/JX
승점	승점/NNG
73(22승	73/SN+(/SS+22/SN+승/NNB
7무	7/SN+무/NNB
4패)으로	4/SN+패/NNB+)/SS+으로/JKB
2012시즌	2012/SN+시즌/NNG
K리그	K/SL+리그/NNG
선두를	선두/NNG+를/JKO
달리고	달리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.242.5.2
하지만 서울은 라이벌 수원(4위·승점 56)만 만나면 다리에 힘이 풀렸다.

하지만	하지만/MAJ
서울은	서울/NNP+은/JX
라이벌	라이벌/NNG
수원(4위·승점	수원/NNP+(/SS+4/SN+위/NNB+·/SP+승점/NNG
56)만	56/SN+)/SS+만/JX
만나면	만나/VV+면/EC
다리에	다리/NNG+에/JKB
힘이	힘/NNG+이/JKS
풀렸다.	풀리/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.242.5.3
올 시즌 수원과의 두 차례 정규리그 맞대결에서 모두 0-2로 완패했다.

올	올/NNG
시즌	시즌/NNG
수원과의	수원/NNP+과/JKB+의/JKG
두	두/MMN
차례	차례/NNG
정규리그	정규/NNG+리그/NNG
맞대결에서	맞대결/NNG+에서/JKB
모두	모두/MAG
0-2로	0/SN+-/SO+2/SN+로/JKB
완패했다.	완패/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.242.5.4
서울이 올 시즌 정규리그 맞대결 성적에서 밀린 곳은 수원뿐이다.

서울이	서울/NNP+이/JKS
올	올/NNG
시즌	시즌/NNG
정규리그	정규/NNG+리그/NNG
맞대결	맞대결/NNG
성적에서	성적/NNG+에서/JKB
밀린	밀리/VV+ㄴ/ETM
곳은	곳/NNG+은/JX
수원뿐이다.	수원/NNP+뿐/JX+이/VCP+다/EF+./SF


# id : NWRW1800000033.242.5.5
6월 축구협회(FA)컵 16강전에서도 0-2로 졌다.

6월	6/SN+월/NNB
축구협회(FA)컵	축구협회/NNP+(/SS+FA/SL+)/SS+컵/NNG
16강전에서도	16/SN+강전/NNB+에서/JKB+도/JX
0-2로	0/SN+-/SO+2/SN+로/JKB
졌다.	지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.242.5.6
FA컵을 포함해 최근 수원전 6연패다.

FA컵을	FA/SL+컵/NNG+을/JKO
포함해	포함/NNG+하/XSV+아/EC
최근	최근/NNG
수원전	수원전/NNG
6연패다.	6/SN+연패/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.242.6.1
수원 앞에만 서면 움츠러드는 서울의 징크스는 공교롭게도 수원의 ‘북벌론’과 함께 시작됐다.

수원	수원/NNP
앞에만	앞/NNG+에/JKB+만/JX
서면	서/VV+면/EC
움츠러드는	움츠러들/VV+는/ETM
서울의	서울/NNP+의/JKG
징크스는	징크스/NNG+는/JX
공교롭게도	공교롭/VA+게/EC+도/JX
수원의	수원/NNP+의/JKG
‘북벌론’과	‘/SS+북벌/NNG+론/XSN+’/SS+과/JKB
함께	함께/MAG
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.242.6.2
수원 구단은 서울과의 2010년 8월 맞대결 때 북벌론을 처음 들고 나왔다.

수원	수원/NNP
구단은	구단/NNG+은/JX
서울과의	서울/NNP+과/JKB+의/JKG
2010년	2010/SN+년/NNB
8월	8/SN+월/NNB
맞대결	맞대결/NNG
때	때/NNG
북벌론을	북벌/NNG+론/XSN+을/JKO
처음	처음/NNG
들고	들/VV+고/EC
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.242.6.3
“북쪽에 있는 라이벌 서울을 정벌하자”는 것으로 이때부터 수원 팬들은 ‘북벌’이라고 쓴 플래카드를 흔들어대기 시작했다.

“북쪽에	“/SS+북쪽/NNG+에/JKB
있는	있/VA+는/ETM
라이벌	라이벌/NNG
서울을	서울/NNP+을/JKO
정벌하자”는	정벌/NNG+하/XSV+자/EF+”/SS+는/JX
것으로	것/NNB+으로/JKB
이때부터	이때/NNG+부터/JX
수원	수원/NNP
팬들은	팬/NNG+들/XSN+은/JX
‘북벌’이라고	‘/SS+북벌/NNG+’/SS+이라고/JKQ
쓴	쓰/VV+ㄴ/ETM
플래카드를	플래카드/NNG+를/JKO
흔들어대기	흔들/VV+어/EC+대/VX+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.242.7.1
수원은 북벌론 이후 서울전 2연승으로 재미를 봤다.

수원은	수원/NNP+은/JX
북벌론	북벌/NNG+론/XSN
이후	이후/NNG
서울전	서울전/NNG
2연승으로	2/SN+연승/NNG+으로/JKB
재미를	재미/NNG+를/JKO
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.242.7.2
그러자 지난해 10월 슈퍼매치부터는 아예 주장 완장에 한자로 북벌을 새겨 넣고 서울을 자극했다.

그러자	그러/VV+자/EC
지난해	지난해/NNG
10월	10/SN+월/NNB
슈퍼매치부터는	슈퍼/NNG+매치/NNG+부터/JX+는/JX
아예	아예/MAG
주장	주장/NNG
완장에	완장/NNG+에/JKB
한자로	한자/NNG+로/JKB
북벌을	북벌/NNG+을/JKO
새겨	새기/VV+어/EC
넣고	넣/VV+고/EC
서울을	서울/NNP+을/JKO
자극했다.	자극/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.242.7.3
수원은 주장의 팔에 북벌 완장을 두르게 한 뒤 치른 서울전 4경기도 모두 이기면서 서울의 천적이 됐다.

수원은	수원/NNP+은/JX
주장의	주장/NNG+의/JKG
팔에	팔/NNG+에/JKB
북벌	북벌/NNG
완장을	완장/NNG+을/JKO
두르게	두르/VV+게/EC
한	하/VX+ㄴ/ETM
뒤	뒤/NNG
치른	치르/VV+ㄴ/ETM
서울전	서울전/NNG
4경기도	4/SN+경기/NNG+도/JX
모두	모두/MAG
이기면서	이기/VV+면서/EC
서울의	서울/NNP+의/JKG
천적이	천적/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.242.7.4
서울은 북벌 완장 등장 이후 4경기에서 한 골도 못 넣고 7골을 내줬다.

서울은	서울/NNP+은/JX
북벌	북벌/NNG
완장	완장/NNG
등장	등장/NNG
이후	이후/NNG
4경기에서	4/SN+경기/NNG+에서/JKB
한	한/MMN
골도	골/NNG+도/JX
못	못/MAG
넣고	넣/VV+고/EC
7골을	7/SN+골/NNG+을/JKO
내줬다.	내주/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.242.7.5
수원의 북벌 욕심에는 끝이 없다.

수원의	수원/NNP+의/JKG
북벌	북벌/NNG
욕심에는	욕심/NNG+에/JKB+는/JX
끝이	끝/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000033.242.7.6
내달 3일 경기에서는 처음으로 안방 팬들에게도 북벌 완장을 차게 하고 21일부터 구단 홈페이지를 통해 완장을 판매하고 있다.

내달	내달/NNG
3일	3/SN+일/NNB
경기에서는	경기/NNG+에서/JKB+는/JX
처음으로	처음/NNG+으로/JKB
안방	안방/NNG
팬들에게도	팬/NNG+들/XSN+에게/JKB+도/JX
북벌	북벌/NNG
완장을	완장/NNG+을/JKO
차게	차/VV+게/EC
하고	하/VX+고/EC
21일부터	21/SN+일/NNB+부터/JX
구단	구단/NNG
홈페이지를	홈페이지/NNG+를/JKO
통해	통하/VV+아/EC
판매하고	판매/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.242.8.1
서울은 ‘승리 버스’ 원정 응원단으로 북벌 완장에 맞불을 놓았다.

서울은	서울/NNP+은/JX
‘승리	‘/SS+승리/NNG
버스’	버스/NNG+’/SS
원정	원정/NNG
응원단으로	응원단/NNG+으로/JKB
북벌	북벌/NNG
완장에	완장/NNG+에/JKB
맞불을	맞불/NNG+을/JKO
놓았다.	놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.242.8.2
서울 구단은 적지에서 열리는 이번 슈퍼매치에 원정 응원을 갈 팬들을 27일부터 모집하기 시작했다.

서울	서울/NNP
구단은	구단/NNG+은/JX
적지에서	적지/NNG+에서/JKB
열리는	열리/VV+는/ETM
이번	이번/NNG
슈퍼매치에	슈퍼/NNG+매치/NNG+에/JKB
원정	원정/NNG
응원을	응원/NNG+을/JKO
갈	가/VV+ㄹ/ETM
팬들을	팬/NNG+들/XSN+을/JKO
27일부터	27/SN+일/NNB+부터/JX
모집하기	모집/NNG+하/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.242.8.3
서울 구단은 경기 당일 서울시청과 강남역, 서울월드컵경기장에서부터 수원월드컵경기장까지 응원단을 실어 나른다.

서울	서울/NNP
구단은	구단/NNG+은/JX
경기	경기/NNG
당일	당일/NNG
서울시청과	서울시청/NNP+과/JC
강남역,	강남역/NNP+,/SP
서울월드컵경기장에서부터	서울월드컵경기장/NNP+에서부터/JKB
수원월드컵경기장까지	수원월드컵경기장/NNP+까지/JX
응원단을	응원단/NNG+을/JKO
실어	싣/VV+어/EC
나른다.	나르/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.242.9.1
최용수 서울 감독은 “6연패를 당했다.

최용수	최용수/NNP
서울	서울/NNP
감독은	감독/NNG+은/JX
“6연패를	“/SS+6/SN+연패/NNG+를/JKO
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.242.9.2
하지만 선수들한테 조언하지 않을 것이다.

하지만	하지만/MAJ
선수들한테	선수/NNG+들/XSN+한테/JKB
조언하지	조언/NNG+하/XSV+지/EC
않을	않/VX+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.242.9.3
선수들 사이에 꼭 이기겠다는 공감대가 형성돼 있다.

선수들	선수/NNG+들/XSN
사이에	사이/NNG+에/JKB
꼭	꼭/MAG
이기겠다는	이기/VV+겠/EP+다는/ETM
공감대가	공감대/NNG+가/JKS
형성돼	형성/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.242.9.4
