# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.434
metadata : {}


# id : NWRW1800000038.434.1.1
[올해 꼭 통과시켜야 할 10대 법안] 日, 회사 손해끼칠 목적 명백할 때만 배임罪… 獨, 주식법 93조에 '경영 판단의 원칙' 명시

[올해	[/SS+올해/NNG
꼭	꼭/MAG
통과시켜야	통과/NNG+시키/XSV+어야/EC
할	하/VX+ㄹ/ETM
10대	10/SN+대/NNG
법안]	법안/NNG+]/SS
日,	日/SH+,/SP
회사	회사/NNG
손해끼칠	손해/NNG+끼치/VV+ㄹ/ETM
목적	목적/NNG
명백할	명백하/VA+ㄹ/ETM
때만	때/NNG+만/JX
배임罪…	배임/NNG+罪/SH+…/SE
獨,	獨/SH+,/SP
주식법	주식/NNG+법/NNG
93조에	93/SN+조/NNB+에/JKB
'경영	'/SS+경영/NNG
판단의	판단/NNG+의/JKG
원칙'	원칙/NNG+'/SS
명시	명시/NNG


# id : NWRW1800000038.434.2.1
해외선 법적 예외사유 마련

해외선	해외/NNG+서/JKB+ㄴ/JX
법적	법/NNG+적/XSN
예외사유	예외/NNG+사유/NNG
마련	마련/NNG


# id : NWRW1800000038.434.3.1
배임죄의 요건이 모호해 기업인들의 원성을 사는 우리나라와 달리, 주요 선진국에선 배임죄를 적용할 때 이유를 엄격히 정하고 예외 사유로 '기업의 경영 판단'을 존중하는 추세이다.

배임죄의	배임죄/NNG+의/JKG
요건이	요건/NNG+이/JKS
모호해	모호하/VA+아/EC
기업인들의	기업인/NNG+들/XSN+의/JKG
원성을	원성/NNG+을/JKO
사는	사/VV+는/ETM
우리나라와	우리나라/NNG+와/JKB
달리,	달리/MAG+,/SP
주요	주요/NNG
선진국에선	선진국/NNG+에서/JKB+ㄴ/JX
배임죄를	배임죄/NNG+를/JKO
적용할	적용/NNG+하/XSV+ㄹ/ETM
때	때/NNG
이유를	이유/NNG+를/JKO
엄격히	엄격히/MAG
정하고	정하/VV+고/EC
예외	예외/NNG
사유로	사유/NNG+로/JKB
'기업의	'/SS+기업/NNG+의/JKG
경영	경영/NNG
판단'을	판단/NNG+'/SS+을/JKO
존중하는	존중/NNG+하/XSV+는/ETM
추세이다.	추세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.434.4.1
1532년 세계 최초로 배임죄를 법에 담은 독일 연방대법원이 최근 배임죄로 기소된 기업인에게 무죄를 선고한 판례를 보면 분명하게 드러난다.

1532년	1532/SN+년/NNB
세계	세계/NNG
최초로	최초/NNG+로/JKB
배임죄를	배임죄/NNG+를/JKO
법에	법/NNG+에/JKB
담은	담/VV+은/ETM
독일	독일/NNP
연방대법원이	연방/NNG+대/XPN+법원/NNG+이/JKS
최근	최근/MAG
배임죄로	배임죄/NNG+로/JKB
기소된	기소/NNG+되/XSV+ㄴ/ETM
기업인에게	기업인/NNG+에게/JKB
무죄를	무죄/NNG+를/JKO
