# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.362
metadata : {}


# id : NWRW1800000028.362.1.1
호젓한 길섶엔 장꾼들 사연 ‘소곤소곤’

호젓한	호젓하/VA+ㄴ/ETM
길섶엔	길섶/NNG+에/JKB+ㄴ/JX
장꾼들	장/NNG+꾼/XSN+들/XSN
사연	사연/NNG
‘소곤소곤’	‘/SS+소곤소곤/MAG+’/SS


# id : NWRW1800000028.362.2.1
<객주>의 작가 김주영(71)씨가 ‘보부상길 복원 프로젝트’에 나섰다.

<객주>의	</SS+객주/NNP+>/SS+의/JKG
작가	작가/NNG
김주영(71)씨가	김주영/NNP+(/SS+71/SN+)/SS+씨/NNB+가/JKS
‘보부상길	‘/SS+보부상/NNG+길/NNG
복원	복원/NNG
프로젝트’에	프로젝트/NNG+’/SS+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.362.2.2
<객주>는 100여년 전 등짐과 봇짐을 이고 지고 먼 거리를 오가며 물건을 팔던 보부상들의 애환을 다룬 9권짜리 대하소설이다.

<객주>는	</SS+객주/NNP+>/SS+는/JX
100여년	100/SN+여/XSN+년/NNB
전	전/NNG
등짐과	등짐/NNG+과/JC
봇짐을	봇짐/NNG+을/JKO
이고	이/VV+고/EC
지고	지/VV+고/EC
먼	멀/VA+ㄴ/ETM
거리를	거리/NNG+를/JKO
오가며	오가/VV+며/EC
물건을	물건/NNG+을/JKO
팔던	팔/VV+던/ETM
보부상들의	보부상/NNG+들/XSN+의/JKG
애환을	애환/NNG+을/JKO
다룬	다루/VV+ㄴ/ETM
9권짜리	9/SN+권/NNB+짜리/XSN
대하소설이다.	대하소설/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.362.2.3
김주영씨는 15~18일 경북 울진군에 남아 있는 보부상들의 옛길을 답사하며 <객주> 주인공들의 발길과 마음길을 더듬었다.

김주영씨는	김주영/NNP+씨/NNB+는/JX
15~18일	15/SN+~/SO+18/SN+일/NNB
경북	경북/NNP
울진군에	울진군/NNP+에/JKB
남아	남/VV+아/EC
있는	있/VX+는/ETM
보부상들의	보부상/NNG+들/XSN+의/JKG
옛길을	옛길/NNG+을/JKO
답사하며	답사/NNG+하/XSV+며/EC
<객주>	</SS+객주/NNP+>/SS
주인공들의	주인공/NNG+들/XSN+의/JKG
발길과	발길/NNG+과/JC
마음길을	마음/NNG+길/NNG+을/JKO
더듬었다.	더듬/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.362.2.4
그의 보부상길 탐사에는 화가 이인·최석운·한생곤씨를 비롯해 문화예술인 및 시민 10여명이 동행했다.

그의	그/NP+의/JKG
보부상길	보부상/NNG+길/NNG
탐사에는	탐사/NNG+에/JKB+는/JX
화가	화가/NNG
이인·최석운·한생곤씨를	이인/NNP+·/SP+최석운/NNP+·/SP+한생곤/NNP+씨/NNB+를/JKO
비롯해	비롯하/VV+아/EC
문화예술인	문화/NNG+예술인/NNG
및	및/MAG
시민	시민/NNG
10여명이	10/SN+여/XSN+명/NNB+이/JKS
동행했다.	동행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.362.2.5
작가는 답사 첫날인 15일 오후 울진원자력발전소를 찾았다.

작가는	작가/NNG+는/JX
답사	답사/NNG
