# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.243
metadata : {}


# id : NWRW1800000049.243.1.1
서울-경주대회, 올해의 ‘세계 10대 마라톤’

서울-경주대회,	서울/NNP+-/SO+경주/NNP+대회/NNG+,/SP
올해의	올해/NNG+의/JKG
‘세계	‘/SS+세계/NNG
10대	10/SN+대/NNG
마라톤’	마라톤/NNG+’/SS


# id : NWRW1800000049.243.2.1
150여개 국제대회 우승기록 기준 서울 4위 3년 연속 톱10, 경주 10위…

150여개	150/SN+여/XSN+개/NNB
국제대회	국제/NNG+대회/NNG
우승기록	우승/NNG+기록/NNG
기준	기준/NNG
서울	서울/NNP
4위	4/SN+위/NNB
3년	3/SN+년/NNB
연속	연속/NNG
톱10,	톱/NNG+10/SN+,/SP
경주	경주/NNP
10위…	10/SN+위/NNB+…/SE


# id : NWRW1800000049.243.3.1
1위는 2시간3분3초 베를린 마라톤

1위는	1/SN+위/NNB+는/JX
2시간3분3초	2/SN+시간/NNB+3/SN+분/NNB+3/SN+초/NNB
베를린	베를린/NNP
마라톤	마라톤/NNG


# id : NWRW1800000049.243.4.1
‘2016 서울국제마라톤 겸 제87회 동아마라톤대회’와 ‘동아일보 2016 경주국제마라톤대회’가 올해 세계 10대 마라톤(우승 기록 기준)에 포함됐다.

‘2016	‘/SS+2016/SN
서울국제마라톤	서울/NNP+국제/NNG+마라톤/NNG
겸	겸/NNB
제87회	제/XPN+87/SN+회/NNB
동아마라톤대회’와	동아/NNP+마라톤/NNG+대회/NNG+’/SS+와/JC
‘동아일보	‘/SS+동아일보/NNP
2016	2016/SN
경주국제마라톤대회’가	경주/NNP+국제/NNG+마라톤/NNG+대회/NNG+’/SS+가/JKS
올해	올해/NNG
세계	세계/NNG
10대	10/SN+대/NNG
마라톤(우승	마라톤/NNG+(/SS+우승/NNG
기록	기록/NNG
기준)에	기준/NNG+)/SS+에/JKB
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.243.5.1
지난 주말 뉴욕 마라톤이 막을 내리면서 올해 주요 국제대회 일정은 대부분 끝났다.

지난	지나/VV+ㄴ/ETM
주말	주말/NNG
뉴욕	뉴욕/NNP
마라톤이	마라톤/NNG+이/JKS
막을	막/NNG+을/JKO
내리면서	내리/VV+면서/EC
올해	올해/NNG
주요	주요/NNG
국제대회	국제/NNG+대회/NNG
일정은	일정/NNG+은/JX
대부분	대/XPN+부분/NNG
끝났다.	끝나/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.243.5.2
서울국제마라톤의 우승 기록은 2시간5분13초(윌슨 로야나에 에루페·케냐)로 150여 개 국제대회 가운데 4위이고, 경주 대회는 2시간6분58초(필렉스 킵치르치르 키프로티치·케냐)로 10위다.

서울국제마라톤의	서울/NNP+국제/NNG+마라톤/NNG+의/JKG
우승	우승/NNG
기록은	기록/NNG+은/JX
2시간5분13초(윌슨	2/SN+시간/NNB+5/SN+분/NNB+13/SN+초/NNB+(/SS+윌슨/NNP
로야나에	로야나에/NNP
에루페·케냐)로	에루페/NNP+·/SP+케냐/NNP+)/SS+로/JKB
150여	150/SN+여/XSN
개	개/NNB
국제대회	국제/NNG+대회/NNG
가운데	가운데/NNG
4위이고,	4/SN+위/NNB+이/VCP+고/EC+,/SP
경주	경주/NNP
대회는	대회/NNG+는/JX
2시간6분58초(필렉스	2/SN+시간/NNB+6/SN+분/NNB+58/SN+초/NNB+(/SS+필렉스/NNP
킵치르치르	킵치르치르/NNP
키프로티치·케냐)로	키프로티치/NNP+·/SP+케냐/NNP+)/SS+로/JKB
10위다.	10/SN+위/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.243.6.1
1위는 2시간3분3초(케네니사 베켈레·에티오피아)의 우승 기록이 나온 베를린 마라톤이다.

1위는	1/SN+위/NNB+는/JX
2시간3분3초(케네니사	2/SN+시간/NNB+3/SN+분/NNB+3/SN+초/NNB+(/SS+케네니사/NNP
베켈레·에티오피아)의	베켈레/NNP+·/SP+에티오피아/NNP+)/SS+의/JKG
우승	우승/NNG
기록이	기록/NNG+이/JKS
나온	나오/VV+ㄴ/ETM
베를린	베를린/NNP
마라톤이다.	마라톤/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.243.6.2
베를린은 현재 세계기록(2시간2분57초·데니스 키메토·케냐)을 포함해 역대 랭킹 톱5 가운데 4개를 배출한 기록의 산실이다.

베를린은	베를린/NNP+은/JX
현재	현재/NNG
세계기록(2시간2분57초·데니스	세계/NNG+기록/NNG+(/SS+2/SN+시간/NNB+2/SN+분/NNB+57/SN+초/NNB+·/SP+데니스/NNP
키메토·케냐)을	키메토/NNP+·/SP+케냐/NNP+)/SS+을/JKO
포함해	포함/NNG+하/XSV+아/EC
역대	역대/NNG
랭킹	랭킹/NNG
톱5	톱/NNG+5/SN
가운데	가운데/NNG
4개를	4/SN+개/NNB+를/JKO
배출한	배출/NNG+하/XSV+ㄴ/ETM
기록의	기록/NNG+의/JKG
산실이다.	산실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.243.6.3
2위는 런던, 3위는 두바이 대회가 차지했다.

2위는	2/SN+위/NNB+는/JX
런던,	런던/NNP+,/SP
3위는	3/SN+위/NNB+는/JX
두바이	두바이/NNP
대회가	대회/NNG+가/JKS
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.243.6.4
국제육상경기연맹(IAAF)은 도시 이름을 그대로 쓰는 국제대회를 한 도시에 한 개만 허용하고 있다.

국제육상경기연맹(IAAF)은	국제육상경기연맹/NNP+(/SS+IAAF/SL+)/SS+은/JX
도시	도시/NNG
이름을	이름/NNG+을/JKO
그대로	그대로/MAG
쓰는	쓰/VV+는/ETM
국제대회를	국제/NNG+대회/NNG+를/JKO
한	한/MMN
도시에	도시/NNG+에/JKB
개만	개/NNB+만/JX
허용하고	허용/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.243.7.1
2004년 6위로 처음 톱10에 올랐던 서울국제마라톤은 2014년부터 3년 연속 톱10에 포함되며 국내 유일한 골드라벨 대회의 자존심을 지켰다.

2004년	2004/SN+년/NNB
6위로	6/SN+위/NNB+로/JKB
처음	처음/NNG
톱10에	톱/NNG+10/SN+에/JKB
올랐던	오르/VV+았/EP+던/ETM
서울국제마라톤은	서울/NNP+국제/NNG+마라톤/NNG+은/JX
2014년부터	2014/SN+년/NNB+부터/JX
3년	3/SN+년/NNB
연속	연속/NNG
포함되며	포함/NNG+되/XSV+며/EC
국내	국내/NNG
유일한	유일/NNG+하/XSA+ㄴ/ETM
골드라벨	골드라벨/NNG
대회의	대회/NNG+의/JKG
자존심을	자존심/NNG+을/JKO
지켰다.	지키/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.243.7.2
반면 경주 대회가 세계 10대 마라톤이 된 건 처음이다.

반면	반면/NNG
경주	경주/NNP
대회가	대회/NNG+가/JKS
세계	세계/NNG
10대	10/SN+대/NNG
마라톤이	마라톤/NNG+이/JKC
된	되/VV+ㄴ/ETM
건	거/NNB+ㄴ/JX
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.243.7.3
다음 달 4일 열리는 골드라벨 대회인 후쿠오카 국제마라톤 등 국제대회 몇 개가 남아 있지만 이 대회의 최근 3년 우승 기록이 2시간8분대였다는 점을 감안하면 경주 대회가 10위 밖으로 밀려날 가능성은 크지 않다.

다음	다음/NNG
달	달/NNG
4일	4/SN+일/NNB
열리는	열리/VV+는/ETM
골드라벨	골드라벨/NNG
대회인	대회/NNG+이/VCP+ㄴ/ETM
후쿠오카	후쿠오카/NNP
국제마라톤	국제/NNG+마라톤/NNG
등	등/NNB
국제대회	국제/NNG+대회/NNG
몇	몇/NR
개가	개/NNB+가/JKS
남아	남/VV+아/EC
있지만	있/VX+지만/EC
이	이/MMD
대회의	대회/NNG+의/JKG
최근	최근/MAG
3년	3/SN+년/NNB
우승	우승/NNG
기록이	기록/NNG+이/JKS
2시간8분대였다는	2/SN+시간/NNB+8/SN+분/NNB+대/XSN+이/VCP+었/EP+다는/ETM
점을	점/NNG+을/JKO
감안하면	감안/NNG+하/XSV+면/EC
경주	경주/NNP
대회가	대회/NNG+가/JKS
10위	10/SN+위/NNB
밖으로	밖/NNG+으로/JKB
밀려날	밀려나/VV+ㄹ/ETM
가능성은	가능/NNG+성/XSN+은/JX
크지	크/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000049.243.7.4
경주 대회는 지난해 세계랭킹 톱10에는 이름을 올리지 못했지만 국내 대회에서는 서울 대회에 이어 2위를 했다.

경주	경주/NNP
대회는	대회/NNG+는/JX
지난해	지난해/NNG
세계랭킹	세계/NNG+랭킹/NNG
톱10에는	톱/NNG+10/SN+에/JKB+는/JX
이름을	이름/NNG+을/JKO
올리지	올리/VV+지/EC
못했지만	못하/VX+았/EP+지만/EC
국내	국내/NNG
대회에서는	대회/NNG+에서/JKB+는/JX
서울	서울/NNP
대회에	대회/NNG+에/JKB
이어	잇/VV+어/EC
2위를	2/SN+위/NNB+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.243.7.5
세계 정상급 마라토너 에루페가 출전한 덕분이다.

세계	세계/NNG
정상급	정상급/NNG
마라토너	마라토너/NNG
에루페가	에루페/NNP+가/JKS
출전한	출전/NNG+하/XSV+ㄴ/ETM
덕분이다.	덕분/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.243.8.1
올해 국내 대회 랭킹은 1위 서울 대회, 2위 경주 대회, 3위 춘천 대회(2시간7분21초), 4위 중앙서울 대회(2시간8분7초), 5위 대구 대회(2시간10분46초), 6위 군산 대회(2시간11분45초) 순이다.

올해	올해/NNG
국내	국내/NNG
대회	대회/NNG
랭킹은	랭킹/NNG+은/JX
1위	1/SN+위/NNB
서울	서울/NNP
대회,	대회/NNG+,/SP
2위	2/SN+위/NNB
경주	경주/NNP
3위	3/SN+위/NNB
춘천	춘천/NNP
대회(2시간7분21초),	대회/NNG+(/SS+2/SN+시간/NNB+7/SN+분/NNB+21/SN+초/NNB+)/SS+,/SP
4위	4/SN+위/NNB
중앙서울	중앙/NNG+서울/NNP
대회(2시간8분7초),	대회/NNG+(/SS+2/SN+시간/NNB+8/SN+분/NNB+7/SN+초/NNB+)/SS+,/SP
5위	5/SN+위/NNB
대구	대구/NNP
대회(2시간10분46초),	대회/NNG+(/SS+2/SN+시간/NNB+10/SN+분/NNB+46/SN+초/NNB+)/SS+,/SP
6위	6/SN+위/NNB
군산	군산/NNP
대회(2시간11분45초)	대회/NNG+(/SS+2/SN+시간/NNB+11/SN+분/NNB+45/SN+초/NNB+)/SS
순이다.	순/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.243.8.2
이 가운데 IAAF의 라벨 인증을 받은 대회는 서울(골드)과 대구(실버) 대회뿐이다.

이	이/NP
가운데	가운데/NNG
IAAF의	IAAF/SL+의/JKG
라벨	라벨/NNG
인증을	인증/NNG+을/JKO
받은	받/VV+은/ETM
대회는	대회/NNG+는/JX
서울(골드)과	서울/NNP+(/SS+골드/NNG+)/SS+과/JC
대구(실버)	대구/NNP+(/SS+실버/NNG+)/SS
대회뿐이다.	대회/NNG+뿐/JX+이/VCP+다/EF+./SF


# id : NWRW1800000049.243.8.3
IAAF는 해마다 심사를 통해 국제대회를 3개 등급(골드, 실버, 브론즈)으로 나누는데 최상위인 골드라벨 대회가 되기 위해서는 대회 규모나 협찬사 후원 규모 등이 커야 하는 것은 물론이고 코스와 기록도 좋아야 한다.

IAAF는	IAAF/SL+는/JX
해마다	해마다/MAG
심사를	심사/NNG+를/JKO
통해	통하/VV+아/EC
국제대회를	국제/NNG+대회/NNG+를/JKO
3개	3/SN+개/NNB
등급(골드,	등급/NNG+(/SS+골드/NNG+,/SP
실버,	실버/NNG+,/SP
브론즈)으로	브론즈/NNG+)/SS+으로/JKB
나누는데	나누/VV+는데/EC
최상위인	최/XPN+상위/NNG+이/VCP+ㄴ/ETM
골드라벨	골드라벨/NNG
대회가	대회/NNG+가/JKC
되기	되/VV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
대회	대회/NNG
규모나	규모/NNG+나/JC
협찬사	협찬사/NNG
후원	후원/NNG
규모	규모/NNG
등이	등/NNB+이/JKS
커야	크/VA+어야/EC
하는	하/VX+는/ETM
