# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.18
metadata : {}


# id : NWRW1800000044.18.1.1
경총간부 “‘통상임금 확대’는 법리 아닌 이념판결”

경총간부	경총/NNP+간부/NNG
“‘통상임금	“/SS+‘/SS+통상/NNG+임금/NNG
확대’는	확대/NNG+’/SS+는/JX
법리	법리/NNG
아닌	아니/VCN+ㄴ/ETM
이념판결”	이념/NNG+판결/NNG+”/SS


# id : NWRW1800000044.18.2.1
[한겨레] 통상임금에 포함되는 급여의 범위를 넓히는 내용의 법원 판결에 대해 한국경영자총협회(경총) 간부가 이를 ‘법리가 아니라 이념에 따른 판결’이라고 폄하하는 발언을 해 논란이 일 것으로 보인다.

[한겨레]	[/SS+한겨레/NNP+]/SS
통상임금에	통상/NNG+임금/NNG+에/JKB
포함되는	포함/NNG+되/XSV+는/ETM
급여의	급여/NNG+의/JKG
범위를	범위/NNG+를/JKO
넓히는	넓히/VV+는/ETM
내용의	내용/NNG+의/JKG
법원	법원/NNG
판결에	판결/NNG+에/JKB
대해	대하/VV+아/EC
한국경영자총협회(경총)	한국경영자총협회/NNP+(/SS+경총/NNP+)/SS
간부가	간부/NNG+가/JKS
이를	이/NP+를/JKO
‘법리가	‘/SS+법리/NNG+가/JKC
아니라	아니/VCN+라/EC
이념에	이념/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
판결’이라고	판결/NNG+’/SS+이라고/JKQ
폄하하는	폄하/NNG+하/XSV+는/ETM
발언을	발언/NNG+을/JKO
해	하/VV+아/EC
논란이	논란/NNG+이/JKS
일	일/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.18.3.1
김판중 경총 경제조사본부장은 16일 오전 열린 코스닥협회 조찬세미나에서 “80년대 반정부·반미 투쟁이 활발했는데 이쪽(운동권)에서 공부하시던 분이 사회 각계에 진출했다.

김판중	김판중/NNP
경총	경총/NNP
경제조사본부장은	경제/NNG+조사/NNG+본부장/NNG+은/JX
16일	16/SN+일/NNB
오전	오전/NNG
열린	열리/VV+ㄴ/ETM
코스닥협회	코스닥협회/NNP
조찬세미나에서	조찬/NNG+세미나/NNG+에서/JKB
“80년대	“/SS+80/SN+년대/NNB
반정부·반미	반/XPN+정부/NNG+·/SP+반미/NNG
투쟁이	투쟁/NNG+이/JKS
활발했는데	활발하/VA+았/EP+는데/EC
이쪽(운동권)에서	이쪽/NP+(/SS+운동/NNG+권/XSN+)/SS+에서/JKB
공부하시던	공부/NNG+하/XSV+시/EP+던/ETM
분이	분/NNB+이/JKS
사회	사회/NNG
각계에	각계/NNG+에/JKB
진출했다.	진출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.18.3.2
법조계도 마찬가지로 이들이 상당히 많이 진출했다”고 말했다.

법조계도	법조/NNG+계/XSN+도/JX
마찬가지로	마찬가지/NNG+로/JKB
이들이	이/NP+들/XSN+이/JKS
상당히	상당히/MAG
많이	많이/MAG
진출했다”고	진출/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.18.3.3
그는 이어 “이쪽(운동권)에서 대법관도 나왔는데 이들은 성향이 진보적이고 노동자를 약자로 보고 임금을 많이 줘야 한다고 생각한다”며 “통상임금 확대 판결이 법리적 논리보다는 자신이 추구하는 이념에 따른 것이다.

그는	그/NP+는/JX
이어	이어/MAG
“이쪽(운동권)에서	“/SS+이쪽/NP+(/SS+운동/NNG+권/XSN+)/SS+에서/JKB
대법관도	대/XPN+법관/NNG+도/JX
나왔는데	나오/VV+았/EP+는데/EC
이들은	이/NP+들/XSN+은/JX
성향이	성향/NNG+이/JKS
진보적이고	진보/NNG+적/XSN+이/VCP+고/EC
노동자를	노동자/NNG+를/JKO
약자로	약자/NNG+로/JKB
보고	보/VV+고/EC
임금을	임금/NNG+을/JKO
많이	많이/MAG
줘야	주/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
생각한다”며	생각/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“통상임금	“/SS+통상/NNG+임금/NNG
확대	확대/NNG
판결이	판결/NNG+이/JKS
법리적	법리/NNG+적/XSN
논리보다는	논리/NNG+보다/JKB+는/JX
자신이	자신/NNG+이/JKS
추구하는	추구/NNG+하/XSV+는/ETM
이념에	이념/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.18.3.4
그 결과 통상임금을 무지막지하게 늘려 놓아서 오늘의 ‘사태’가 있었다”고 발언했다.

그	그/MMD
결과	결과/NNG
통상임금을	통상/NNG+임금/NNG+을/JKO
무지막지하게	무지막지하/VA+게/EC
늘려	늘리/VV+어/EC
놓아서	놓/VX+아서/EC
오늘의	오늘/NNG+의/JKG
‘사태’가	‘/SS+사태/NNG+’/SS+가/JKS
있었다”고	있/VA+었/EP+다/EF+”/SS+고/JKQ
발언했다.	발언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.18.4.1
이날 발언은 통상임금 판결에 대한 내용과 쟁점에 대한 경총의 입장을 설명하는 과정에서 나왔다.

이날	이날/NNG
발언은	발언/NNG+은/JX
통상임금	통상/NNG+임금/NNG
판결에	판결/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
내용과	내용/NNG+과/JC
쟁점에	쟁점/NNG+에/JKB
경총의	경총/NNP+의/JKG
입장을	입장/NNG+을/JKO
설명하는	설명/NNG+하/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.18.4.2
김 본부장은 “임금채권의 소멸시효가 3년이라는 점을 들어 노동계에서 통상임금을 재산정해 3년치 수당을 소급해 달라고 소송하는데 대법원에서 명시한 ‘신의칙’에 따르면 회사가 추가 지급을 하지 않아도 되리라는 게 경총의 입장”이라며, “3년치 추가 지급 소송에서 (기업쪽이) 대부분 승소할 것이다.

김	김/NNP
본부장은	본부장/NNG+은/JX
“임금채권의	“/SS+임금/NNG+채권/NNG+의/JKG
소멸시효가	소멸/NNG+시효/NNG+가/JKS
3년이라는	3/SN+년/NNB+이/VCP+라는/ETM
점을	점/NNG+을/JKO
들어	들/VV+어/EC
노동계에서	노동/NNG+계/XSN+에서/JKB
통상임금을	통상/NNG+임금/NNG+을/JKO
재산정해	재/XPN+산정/NNG+하/XSV+아/EC
3년치	3/SN+년/NNB+치/NNB
수당을	수당/NNG+을/JKO
소급해	소급/NNG+하/XSV+아/EC
달라고	달/VX+라고/EC
소송하는데	소송/NNG+하/XSV+는데/EC
대법원에서	대/XPN+법원/NNG+에서/JKB
명시한	명시/NNG+하/XSV+ㄴ/ETM
‘신의칙’에	‘/SS+신의칙/NNG+’/SS+에/JKB
따르면	따르/VV+면/EC
회사가	회사/NNG+가/JKS
추가	추가/NNG
지급을	지급/NNG+을/JKO
하지	하/VV+지/EC
않아도	않/VX+아도/EC
되리라는	되/VV+리라는/ETM
게	거/NNB+이/JKS
경총의	경총/NNP+의/JKG
입장”이라며,	입장/NNG+”/SS+이/VCP+라며/EC+,/SP
“3년치	“/SS+3/SN+년/NNB+치/NNB
지급	지급/NNG
소송에서	소송/NNG+에서/JKB
(기업쪽이)	(/SS+기업/NNG+쪽/NNB+이/JKS+)/SS
대부분	대/XPN+부분/NNG
승소할	승소/NNG+하/XSV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.18.4.3
법원도 기업이 너무 어렵다고 하니까 뭐라도 해줘야 할 것 같은 입장이기 때문”이라고 덧붙였다.

법원도	법원/NNG+도/JX
기업이	기업/NNG+이/JKS
너무	너무/MAG
어렵다고	어렵/VA+다고/EC
하니까	하/VV+니까/EC
뭐라도	뭐/NP+이/VCP+라도/EC
해줘야	하/VV+아/EC+주/VX+어야/EC
할	하/VX+ㄹ/ETM
것	것/NNB
같은	같/VA+은/ETM
입장이기	입장/NNG+이/VCP+기/ETN
때문”이라고	때문/NNB+”/SS+이라고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.18.5.1
경총 관계자는 이에 대해 “통상임금 판결은 대법원 전원합의부에서 한 것으로 운동권 출신 판사 얘기는 잘 안 맞지 않는다”며 “본부장 개인 의견일 뿐더러 경총 공식 입장과 다르다”고 말했다.

경총	경총/NNP
관계자는	관계자/NNG+는/JX
이에	이/NP+에/JKB
대해	대하/VV+아/EC
“통상임금	“/SS+통상/NNG+임금/NNG
판결은	판결/NNG+은/JX
대법원	대/XPN+법원/NNG
전원합의부에서	전원/NNG+합의부/NNG+에서/JKB
한	하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
운동권	운동/NNG+권/XSN
출신	출신/NNG
판사	판사/NNG
얘기는	얘기/NNG+는/JX
잘	잘/MAG
안	안/MAG
맞지	맞/VV+지/EC
않는다”며	않/VX+는다/EF+”/SS+며/EC
“본부장	“/SS+본부장/NNG
개인	개인/NNG
의견일	의견/NNG+이/VCP+ㄹ/ETM
뿐더러	뿐/NNB+더러/JKB
공식	공식/NNG
입장과	입장/NNG+과/JKB
다르다”고	다르/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


