# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.303
metadata : {}


# id : NWRW1800000022.303.1.1
대형주에 밀린 가치주펀드… 제값 할 날 오나;3개월 수익, 평균의 절반 조정기인 지금 투자할만 세제개편땐 더 유리해져

대형주에	대형주/NNG+에/JKB
밀린	밀리/VV+ㄴ/ETM
가치주펀드…	가치주/NNG+펀드/NNG+…/SE
제값	제값/NNG
할	하/VV+ㄹ/ETM
날	날/NNG
오나;3개월	오/VV+나/EF+;/SP+3/SN+개월/NNB
수익,	수익/NNG+,/SP
평균의	평균/NNG+의/JKG
절반	절반/NNG
조정기인	조정기/NNG+이/VCP+ㄴ/ETM
지금	지금/MAG
투자할만	투자/NNG+하/XSV+ㄹ/ETM+만/NNB
세제개편땐	세제/NNG+개편/NNG+때/NNG+ㄴ/JX
더	더/MAG
유리해져	유리/NNG+하/XSA+아/EC+지/VX+어/EF


# id : NWRW1800000022.303.2.1
최근 펀드 시장에는 몇 가지 특징이 나타나고 있다.

최근	최근/NNG
펀드	펀드/NNG
시장에는	시장/NNG+에/JKB+는/JX
몇	몇/NR
가지	가지/NNB
특징이	특징/NNG+이/JKS
나타나고	나타나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.303.2.2
주가가 올라가는데 주식형펀드에서 자금이 빠져나가는가 하면, 통상 강세장에서 상대적으로 수익률이 좋았던 일반 주식형(액티브)펀드의 수익률이 인덱스펀드보다 부진하다.

주가가	주가/NNG+가/JKS
올라가는데	올라가/VV+는데/EC
주식형펀드에서	주식/NNG+형/XSN+펀드/NNG+에서/JKB
자금이	자금/NNG+이/JKS
빠져나가는가	빠져나가/VV+는가/EF
하면,	하/VV+면/EC+,/SP
통상	통상/NNG
강세장에서	강세장/NNG+에서/JKB
상대적으로	상대/NNG+적/XSN+으로/JKB
수익률이	수익/NNG+률/XSN+이/JKS
좋았던	좋/VA+았/EP+던/ETM
일반	일반/NNG
주식형(액티브)펀드의	주식/NNG+형/XSN+(/SS+액티브/NNG+)/SS+펀드/NNG+의/JKG
인덱스펀드보다	인덱스/NNG+펀드/NNG+보다/JKB
부진하다.	부진/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000022.303.2.3
또 기업가치에 비해 저평가돼 주가가 낮은 가치주에 투자하는 소위 가치주펀드의 대표주자들이 맥을 못 추는 것도 눈에 띈다.

또	또/MAG
기업가치에	기업/NNG+가치/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
저평가돼	저/XPN+평가/NNG+되/XSV+어/EC
주가가	주가/NNG+가/JKS
낮은	낮/VA+은/ETM
가치주에	가치주/NNG+에/JKB
투자하는	투자/NNG+하/XSV+는/ETM
소위	소위/MAG
가치주펀드의	가치주/NNG+펀드/NNG+의/JKG
대표주자들이	대표/NNG+주자/NNG+들/XSN+이/JKS
맥을	맥/NNG+을/JKO
못	못/MAG
추는	추/VV+는/ETM
것도	것/NNB+도/JX
눈에	눈/NNG+에/JKB
띈다.	띄/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.303.3.1
◆대표 가치주펀드 3개월 수익률 평균 절반 수준

◆대표	◆/SW+대표/NNG
가치주펀드	가치주/NNG+펀드/NNG
3개월	3/SN+개월/NNB
수익률	수익/NNG+률/XSN
평균	평균/NNG
절반	절반/NNG
수준	수준/NNG


# id : NWRW1800000022.303.4.1
