# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.219
metadata : {}


# id : NWRW1800000036.219.1.1
새 경찰청장에 김기용

새	새/MMA
경찰청장에	경찰청장/NNG+에/JKB
김기용	김기용/NNP


# id : NWRW1800000036.219.2.1
[한겨레] 이대통령, 불법사찰 논란에 ‘이강덕 카드’ 버린듯

[한겨레]	[/SS+한겨레/NNP+]/SS
이대통령,	이/NNP+대통령/NNG+,/SP
불법사찰	불법/NNG+사찰/NNG
논란에	논란/NNG+에/JKB
‘이강덕	‘/SS+이강덕/NNP
카드’	카드/NNG+’/SS
버린듯	버리/VV+ㄴ/ETM+듯/NNB


# id : NWRW1800000036.219.3.1
김 내정자 “신뢰회복에 최선”…조직 장악력 과제

김	김/NNP
내정자	내정자/NNG
“신뢰회복에	“/SS+신뢰/NNG+회복/NNG+에/JKB
최선”…조직	최선/NNG+”/SS+…/SE+조직/NNG
장악력	장악력/NNG
과제	과제/NNG


# id : NWRW1800000036.219.4.1
‘수원 20대 여성 살해사건’에 대한 책임을 지고 사임한 조현오 경찰청장의 후임에 김기용(55·사진) 경찰청 차장(행시 30기)이 16일 내정됐다.

‘수원	‘/SS+수원/NNP
20대	20/SN+대/NNB
여성	여성/NNG
살해사건’에	살해/NNG+사건/NNG+’/SS+에/JKB
대한	대하/VV+ㄴ/ETM
책임을	책임/NNG+을/JKO
지고	지/VV+고/EC
사임한	사임/NNG+하/XSV+ㄴ/ETM
조현오	조현오/NNP
경찰청장의	경찰청장/NNG+의/JKG
후임에	후임/NNG+에/JKB
김기용(55·사진)	김기용/NNP+(/SS+55/SN+·/SP+사진/NNG+)/SS
경찰청	경찰청/NNG
차장(행시	차장/NNG+(/SS+행시/NNG
30기)이	30/SN+기/NNG+)/SS+이/JKS
16일	16/SN+일/NNB
내정됐다.	내정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.219.5.1
이명박 대통령은 이날 맹형규 행정안전부 장관을 통해 경찰위원회에 김 차장을 차기 청장으로 단수 추천했고, 경찰위원회는 회의를 열어 임명동의안을 가결했다.

이명박	이명박/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
맹형규	맹형규/NNP
행정안전부	행정/NNG+안전부/NNG
장관을	장관/NNG+을/JKO
통해	통하/VV+아/EC
경찰위원회에	경찰/NNG+위원회/NNG+에/JKB
김	김/NNP
차장을	차장/NNG+을/JKO
차기	차기/NNG
청장으로	청장/NNG+으로/JKB
단수	단수/NNG
추천했고,	추천/NNG+하/XSV+았/EP+고/EC+,/SP
경찰위원회는	경찰/NNG+위원회/NNG+는/JX
회의를	회의/NNG+를/JKO
열어	열/VV+어/EC
임명동의안을	임명/NNG+동의안/NNG+을/JKO
가결했다.	가결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.219.5.2
김 내정자는 국회 인사청문회 등을 거쳐 이르면 다음달 중 17대 경찰청장에 임명될 예정이다.

김	김/NNP
내정자는	내정자/NNG+는/JX
국회	국회/NNG
인사청문회	인사/NNG+청문회/NNG
등을	등/NNB+을/JKO
거쳐	거치/VV+어/EC
이르면	이르/VV+면/EC
다음달	다음/NNG+달/NNG
중	중/NNB
17대	17/SN+대/NNB
경찰청장에	경찰청장/NNG+에/JKB
임명될	임명/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.219.6.1
김 내정자는 충북 제천 출신으로 1992년 행정고시 특채로 경정에 임용된 뒤 서울지방경찰청 보안부장, 충남지방경찰청장, 경찰청 경무국장 등을 거쳤으며, 지난 1월 말 치안감에서 치안정감인 경찰청 차장으로 승진했다.

김	김/NNP
내정자는	내정자/NNG+는/JX
충북	충북/NNP
제천	제천/NNP
출신으로	출신/NNG+으로/JKB
1992년	1992/SN+년/NNB
행정고시	행정/NNG+고시/NNG
특채로	특채/NNG+로/JKB
경정에	경정/NNG+에/JKB
임용된	임용/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
서울지방경찰청	서울지방경찰청/NNP
보안부장,	보안/NNG+부장/NNG+,/SP
충남지방경찰청장,	충남지방경찰청장/NNG+,/SP
경찰청	경찰청/NNG
경무국장	경무국장/NNG
등을	등/NNB+을/JKO
거쳤으며,	거치/VV+었/EP+으며/EC+,/SP
지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
말	말/NNB
치안감에서	치안감/NNG+에서/JKB
치안정감인	치안정감/NNG+이/VCP+ㄴ/ETM
차장으로	차장/NNG+으로/JKB
승진했다.	승진/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.219.7.1
이날 경찰위원회에 참석하기에 앞서 기자들과 만난 자리에서 김 내정자는 “어렵고 중차대한 시기에 경찰청장 후보자로 내정돼 마음이 무겁다”며 “경찰청장이 되면 신속하게 조직을 쇄신해 민생치안과 법질서 확립에 최선을 다하겠다”고 소감을 밝혔다.

