# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.29
metadata : {}


# id : NWRW1800000038.29.1.1
아베에 등 돌린 美언론들

아베에	아베/NNP+에/JKB
등	등/NNG
돌린	돌리/VV+ㄴ/ETM
美언론들	美/SH+언론/NNG+들/XSN


# id : NWRW1800000038.29.2.1
WP "독일은 침략 인정했는데, 일본은 왜 못하나" WSJ "수치스러운 발언 계속땐 국제사회서 고립"

WP	WP/SL
"독일은	"/SS+독일/NNP+은/JX
침략	침략/NNG
인정했는데,	인정/NNG+하/XSV+았/EP+는데/EC+,/SP
일본은	일본/NNP+은/JX
왜	왜/MAG
못하나"	못/MAG+하/VV+나/EF+"/SS
WSJ	WSJ/SL
"수치스러운	"/SS+수치/NNG+스럽/XSA+ㄴ/ETM
발언	발언/NNG
계속땐	계속/NNG+때/NNG+ㄴ/JX
국제사회서	국제/NNG+사회/NNG+서/JKB
고립"	고립/NNG+"/SS


# id : NWRW1800000038.29.3.1
미국 유력 언론들이 아베 신조(安倍晋三) 일본 총리의 우경화 행보에 대해 잇따라 비판에 나서고 있다.

미국	미국/NNP
유력	유력/NNG
언론들이	언론/NNG+들/XSN+이/JKS
아베	아베/NNP
신조(安倍晋三)	신조/NNP+(/SS+安倍晋三/SH+)/SS
일본	일본/NNP
총리의	총리/NNG+의/JKG
우경화	우경/NNG+화/XSN
행보에	행보/NNG+에/JKB
대해	대하/VV+아/EC
잇따라	잇따르/VV+아/EC
비판에	비판/NNG+에/JKB
나서고	나서/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.29.3.2
일본 민주당 정권과 껄끄러운 관계였던 미국은 친미(親美) 노선의 아베가 들어서면서 미·일 관계 개선과 동북아 질서 유지 등에 역할을 해줄 것을 기대했으나, 이 같은 기대가 실망으로 바뀌어가고 있음을 반영하는 것으로 보인다.

일본	일본/NNP
민주당	민주당/NNP
정권과	정권/NNG+과/JKB
껄끄러운	껄끄럽/VA+ㄴ/ETM
관계였던	관계/NNG+이/VCP+었/EP+던/ETM
미국은	미국/NNP+은/JX
친미(親美)	친미/NNG+(/SS+親美/SH+)/SS
노선의	노선/NNG+의/JKG
아베가	아베/NNP+가/JKS
들어서면서	들어서/VV+면서/EC
미·일	미/NNP+·/SP+일/NNP
관계	관계/NNG
개선과	개선/NNG+과/JC
동북아	동북아/NNP
질서	질서/NNG
유지	유지/NNG
등에	등/NNB+에/JKB
역할을	역할/NNG+을/JKO
해줄	하/VV+아/EC+주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
기대했으나,	기대/NNG+하/XSV+았/EP+으나/EC+,/SP
이	이/MMD
같은	같/VA+은/ETM
기대가	기대/NNG+가/JKS
실망으로	실망/NNG+으로/JKB
바뀌어가고	바뀌/VV+어/EC+가/VX+고/EC
있음을	있/VX+음/ETN+을/JKO
반영하는	반영/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.29.4.1
워싱턴포스트(WP)는 27일(현지 시각) 사설을 통해 "독일은 이미 수십 년 전에 침략의 역사를 정직하게 받아들이면서 유럽에서 확고한 위치를 차지했는데 왜 일본은 (역사적 사실을) 인정하는 것이 그렇게 어려운가"라고 했다.

워싱턴포스트(WP)는	워싱턴포스트/NNP+(/SS+WP/SL+)/SS+는/JX
27일(현지	27/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
사설을	사설/NNG+을/JKO
통해	통하/VV+아/EC
"독일은	"/SS+독일/NNP+은/JX
이미	이미/MAG
수십	수십/NR
년	년/NNB
전에	전/NNG+에/JKB
침략의	침략/NNG+의/JKG
역사를	역사/NNG+를/JKO
정직하게	정직/NNG+하/XSA+게/EC
받아들이면서	받아들이/VV+면서/EC
유럽에서	유럽/NNP+에서/JKB
확고한	확고하/VA+ㄴ/ETM
위치를	위치/NNG+를/JKO
차지했는데	차지/NNG+하/XSV+았/EP+는데/EC
왜	왜/MAG
일본은	일본/NNP+은/JX
(역사적	(/SS+역사/NNG+적/XSN
사실을)	사실/NNG+을/JKO+)/SS
인정하는	인정/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
그렇게	그렇/VA+게/EC
어려운가"라고	어렵/VA+ㄴ가/EF+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.29.4.2
그러면서 "아베는 집권 후 경제와 국방 등의 분야에서 획기적인 조치를 내놓았으나, 최근 삐뚤어진 역사 인식으로 자신이 이룬 모든 진전을 스스로 위험에 빠뜨렸다"며 "아베가 '침략'을 부인한 것에 대해 한국과 중국이 격분하는 것은 이해되는 반응이다.

그러면서	그러/VV+면서/EC
"아베는	"/SS+아베/NNP+는/JX
집권	집권/NNG
후	후/NNG
경제와	경제/NNG+와/JC
국방	국방/NNG
