# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.154
metadata : {}


# id : NWRW1800000024.154.1.1
민주화 이후의 반민주

민주화	민주/NNG+화/XSN
이후의	이후/NNG+의/JKG
반민주	반/XPN+민주/NNG


# id : NWRW1800000024.154.2.1
바로 34년 전 이맘때다.

바로	바로/MAG
34년	34/SN+년/NNB
전	전/NNG
이맘때다.	이맘때/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.154.2.2
유신헌법을 앞세워 영구집권을 꾀하던 박정희 전 대통령은 1975년 5월13일 긴급조치 제9호를 발동했다.

유신헌법을	유신/NNG+헌법/NNG+을/JKO
앞세워	앞세우/VV+어/EC
영구집권을	영구/NNG+집권/NNG+을/JKO
꾀하던	꾀하/VV+던/ETM
박정희	박정희/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
1975년	1975/SN+년/NNB
5월13일	5/SN+월/NNB+13/SN+일/NNB
긴급조치	긴급/NNG+조치/NNG
제9호를	제/XPN+9/SN+호/NNB+를/JKO
발동했다.	발동/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.154.2.3
그는 ‘국가안전과 공공질서의 수호를 위한 대통령 긴급조치’라는 긴 이름의 올가미로 반대세력의 입과 손발을 꽁꽁 묶어두려 했다.

그는	그/NP+는/JX
‘국가안전과	‘/SS+국가/NNG+안전/NNG+과/JC
공공질서의	공공질서/NNG+의/JKG
수호를	수호/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
대통령	대통령/NNG
긴급조치’라는	긴급/NNG+조치/NNG+’/SS+이/VCP+라는/ETM
긴	길/VA+ㄴ/ETM
이름의	이름/NNG+의/JKG
올가미로	올가미/NNG+로/JKB
반대세력의	반대/NNG+세력/NNG+의/JKG
입과	입/NNG+과/JC
손발을	손발/NNG+을/JKO
꽁꽁	꽁꽁/MAG
묶어두려	묶/VV+어/EC+두/VX+려/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.154.2.4
핵심 내용은 유신헌법을 “부정·반대·왜곡 또는 비방하거나 그 개정 또는 폐지를 주장·청원·선동 또는 선전하는 행위”를 못하도록 한 것이다.

핵심	핵심/NNG
내용은	내용/NNG+은/JX
유신헌법을	유신/NNG+헌법/NNG+을/JKO
“부정·반대·왜곡	“/SS+부정/NNG+·/SP+반대/NNG+·/SP+왜곡/NNG
또는	또는/MAG
비방하거나	비방/NNG+하/XSV+거나/EC
그	그/MMD
개정	개정/NNG
폐지를	폐지/NNG+를/JKO
주장·청원·선동	주장/NNG+·/SP+청원/NNG+·/SP+선동/NNG
선전하는	선전/NNG+하/XSV+는/ETM
행위”를	행위/NNG+”/SS+를/JKO
못하도록	못/MAG+하/VV+도록/EC
한	하/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.154.2.5
더욱 악랄한 것은 ‘이 조치를 공연히 비방하는 행위’조차 금지한 것이다.

더욱	더욱/MAG
악랄한	악랄/NNG+하/XSA+ㄴ/ETM
것은	것/NNB+은/JX
‘이	‘/SS+이/MMD
조치를	조치/NNG+를/JKO
공연히	공연히/MAG
비방하는	비방/NNG+하/XSV+는/ETM
행위’조차	행위/NNG+’/SS+조차/JX
금지한	금지/NNG+하/XSV+ㄴ/ETM
