# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.188
metadata : {}


# id : NWRW1800000054.188.1.1
설·추석때 고속도로 통행료 면제

설·추석때	설/NNG+·/SP+추석/NNG+때/NNG
고속도로	고속/NNG+도로/NNG
통행료	통행료/NNG
면제	면제/NNG


# id : NWRW1800000054.188.2.1
명절 연휴 3일간 무료 이용

명절	명절/NNG
연휴	연휴/NNG
3일간	3/SN+일/NNB+간/XSN
무료	무료/NNG
이용	이용/NNG


# id : NWRW1800000054.188.3.1
앞으로 설·추석 명절 기간에 고속도로 통행료가 면제된다.

앞으로	앞/NNG+으로/JKB
설·추석	설/NNG+·/SP+추석/NNG
명절	명절/NNG
기간에	기간/NNG+에/JKB
고속도로	고속/NNG+도로/NNG
통행료가	통행료/NNG+가/JKS
면제된다.	면제/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.188.3.2
국정기획자문위원회는 "올해 추석부터 명절 교통량의 대부분(71%)을 차지하는 설·추석 명절 전날·당일·다음 날 3일 동안 고속도로 통행료를 모두 면제할 것"이라고 23일 밝혔다.

국정기획자문위원회는	국정/NNG+기획/NNG+자문/NNG+위원회/NNG+는/JX
"올해	"/SS+올해/NNG
추석부터	추석/NNG+부터/JX
명절	명절/NNG
교통량의	교통량/NNG+의/JKG
대부분(71%)을	대/XPN+부분/NNG+(/SS+71/SN+%/SW+)/SS+을/JKO
차지하는	차지/NNG+하/XSV+는/ETM
설·추석	설/NNG+·/SP+추석/NNG
전날·당일·다음	전날/NNG+·/SP+당일/NNG+·/SP+다음/NNG
날	날/NNG
3일	3/SN+일/NNB
동안	동안/NNG
고속도로	고속/NNG+도로/NNG
통행료를	통행료/NNG+를/JKO
모두	모두/MAG
면제할	면제/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
23일	23/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.188.3.3
한국도로공사가 관리하는 고속도로 외에 민자 고속도로도 통행료가 면제된다.

한국도로공사가	한국도로공사/NNP+가/JKS
관리하는	관리/NNG+하/XSV+는/ETM
고속도로	고속/NNG+도로/NNG
외에	외/NNB+에/JKB
민자	민자/NNG
고속도로도	고속/NNG+도로/NNG+도/JX
통행료가	통행료/NNG+가/JKS
면제된다.	면제/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.188.3.4
정부 관계자는 "명절에는 고속도로가 막혀서 제 기능을 못하는 경우가 많은데 통행료는 평상시와 동일하게 내야 하는 것에 대한 국민 불만을 해소하자는 차원"이라고 말했다.

정부	정부/NNG
관계자는	관계자/NNG+는/JX
"명절에는	"/SS+명절/NNG+에/JKB+는/JX
고속도로가	고속/NNG+도로/NNG+가/JKS
막혀서	막히/VV+어서/EC
제	저/NP+의/JKG
기능을	기능/NNG+을/JKO
못하는	못/MAG+하/XSV+는/ETM
경우가	경우/NNG+가/JKS
많은데	많/VA+은데/EC
통행료는	통행료/NNG+는/JX
평상시와	평상시/NNG+와/JKB
동일하게	동일/NNG+하/XSA+게/EC
내야	내/VV+어야/EC
하는	하/VX+는/ETM
것에	것/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
국민	국민/NNG
불만을	불만/NNG+을/JKO
해소하자는	해소/NNG+하/XSV+자는/ETM
차원"이라고	차원/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.188.4.1
하지만 명절 연휴 기간이 4일 이상인 경우 통행료가 면제되는 3일 동안에만 교통량이 집중될 수 있다는 우려도 나온다.

하지만	하지만/MAJ
명절	명절/NNG
연휴	연휴/NNG
기간이	기간/NNG+이/JKS
4일	4/SN+일/NNB
이상인	이상/NNG+이/VCP+ㄴ/ETM
경우	경우/NNG
통행료가	통행료/NNG+가/JKS
면제되는	면제/NNG+되/XSV+는/ETM
3일	3/SN+일/NNB
동안에만	동안/NNG+에/JKB+만/JX
교통량이	교통량/NNG+이/JKS
집중될	집중/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
우려도	우려/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.188.4.2
국토교통부 관계자는 "통행료를 감면받으려고 명절 기간 고향을 오가는 일정을 바꾸는 사람이 많지는 않을 것"이라며 "오는 추석 연휴의 고속도로 통행량을 면밀히 살펴보고 문제가 되는 부분을 보완할 방침"이라고 말했다.

국토교통부	국토/NNG+교통부/NNG
관계자는	관계자/NNG+는/JX
"통행료를	"/SS+통행료/NNG+를/JKO
감면받으려고	감면/NNG+받/XSV+으려고/EC
명절	명절/NNG
기간	기간/NNG
고향을	고향/NNG+을/JKO
오가는	오가/VV+는/ETM
일정을	일정/NNG+을/JKO
바꾸는	바꾸/VV+는/ETM
사람이	사람/NNG+이/JKS
많지는	많/VA+지/EC+는/JX
않을	않/VX+을/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"오는	"/SS+오/VV+는/ETM
추석	추석/NNG
연휴의	연휴/NNG+의/JKG
고속도로	고속/NNG+도로/NNG
통행량을	통행량/NNG+을/JKO
면밀히	면밀히/MAG
살펴보고	살펴보/VV+고/EC
문제가	문제/NNG+가/JKS
되는	되/VV+는/ETM
부분을	부분/NNG+을/JKO
보완할	보완/NNG+하/XSV+ㄹ/ETM
방침"이라고	방침/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.188.5.1
지금까지는 2015년 8월 14일과 지난해 5월 6일 임시 공휴일에 고속도로 통행료를 면제한 적이 있다.

지금까지는	지금/NNG+까지/JX+는/JX
2015년	2015/SN+년/NNB
8월	8/SN+월/NNB
14일과	14/SN+일/NNB+과/JC
지난해	지난해/NNG
5월	5/SN+월/NNB
6일	6/SN+일/NNB
임시	임시/NNG
공휴일에	공휴일/NNG+에/JKB
고속도로	고속/NNG+도로/NNG
통행료를	통행료/NNG+를/JKO
면제한	면제/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.188.5.2
당시 통행료 면제액은 일반 고속도로가 하루 약 150억원, 민자 고속도로가 약 40억원이었다.

당시	당시/NNG
통행료	통행료/NNG
면제액은	면제액/NNG+은/JX
일반	일반/NNG
고속도로가	고속/NNG+도로/NNG+가/JKS
하루	하루/NNG
약	약/MMA
150억원,	150/SN+억/NR+원/NNB+,/SP
민자	민자/NNG
40억원이었다.	40/SN+억/NR+원/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.188.5.3
이를 감안하면 명절 연휴 3일 동안 전체 통행료 면제액이 약 570억원일 것으로 추정된다.

이를	이/NP+를/JKO
감안하면	감안/NNG+하/XSV+면/EC
명절	명절/NNG
연휴	연휴/NNG
3일	3/SN+일/NNB
동안	동안/NNG
전체	전체/NNG
통행료	통행료/NNG
면제액이	면제액/NNG+이/JKS
약	약/MMA
570억원일	570/SN+억/NR+원/NNB+이/VCP+ㄹ/ETM
것으로	것/NNB+으로/JKB
추정된다.	추정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.188.6.1
통행료가 비싼 민자 고속도로에 대한 통행료 인하도 추진된다.

통행료가	통행료/NNG+가/JKS
비싼	비싸/VA+ㄴ/ETM
민자	민자/NNG
고속도로에	고속/NNG+도로/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
통행료	통행료/NNG
인하도	인하/NNG+도/JX
추진된다.	추진/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.188.6.2
우선 내년 6월까지 서울 외곽순환고속도로 민자 구간(북부 구간) 통행료를 낮출 계획이다.

우선	우선/MAG
내년	내년/NNG
6월까지	6/SN+월/NNB+까지/JX
서울	서울/NNP
외곽순환고속도로	외곽순환고속도로/NNP
민자	민자/NNG
구간(북부	구간/NNG+(/SS+북부/NNG
구간)	구간/NNG+)/SS
통행료를	통행료/NNG+를/JKO
낮출	낮추/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.188.6.3
올해 9월부터 친환경차(전기차·수소차)의 고속도로 통행료도 50% 할인한다.

올해	올해/NNG
9월부터	9/SN+월/NNB+부터/JX
친환경차(전기차·수소차)의	친/XPN+환경/NNG+차/NNG+(/SS+전기/NNG+차/NNG+·/SP+수소/NNG+차/NNG+)/SS+의/JKG
고속도로	고속/NNG+도로/NNG
통행료도	통행료/NNG+도/JX
50%	50/SN+%/SW
할인한다.	할인/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.188.6.4
국정기획위는 또 내년 평창 동계올림픽과 동계 패럴림픽 기간(총 27일) 동안 영동고속도로 통행료를 면제할 계획이다.

국정기획위는	국정/NNG+기획위/NNG+는/JX
또	또/MAG
내년	내년/NNG
평창	평창/NNP
동계올림픽과	동계/NNG+올림픽/NNG+과/JC
동계	동계/NNG
패럴림픽	패럴림픽/NNG
기간(총	기간/NNG+(/SS+총/MMA
27일)	27/SN+일/NNB+)/SS
동안	동안/NNG
영동고속도로	영동고속도로/NNP
통행료를	통행료/NNG+를/JKO
면제할	면제/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


