# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.163
metadata : {}


# id : NWRW1800000037.163.1.1
[책의 향기]조앤 롤링이 가명으로 낸 추리소설

[책의	[/SS+책/NNG+의/JKG
향기]조앤	향기/NNG+]/SS+조앤/NNP
롤링이	롤링/NNP+이/JKS
가명으로	가명/NNG+으로/JKB
낸	내/VV+ㄴ/ETM
추리소설	추리/NNG+소설/NNG


# id : NWRW1800000037.163.2.1
◇쿠쿠스 콜링 1, 2/로버트 갤브레이스(조앤 K 롤링) 지음·김선형 옮김/각 336, 356쪽·각 1만2500원/문학수첩

◇쿠쿠스	◇/SW+쿠쿠스/NNP
콜링	콜링/NNP
1,	1/SN+,/SP
2/로버트	2/SN+//SP+로버트/NNP
갤브레이스(조앤	갤브레이스/NNP+(/SS+조앤/NNP
K	K/SL
롤링)	롤링/NNP+)/SS
지음·김선형	짓/VV+음/ETN+·/SP+김선형/NNP
옮김/각	옮기/VV+ㅁ/ETN+//SP+각/MMD
336,	336/SN+,/SP
356쪽·각	356/SN+쪽/NNG+·/SP+각/MMD
1만2500원/문학수첩	1/SN+만/NR+2500/SN+원/NNB+//SP+문학수첩/NNP


# id : NWRW1800000037.163.3.1
해리 포터 시리즈를 쓴 조앤 K 롤링(사진)이 자신의 이름값에 낀 거품을 빼고 작품성만으로 평가받겠다며 가명으로 발표한 추리소설이다.

해리	해리/NNP
포터	포터/NNP
시리즈를	시리즈/NNG+를/JKO
쓴	쓰/VV+ㄴ/ETM
조앤	조앤/NNP
K	K/SL
롤링(사진)이	롤링/NNP+(/SS+사진/NNG+)/SS+이/JKS
자신의	자신/NNG+의/JKG
이름값에	이름값/NNG+에/JKB
낀	끼/VV+ㄴ/ETM
거품을	거품/NNG+을/JKO
빼고	빼/VV+고/EC
작품성만으로	작품/NNG+성/XSN+만/JX+으로/JKB
평가받겠다며	평가/NNG+받/XSV+겠/EP+다며/EC
가명으로	가명/NNG+으로/JKB
발표한	발표/NNG+하/XSV+ㄴ/ETM
추리소설이다.	추리/NNG+소설/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.163.3.2
영국 현지 출간 후 석 달 동안 8500부가 팔렸는데 롤링의 법률자문인 법무법인 소속 변호사가 언론에 실제 저자를 폭로하면서 판매부수가 금세 100만 부를 돌파했다.

영국	영국/NNP
현지	현지/NNG
출간	출간/NNG
후	후/NNG
석	석/MMN
달	달/NNB
동안	동안/NNG
8500부가	8500/SN+부/NNB+가/JKS
팔렸는데	팔리/VV+었/EP+는데/EC
롤링의	롤링/NNP+의/JKG
법률자문인	법률/NNG+자문/NNG+이/VCP+ㄴ/ETM
법무법인	법무/NNG+법인/NNG
소속	소속/NNG
변호사가	변호사/NNG+가/JKS
언론에	언론/NNG+에/JKB
실제	실제/NNG
저자를	저자/NNG+를/JKO
폭로하면서	폭로/NNG+하/XSV+면서/EC
판매부수가	판매/NNG+부수/NNG+가/JKS
금세	금세/MAG
100만	100/SN+만/NR
부를	부/NNB+를/JKO
돌파했다.	돌파/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.163.4.1
소설의 주인공은 폭발 사고로 한쪽 다리를 잃은 영국군 출신 사립탐정 코모란 스트라이크.

소설의	소설/NNG+의/JKG
주인공은	주인공/NNG+은/JX
폭발	폭발/NNG
사고로	사고/NNG+로/JKB
한쪽	한쪽/NNG
다리를	다리/NNG+를/JKO
잃은	잃/VV+은/ETM
영국군	영국군/NNG
출신	출신/NNG
사립탐정	사립/NNG+탐정/NNG
코모란	코모란/NNP
스트라이크.	스트라이크/NNP+./SF


# id : NWRW1800000037.163.4.2
파리만 날리는 탐정사무소에 앉아 빚 걱정만 하고 있는 그에게 당대 최고의 톱모델 룰라 랜드리의 오빠가 찾아와 사건을 의뢰한다.

파리만	파리/NNG+만/JX
날리는	날리/VV+는/ETM
탐정사무소에	탐정/NNG+사무소/NNG+에/JKB
앉아	앉/VV+아/EC
빚	빚/NNG
걱정만	걱정/NNG+만/JX
하고	하/VV+고/EC
있는	있/VX+는/ETM
그에게	그/NP+에게/JKB
당대	당대/NNG
최고의	최고/NNG+의/JKG
톱모델	톱/NNG+모델/NNG
룰라	룰라/NNP
랜드리의	랜드리/NNP+의/JKG
오빠가	오빠/NNG+가/JKS
찾아와	찾아오/VV+아/EC
사건을	사건/NNG+을/JKO
의뢰한다.	의뢰/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.163.4.3
경찰이 투신자살로 결론지은 여동생 룰라의 죽음이 실제로는 마약 중독자인 애인에 의한 타살이라며 조사를 요청한 것.

경찰이	경찰/NNG+이/JKS
투신자살로	투신자살/NNG+로/JKB
결론지은	결론짓/VV+은/ETM
여동생	여동생/NNG
