# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.331
metadata : {}


# id : NWRW1800000045.331.1.1
오픈프라이머리, 투표율 낮으면 민심왜곡 위험

오픈프라이머리,	오픈프라이머리/NNG+,/SP
투표율	투표/NNG+율/XSN
낮으면	낮/VA+으면/EC
민심왜곡	민심/NNG+왜곡/NNG
위험	위험/NNG


# id : NWRW1800000045.331.2.1
[상향식 공천의 역설]김무성 “공천권 내려놓기 위해 추진” 조직-돈선거 우려… 정치신인 불리 전문가 “한국형 완전국민경선 필요”

[상향식	[/SS+상향식/NNG
공천의	공천/NNG+의/JKG
역설]김무성	역설/NNG+]/SS+김무성/NNP
“공천권	“/SS+공천/NNG+권/XSN
내려놓기	내려놓/VV+기/ETN
위해	위하/VV+아/EC
추진”	추진/NNG+”/SS
조직-돈선거	조직/NNG+-/SO+돈선거/NNG
우려…	우려/NNG+…/SE
정치신인	정치/NNG+신인/NNG
불리	불리/NNG
전문가	전문가/NNG
“한국형	“/SS+한국/NNP+형/XSN
완전국민경선	완전/NNG+국민/NNG+경선/NNG
필요”	필요/NNG+”/SS


# id : NWRW1800000045.331.3.1
새누리당 김무성 대표는 작년 취임 이전부터 “권력자에게 충성해서 공천을 받는 정치 현실을 뜯어고치겠다”며 “지도부의 공천권을 내려놓기 위해 오픈프라이머리(완전국민참여경선제)를 도입하겠다”고 공언해왔다.

새누리당	새누리당/NNP
김무성	김무성/NNP
대표는	대표/NNG+는/JX
작년	작년/NNG
취임	취임/NNG
이전부터	이전/NNG+부터/JX
“권력자에게	“/SS+권력자/NNG+에게/JKB
충성해서	충성/NNG+하/XSV+아서/EC
공천을	공천/NNG+을/JKO
받는	받/VV+는/ETM
정치	정치/NNG
현실을	현실/NNG+을/JKO
뜯어고치겠다”며	뜯어고치/VV+겠/EP+다/EF+”/SS+며/EC
“지도부의	“/SS+지도부/NNG+의/JKG
공천권을	공천/NNG+권/XSN+을/JKO
내려놓기	내려놓/VV+기/ETN
위해	위하/VV+아/EC
오픈프라이머리(완전국민참여경선제)를	오픈프라이머리/NNG+(/SS+완전/NNG+국민/NNG+참여/NNG+경선/NNG+제/XSN+)/SS+를/JKO
도입하겠다”고	도입/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
공언해왔다.	공언/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.331.3.2
김 대표의 말처럼 오픈프라이머리가 제대로 도입돼 후보들의 공정 경선이 보장된다면 과거 정치의 폐단으로 지목된 ‘밀실공천’의 폐해를 어느 정도 근절할 수 있을 것이라는 관측이 나왔다.

김	김/NNP
대표의	대표/NNG+의/JKG
말처럼	말/NNG+처럼/JKB
오픈프라이머리가	오픈프라이머리/NNG+가/JKS
제대로	제대로/MAG
도입돼	도입/NNG+되/XSV+어/EC
후보들의	후보/NNG+들/XSN+의/JKG
공정	공정/NNG
경선이	경선/NNG+이/JKS
보장된다면	보장/NNG+되/XSV+ㄴ다면/EC
과거	과거/NNG
정치의	정치/NNG+의/JKG
폐단으로	폐단/NNG+으로/JKB
지목된	지목/NNG+되/XSV+ㄴ/ETM
‘밀실공천’의	‘/SS+밀실/NNG+공천/NNG+’/SS+의/JKG
폐해를	폐해/NNG+를/JKO
어느	어느/MMD
정도	정도/NNG
근절할	근절/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것이라는	것/NNB+이/VCP+라는/ETM
관측이	관측/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.331.3.3
하지만 거창한 명분과 현실은 엄연히 거리가 있다.

하지만	하지만/MAJ
거창한	거창하/VA+ㄴ/ETM
명분과	명분/NNG+과/JC
현실은	현실/NNG+은/JX
엄연히	엄연히/MAG
거리가	거리/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.331.4.1
여야가 가장 우려하는 점은 오픈프라이머리 당일 투표율이다.

여야가	여야/NNG+가/JKS
가장	가장/MAG
우려하는	우려/NNG+하/XSV+는/ETM
점은	점/NNG+은/JX
오픈프라이머리	오픈프라이머리/NNG
당일	당일/NNG
투표율이다.	투표/NNG+율/XSN+이/VCP+다/EF+./SF

