# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.31
metadata : {}


# id : NWRW1800000037.31.1.1
美의회도 80조원 선심성 감세 ‘끼워넣기’

美의회도	美/SH+의회/NNG+도/JX
80조원	80/SN+조/NR+원/NNB
선심성	선심/NNG+성/XSN
감세	감세/NNG
‘끼워넣기’	‘/SS+끼우/VV+어/EC+넣/VV+기/ETN+’/SS


# id : NWRW1800000037.31.2.1
‘재정절벽’ 타결에 美국민 눈-귀 쏠린 사이… 의원 1인당 12건 이상 타결안에 슬쩍 포함시켜

‘재정절벽’	‘/SS+재정/NNG+절벽/NNG+’/SS
타결에	타결/NNG+에/JKB
美국민	美/SH+국민/NNG
눈-귀	눈/NNG+-/SO+귀/NNG
쏠린	쏠리/VV+ㄴ/ETM
사이…	사이/NNG+…/SE
의원	의원/NNG
1인당	1/SN+인/NNG+당/XSN
12건	12/SN+건/NNB
이상	이상/NNG
타결안에	타결안/NNG+에/JKB
슬쩍	슬쩍/MAG
포함시켜	포함/NNG+시키/XSV+어/EF


# id : NWRW1800000037.31.3.1
미국 연방의회가 1일 재정절벽 타결 법안을 통과시키면서 750억 달러(약 79조8000억 원) 규모의 선심성 감세 조치를 슬쩍 집어넣어 빈축을 사고 있다.

미국	미국/NNP
연방의회가	연방/NNG+의회/NNG+가/JKS
1일	1/SN+일/NNB
재정절벽	재정/NNG+절벽/NNG
타결	타결/NNG
법안을	법안/NNG+을/JKO
통과시키면서	통과/NNG+시키/XSV+면서/EC
750억	750/SN+억/NR
달러(약	달러/NNB+(/SS+약/MMA
79조8000억	79/SN+조/NR+8000/SN+억/NR
원)	원/NNB+)/SS
규모의	규모/NNG+의/JKG
선심성	선심/NNG+성/XSN
감세	감세/NNG
조치를	조치/NNG+를/JKO
슬쩍	슬쩍/MAG
집어넣어	집어넣/VV+어/EC
빈축을	빈축/NNG+을/JKO
사고	사/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.31.4.1
싱크탱크 미국진보센터(CAP)의 스콧 라일리 연구원은 3일 공영라디오방송(NPR) 인터뷰에서 “상하원 의원 1인당 평균 12개가 넘는 총 6500개의 선심성 감세 조치가 재정절벽 타결안(미국 납세자 지원법안)에 포함된 것으로 파악됐다”고 밝혔다.

싱크탱크	싱크탱크/NNG
미국진보센터(CAP)의	미국진보센터/NNP+(/SS+CAP/SL+)/SS+의/JKG
스콧	스콧/NNP
라일리	라일리/NNP
연구원은	연구원/NNG+은/JX
3일	3/SN+일/NNB
공영라디오방송(NPR)	공영라디오방송/NNP+(/SS+NPR/SL+)/SS
인터뷰에서	인터뷰/NNG+에서/JKB
“상하원	“/SS+상하원/NNG
의원	의원/NNG
1인당	1/SN+인/NNG+당/XSN
평균	평균/NNG
12개가	12/SN+개/NNB+가/JKS
넘는	넘/VV+는/ETM
총	총/MMA
6500개의	6500/SN+개/NNB+의/JKG
선심성	선심/NNG+성/XSN
감세	감세/NNG
조치가	조치/NNG+가/JKS
재정절벽	재정/NNG+절벽/NNG
타결안(미국	타결안/NNG+(/SS+미국/NNP
납세자	납세자/NNG
지원법안)에	지원/NNG+법안/NNG+)/SS+에/JKB
포함된	포함/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
파악됐다”고	파악/NNG+되/XSV+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.31.4.2
1일 상원에서 표결 처리된 타결안에는 다양한 기업과 업종에 대한 감세 연장 조치가 포함됐다.

1일	1/SN+일/NNB
상원에서	상원/NNG+에서/JKB
표결	표결/NNG
처리된	처리/NNG+되/XSV+ㄴ/ETM
타결안에는	타결안/NNG+에/JKB+는/JX
다양한	다양/NNG+하/XSA+ㄴ/ETM
기업과	기업/NNG+과/JC
업종에	업종/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
감세	감세/NNG
연장	연장/NNG
조치가	조치/NNG+가/JKS
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.31.4.3
같은 날 하원은 상원에서 넘어온 안 그대로 의결(찬성 257, 반대 167)했다.

같은	같/VA+은/ETM
날	날/NNG
하원은	하원/NNG+은/JX
상원에서	상원/NNG+에서/JKB
넘어온	넘어오/VV+ㄴ/ETM
안	안/NNG
그대로	그대로/MAG
의결(찬성	의결/NNG+(/SS+찬성/NNG
257,	257/SN+,/SP
반대	반대/NNG
167)했다.	167/SN+)/SS+하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.31.5.1
대표적인 선심성 감세 사례로는 △영화와 TV 프로그램 제작비 세액 공제 연간 4억3000만 달러 △철도사업자 유지보수비 지원금 3억3000만 달러 △푸에르토리코산 럼주의 소비세 환급금 연간 2억2000만 달러 △자동차 경주장 건설비 회수 지원금 7000만 달러 △이륜과 삼륜 전기자동차 구매자 세금공제 400만 달러 등이 있다.

대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
선심성	선심/NNG+성/XSN
감세	감세/NNG
사례로는	사례/NNG+로/JKB+는/JX
△영화와	△/SW+영화/NNG+와/JC
TV	TV/SL
프로그램	프로그램/NNG
제작비	제작비/NNG
세액	세액/NNG
공제	공제/NNG
연간	연간/NNG
4억3000만	4/SN+억/NR+3000/SN+만/NR
달러	달러/NNB
△철도사업자	△/SW+철도/NNG+사업자/NNG
유지보수비	유지/NNG+보수비/NNG
지원금	지원금/NNG
3억3000만	3/SN+억/NR+3000/SN+만/NR
△푸에르토리코산	△/SW+푸에르토리코/NNP+산/XSN
럼주의	럼주/NNG+의/JKG
소비세	소비세/NNG
환급금	환급금/NNG
2억2000만	2/SN+억/NR+2000/SN+만/NR
△자동차	△/SW+자동차/NNG
경주장	경주장/NNG
건설비	건설비/NNG
회수	회수/NNG
7000만	7000/SN+만/NR
△이륜과	△/SW+이륜/NNG+과/JC
삼륜	삼륜/NNG
전기자동차	전기/NNG+자동차/NNG
구매자	구매자/NNG
세금공제	세금/NNG+공제/NNG
400만	400/SN+만/NR
등이	등/NNB+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.31.5.2
이를 모두 합한 공제 규모는 연간 753억 달러에 이른다.

이를	이/NP+를/JKO
모두	모두/MAG
합한	합/NNG+하/XSV+ㄴ/ETM
공제	공제/NNG
규모는	규모/NNG+는/JX
연간	연간/NNG
753억	753/SN+억/NR
달러에	달러/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.31.6.1
CNN 방송은 “이런 선심성 조항은 157쪽 분량의 타결안 곳곳에 흩어져 있어 눈에 잘 띄지 않으며 그 내용도 연장 기간만 수정한 것”이라고 보도했다.

CNN	CNN/SL
방송은	방송/NNG+은/JX
“이런	“/SS+이런/MMD
선심성	선심/NNG+성/XSN
조항은	조항/NNG+은/JX
157쪽	157/SN+쪽/NNG
분량의	분량/NNG+의/JKG
타결안	타결안/NNG
곳곳에	곳곳/NNG+에/JKB
흩어져	흩어지/VV+어/EC
있어	있/VX+어/EC
눈에	눈/NNG+에/JKB
잘	잘/MAG
띄지	띄/VV+지/EC
않으며	않/VX+으며/EC
그	그/MMD
내용도	내용/NNG+도/JX
연장	연장/NNG
기간만	기간/NNG+만/JX
수정한	수정/NNG+하/XSV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.31.7.1
서민들의 경제적 어려움이 계속되는 동안 연간 900달러 가량의 세비 인상을 막았다고 칭찬받던 미 의회지만 지역구 예산을 챙기는 점에선 한국 국회와 크게 다르지 않은 행태를 보인 셈이다.

서민들의	서민/NNG+들/XSN+의/JKG
경제적	경제/NNG+적/XSN
어려움이	어려움/NNG+이/JKS
계속되는	계속/NNG+되/XSV+는/ETM
동안	동안/NNG
연간	연간/NNG
900달러	900/SN+달러/NNB
가량의	가량/XSN+의/JKG
세비	세비/NNG
인상을	인상/NNG+을/JKO
막았다고	막/VV+았/EP+다고/EC
칭찬받던	칭찬/NNG+받/XSV+던/ETM
미	미/NNP
의회지만	의회/NNG+이/VCP+지만/EC
지역구	지역구/NNG
예산을	예산/NNG+을/JKO
챙기는	챙기/VV+는/ETM
점에선	점/NNG+에서/JKB+ㄴ/JX
한국	한국/NNP
국회와	국회/NNG+와/JKB
크게	크/VA+게/EC
다르지	다르/VA+지/EC
않은	않/VX+은/ETM
행태를	행태/NNG+를/JKO
보인	보이/VV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.31.8.1
기업 증세를 주장하는 시민단체인 ‘조세정의를 위한 시민들(CTJ)’의 밥 매킨타이어 국장은 경제주간지 블룸버그 비즈니스위크에 쓴 글에서 “제너럴모터스(GE)에 대한 세액공제, 회계법인 연구비 공제 등 감세 조치는 국가 경제에 도움이 되지 않는다.

기업	기업/NNG
증세를	증세/NNG+를/JKO
주장하는	주장/NNG+하/XSV+는/ETM
시민단체인	시민/NNG+단체/NNG+이/VCP+ㄴ/ETM
‘조세정의를	‘/SS+조세/NNG+정의/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
시민들(CTJ)’의	시민/NNG+들/XSN+(/SS+CTJ/SL+)/SS+’/SS+의/JKG
밥	밥/NNP
매킨타이어	매킨타이어/NNP
국장은	국장/NNG+은/JX
경제주간지	경제/NNG+주간지/NNG
블룸버그	블룸버그/NNP
비즈니스위크에	비즈니스위크/NNG+에/JKB
쓴	쓰/VV+ㄴ/ETM
글에서	글/NNG+에서/JKB
“제너럴모터스(GE)에	“/SS+제너럴모터스/NNP+(/SS+GE/SL+)/SS+에/JKB
대한	대하/VV+ㄴ/ETM
세액공제,	세액/NNG+공제/NNG+,/SP
회계법인	회계/NNG+법인/NNG
연구비	연구비/NNG
공제	공제/NNG
등	등/NNB
감세	감세/NNG
조치는	조치/NNG+는/JX
국가	국가/NNG
경제에	경제/NNG+에/JKB
도움이	도움/NNG+이/JKC
되지	되/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000037.31.8.2
오히려 해가 될 것”이라고 비판했다.

오히려	오히려/MAG
해가	해/NNG+가/JKC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


