# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.140
metadata : {}


# id : NWRW1800000048.140.1.1
“IS 외국인 용병 1년새 두배 증가”

“IS	“/SS+IS/SL
외국인	외국인/NNG
용병	용병/NNG
1년새	1/SN+년/NNB+새/NNG
두배	두/MMN+배/NNG
증가”	증가/NNG+”/SS


# id : NWRW1800000048.140.2.1
미국 보안컨설팅회사 “3만여명”

미국	미국/NNP
보안컨설팅회사	보안/NNG+컨설팅/NNG+회사/NNG
“3만여명”	“/SS+3/SN+만/NR+여/XSN+명/NNB+”/SS


# id : NWRW1800000048.140.3.1
중국서도 대원 모집 시도 정황

중국서도	중국/NNP+서/JKB+도/JX
대원	대원/NNG
모집	모집/NNG
시도	시도/NNG
정황	정황/NNG


# id : NWRW1800000048.140.4.1
시리아에서 활동하는 외국 출신 무장대원이 최근 1년 사이에 두 배 이상 증가한 것으로 보고됐다.

시리아에서	시리아/NNP+에서/JKB
활동하는	활동/NNG+하/XSV+는/ETM
외국	외국/NNG
출신	출신/NNG
무장대원이	무장대원/NNG+이/JKS
최근	최근/MAG
1년	1/SN+년/NNB
사이에	사이/NNG+에/JKB
두	두/MMN
배	배/NNG
이상	이상/NNG
증가한	증가/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보고됐다.	보고/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000048.140.5.1
미국 뉴욕의 보안컨설팅 회사인 수판그룹은 시리아에서 활동 중인 외국 출신 무장대원은 2014년 6월 이후 1만2000명에서 2만7000~3만1000명으로 늘어났다는 보고서를 8일 발표했다고 <비비시>와 <로이터>가 보도했다.

미국	미국/NNP
뉴욕의	뉴욕/NNP+의/JKG
보안컨설팅	보안/NNG+컨설팅/NNG
회사인	회사/NNG+이/VCP+ㄴ/ETM
수판그룹은	수판그룹/NNP+은/JX
시리아에서	시리아/NNP+에서/JKB
활동	활동/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
외국	외국/NNG
출신	출신/NNG
무장대원은	무장대원/NNG+은/JX
2014년	2014/SN+년/NNB
6월	6/SN+월/NNB
이후	이후/NNG
1만2000명에서	1/SN+만/NR+2000/SN+명/NNB+에서/JKB
2만7000~3만1000명으로	2/SN+만/NR+7000/SN+~/SO+3/SN+만/NR+1000/SN+명/NNB+으로/JKB
늘어났다는	늘어나/VV+았/EP+다는/ETM
보고서를	보고서/NNG+를/JKO
8일	8/SN+일/NNB
발표했다고	발표/NNG+하/XSV+았/EP+다고/EC
<비비시>와	</SS+비비시/NNP+>/SS+와/JC
<로이터>가	</SS+로이터/NNP+>/SS+가/JKS
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.140.5.2
이 보고서 작성은 영국 해외정보국인 엠아이6(MI6)의 수장을 역임한 리처드 바레트가 주도했다.

이	이/MMD
보고서	보고서/NNG
작성은	작성/NNG+은/JX
영국	영국/NNP
해외정보국인	해외/NNG+정보국/NNG+이/VCP+ㄴ/ETM
엠아이6(MI6)의	엠아이/NNG+6/SN+(/SS+MI/SL+6/SN+)/SS+의/JKG
수장을	수장/NNG+을/JKO
역임한	역임/NNG+하/XSV+ㄴ/ETM
리처드	리처드/NNP
바레트가	바레트/NNP+가/JKS
주도했다.	주도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.140.6.1
보고서는 아랍 국가들이 외국인 무장대원의 가장 큰 공급원이지만 서유럽과 러시아, 중앙아시아 출신의 대원들도 현저히 늘었다고 지적했다.

보고서는	보고서/NNG+는/JX
아랍	아랍/NNP
국가들이	국가/NNG+들/XSN+이/JKS
외국인	외국인/NNG
무장대원의	무장대원/NNG+의/JKG
가장	가장/MAG
큰	크/VA+ㄴ/ETM
공급원이지만	공급원/NNG+이/VCP+지만/EC
서유럽과	서유럽/NNP+과/JC
러시아,	러시아/NNP+,/SP
중앙아시아	중앙아시아/NNP
출신의	출신/NNG+의/JKG
대원들도	대원/NNG+들/XSN+도/JX
현저히	현저히/MAG
늘었다고	늘/VV+었/EP+다고/EC
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.140.6.2
시리아에 온 외국 무장대원들이 본국으로 돌아가는 비율은 현재 약 20~30%로 추정됐다.

시리아에	시리아/NNP+에/JKB
온	오/VV+ㄴ/ETM
외국	외국/NNG
무장대원들이	무장대원/NNG+들/XSN+이/JKS
본국으로	본국/NNG+으로/JKB
돌아가는	돌아가/VV+는/ETM
비율은	비율/NNG+은/JX
현재	현재/MAG
약	약/MMA
20~30%로	20/SN+~/SO+30/SN+%/SW+로/JKB
추정됐다.	추정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000048.140.6.3
시리아의 외국 무장대원들이 가장 많이 가담하는 곳은 이슬람국가(IS)다.

시리아의	시리아/NNP+의/JKG
외국	외국/NNG
무장대원들이	무장대원/NNG+들/XSN+이/JKS
가장	가장/MAG
많이	많이/MAG
가담하는	가담/NNG+하/XSV+는/ETM
곳은	곳/NNG+은/JX
