# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.276
metadata : {}


# id : NWRW1800000038.276.1.1
[모던 광고 파노라마] (5) ‘돈벌이 大王’ 사려~ 뻥이요! 1932년 ‘최첨단’ 곡물팽창기 출현

[모던	[/SS+모던/NNG
광고	광고/NNG
파노라마]	파노라마/NNG+]/SS
(5)	(/SS+5/SN+)/SS
‘돈벌이	‘/SS+돈벌이/NNG
大王’	大王/SH+’/SS
사려~	사/VV+려/EF+~/SO
뻥이요!	뻥/MAG+이요/JX+!/SF
1932년	1932/SN+년/NNB
‘최첨단’	‘/SS+최/XPN+첨단/NNG+’/SS
곡물팽창기	곡물/NNG+팽창기/NNG
출현	출현/NNG


# id : NWRW1800000038.276.2.1
"다섯 홉(약 0.18L)의 쌀이 다섯 되(약 1.8L)로 됩니다!"

"다섯	"/SS+다섯/NR
홉(약	홉/NNB+(/SS+약/MMA
0.18L)의	0/SN+./SP+18/SN+L/SW+)/SS+의/JKG
쌀이	쌀/NNG+이/JKS
다섯	다섯/NR
되(약	되/NNB+(/SS+약/MMA
1.8L)로	1/SN+./SP+8/SN+L/SW+)/SS+로/JKB
됩니다!"	되/VV+ㅂ니다/EF+!/SF+"/SS


# id : NWRW1800000038.276.3.1
쌀을 무려 10배로 부풀려 준다는 '꿈의 기계' 광고가 1932년 1월 9일자 조선일보 2면에 떴다.

쌀을	쌀/NNG+을/JKO
무려	무려/MAG
10배로	10/SN+배/NNG+로/JKB
부풀려	부풀리/VV+어/EC
준다는	주/VX+ㄴ다는/ETM
'꿈의	'/SS+꿈/NNG+의/JKG
기계'	기계/NNG+'/SS
광고가	광고/NNG+가/JKS
1932년	1932/SN+년/NNB
1월	1/SN+월/NNB
9일자	9/SN+일/NNB+자/NNG
조선일보	조선일보/NNP
2면에	2/SN+면/NNG+에/JKB
떴다.	뜨/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.276.3.2
일본 오사카(大阪)의 한 철공소가 만들어 판 이 기계 이름은 '곡물팽창기(穀物膨脹機)'.

일본	일본/NNP
오사카(大阪)의	오사카/NNP+(/SS+大阪/SH+)/SS+의/JKG
한	한/MMN
철공소가	철공소/NNG+가/JKS
만들어	만들/VV+어/EC
판	팔/VV+ㄴ/ETM
이	이/MMD
기계	기계/NNG
이름은	이름/NNG+은/JX
'곡물팽창기(穀物膨脹機)'.	'/SS+곡물/NNG+팽창기/NNG+(/SS+穀物膨脹機/SH+)/SS+'/SS+./SF


# id : NWRW1800000038.276.3.3
오늘날까지도 우리가 즐기고 있는 국민 간식 '강냉이'와 '튀밥'을 만들어 내는 뻥튀기 기계의 등장이었다.

오늘날까지도	오늘날/NNG+까지/JX+도/JX
우리가	우리/NP+가/JKS
즐기고	즐기/VV+고/EC
있는	있/VX+는/ETM
국민	국민/NNG
간식	간식/NNG
'강냉이'와	'/SS+강냉이/NNG+'/SS+와/JC
'튀밥'을	'/SS+튀밥/NNG+'/SS+을/JKO
만들어	만들/VV+어/EC
내는	내/VX+는/ETM
뻥튀기	뻥튀기/NNG
기계의	기계/NNG+의/JKG
등장이었다.	등장/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.276.4.1
광고 속 80년 전 곡물팽창기 그림을 보면, 호리병 모양의 몸통은 요즘 뻥튀기 기계와 같으나, 몸체를 받치는 스탠드가 유난히 높은 대형이다.

광고	광고/NNG
속	속/NNG
80년	80/SN+년/NNB
전	전/NNG
곡물팽창기	곡물/NNG+팽창기/NNG
그림을	그림/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
호리병	호리병/NNG
모양의	모양/NNG+의/JKG
몸통은	몸통/NNG+은/JX
요즘	요즘/NNG
뻥튀기	뻥튀기/NNG
기계와	기계/NNG+와/JKB
같으나,	같/VA+으나/EC+,/SP
몸체를	몸체/NNG+를/JKO
받치는	받치/VV+는/ETM
스탠드가	스탠드/NNG+가/JKS
유난히	유난히/MAG
높은	높/VA+은/ETM
대형이다.	대형/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.276.4.2
가정용이 아니라 업자용이었다.

가정용이	가정/NNG+용/XSN+이/JKC
아니라	아니/VCN+라/EC
업자용이었다.	업자/NNG+용/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.276.4.3
광고문도 '첨단적 돈버리의 대왕'(1932년 1월 9일자) '과자상(菓子商)의 필수품/ 자미(滋味)스럽게 돈 모는 기계'(1932년 4월 18일자)라는 문구로 '자영업 창업'을 부추겼다.

광고문도	광고문/NNG+도/JX
'첨단적	'/SS+첨단/NNG+적/XSN
돈버리의	돈버리/NNG+의/JKG
대왕'(1932년	대왕/NNG+'/SS+(/SS+1932/SN+년/NNB
1월	1/SN+월/NNB
9일자)	9/SN+일/NNB+자/NNG+)/SS
'과자상(菓子商)의	'/SS+과자상/NNG+(/SS+菓子商/SH+)/SS+의/JKG
필수품/	필수품/NNG+//SP
