# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.215
metadata : {}


# id : NWRW1800000038.215.1.1
80%는 월 1만원 이하 소액 기부자

80%는	80/SN+%/SW+는/JX
월	월/NNG
1만원	1/SN+만/NR+원/NNB
이하	이하/NNG
소액	소액/NNG
기부자	기부자/NNG


# id : NWRW1800000038.215.2.1
쪽방촌 무료진료 '영등포 요셉의원' 지키는 후원자 6000명

쪽방촌	쪽방촌/NNG
무료진료	무료/NNG+진료/NNG
'영등포	'/SS+영등포/NNP
요셉의원'	요셉의원/NNP+'/SS
지키는	지키/VV+는/ETM
후원자	후원자/NNG
6000명	6000/SN+명/NNB


# id : NWRW1800000038.215.3.1
지난해 12월 6일 김모(67)씨가 서울 영등포역 앞 쪽방촌에 있는 요셉의원을 찾았다.

지난해	지난해/NNG
12월	12/SN+월/NNB
6일	6/SN+일/NNB
김모(67)씨가	김/NNP+모/NP+(/SS+67/SN+)/SS+씨/NNB+가/JKS
서울	서울/NNP
영등포역	영등포역/NNP
앞	앞/NNG
쪽방촌에	쪽방촌/NNG+에/JKB
있는	있/VA+는/ETM
요셉의원을	요셉의원/NNP+을/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.215.3.2
김씨는 지갑에서 50만원이 든 봉투를 꺼냈다.

김씨는	김/NNP+씨/NNB+는/JX
지갑에서	지갑/NNG+에서/JKB
50만원이	50/SN+만/NR+원/NNB+이/JKS
든	들/VV+ㄴ/ETM
봉투를	봉투/NNG+를/JKO
꺼냈다.	꺼내/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.215.3.3
"후원금인데 영수증을 좀 떼주세요." 요셉의원 자원봉사자 윤희문(77)씨가 "연말정산 때 필요하시죠?"라고 묻자 김씨는 다른 답을 했다.

"후원금인데	"/SS+후원금/NNG+이/VCP+ㄴ데/EC
영수증을	영수증/NNG+을/JKO
좀	좀/MAG
떼주세요."	떼/VV+어/EC+주/VX+시/EP+어요/EF+./SF+"/SS
요셉의원	요셉의원/NNP
자원봉사자	자원봉사자/NNG
윤희문(77)씨가	윤희문/NNP+(/SS+77/SN+)/SS+씨/NNB+가/JKS
"연말정산	"/SS+연말/NNG+정산/NNG
때	때/NNG
필요하시죠?"라고	필요/NNG+하/XSA+시/EP+죠/EF+?/SF+"/SS+라고/JKQ
묻자	묻/VV+자/EC
김씨는	김/NNP+씨/NNB+는/JX
다른	다른/MMD
답을	답/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.215.3.4
