# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.190
metadata : {}


# id : NWRW1800000022.190.1.1
[호남] [캠퍼스 라이프] 목포대·광주정부통합전산센터 협약;"IT보안 인력양성 협력"

[호남]	[/SS+호남/NNP+]/SS
[캠퍼스	[/SS+캠퍼스/NNG
라이프]	라이프/NNG+]/SS
목포대·광주정부통합전산센터	목포대/NNP+·/SP+광주정부통합전산센터/NNP
협약;"IT보안	협약/NNG+;/SW+"/SS+IT/SL+보안/NNG
인력양성	인력/NNG+양성/NNG
협력"	협력/NNG+"/SS


# id : NWRW1800000022.190.2.1
목포대는 'IT보안' 학과(정보보호학과)를 설치, 사이버 공격으로부터 정보·컴퓨터·시스템·네트워크 등을 보호할 수 있는 전문 기술인력을 양성하고 있다.

목포대는	목포대/NNP+는/JX
'IT보안'	'/SS+IT/SL+보안/NNG+'/SS
학과(정보보호학과)를	학과/NNG+(/SS+정보/NNG+보호/NNG+학과/NNG+)/SS+를/JKO
설치,	설치/NNG+,/SP
사이버	사이버/NNG
공격으로부터	공격/NNG+으로부터/JKB
정보·컴퓨터·시스템·네트워크	정보/NNG+·/SP+컴퓨터/NNG+·/SP+시스템/NNG+·/SP+네트워크/NNG
등을	등/NNB+을/JKO
보호할	보호/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
전문	전문/NNG
기술인력을	기술/NNG+인력/NNG+을/JKO
양성하고	양성/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.190.2.2
또 보안 분야 가운데 '보안 관제'를 특성화 분야로 지정해 전문인력을 집중 육성하고 있다.

또	또/MAG
보안	보안/NNG
분야	분야/NNG
가운데	가운데/NNG
'보안	'/SS+보안/NNG
관제'를	관제/NNG+'/SS+를/JKO
특성화	특성/NNG+화/XSN
분야로	분야/NNG+로/JKB
지정해	지정/NNG+하/XSV+아/EC
전문인력을	전문/NNG+인력/NNG+을/JKO
집중	집중/NNG
육성하고	육성/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.190.2.3
2002년 학과를 개설, 3회 졸업생을 배출한 이 학과는 취업률이 80%를 넘는다.

2002년	2002/SN+년/NNB
학과를	학과/NNG+를/JKO
개설,	개설/NNG+,/SP
3회	3/SN+회/NNB
졸업생을	졸업/NNG+생/XSN+을/JKO
