# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.42
metadata : {}


# id : NWRW1800000024.42.1.1
용산참사자 비하 용산구청장 /건물 28억 땅 8억 부동산 부자

용산참사자	용산/NNP+참사자/NNG
비하	비하/NNG
용산구청장	용산구청장/NNG
/건물	//SP+건물/NNG
28억	28/SN+억/NR
땅	땅/NNG
8억	8/SN+억/NR
부동산	부동산/NNG
부자	부자/NNG


# id : NWRW1800000024.42.2.1
‘용산 참사’가 일어난 지역의 세입자들을 “전국을 쫓아다니며 돈을 내놓으라고 (하는) 떼잡이들”이라고 비하해 물의를 빚은 박장규 서울 용산구청장(<한겨레> 1월24일치 4면)에 대해 비판과 사퇴 촉구가 이어지고 있다.

‘용산	‘/SS+용산/NNP
참사’가	참사/NNG+’/SS+가/JKS
일어난	일어나/VV+ㄴ/ETM
지역의	지역/NNG+의/JKG
세입자들을	세입자/NNG+들/XSN+을/JKO
“전국을	“/SS+전국/NNG+을/JKO
쫓아다니며	쫓아다니/VV+며/EC
돈을	돈/NNG+을/JKO
내놓으라고	내놓/VV+으라고/EC
(하는)	(/SS+하/VV+는/ETM+)/SS
떼잡이들”이라고	떼잡이/NNG+들/XSN+”/SS+이라고/JKQ
비하해	비하/NNG+하/XSV+아/EC
물의를	물의/NNG+를/JKO
빚은	빚/VV+은/ETM
박장규	박장규/NNP
서울	서울/NNP
용산구청장(<한겨레>	용산구청장/NNG+(/SS+</SS+한겨레/NNP+>/SS
1월24일치	1/SN+월/NNB+24/SN+일/NNB+치/NNB
4면)에	4/SN+면/NNG+)/SS+에/JKB
대해	대하/VV+아/EC
비판과	비판/NNG+과/JC
사퇴	사퇴/NNG
촉구가	촉구/NNG+가/JKS
이어지고	이어지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.42.3.1
