# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.101
metadata : {}


# id : NWRW1800000028.101.1.1
사라지는 옛길, 보존할 길 없나

사라지는	사라지/VV+는/ETM
옛길,	옛길/NNG+,/SP
보존할	보존/NNG+하/XSV+ㄹ/ETM
길	길/NNG
없나	없/VA+나/EF


# id : NWRW1800000028.101.2.1
서울 서대문구 북아현동은 고샅길이 살아있는 마을이다.

서울	서울/NNP
서대문구	서대문구/NNP
북아현동은	북아현동/NNP+은/JX
고샅길이	고샅길/NNG+이/JKS
살아있는	살/VV+아/EC+있/VX+는/ETM
마을이다.	마을/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.101.2.2
이곳 집들은 저마다의 모습으로 들쭉날쭉 자리잡고 있는데, 고샅길은 그 집들 사이를 굽이굽이 흘러 실핏줄처럼 온 마을을 잇는다.

이곳	이곳/NP
집들은	집/NNG+들/XSN+은/JX
저마다의	저마다/NNG+의/JKG
모습으로	모습/NNG+으로/JKB
들쭉날쭉	들쭉날쭉/MAG
자리잡고	자리/NNG+잡/VV+고/EC
있는데,	있/VX+는데/EC+,/SP
고샅길은	고샅길/NNG+은/JX
그	그/MMD
집들	집/NNG+들/XSN
사이를	사이/NNG+를/JKO
굽이굽이	굽이굽이/NNG
흘러	흐르/VV+어/EC
실핏줄처럼	실핏줄/NNG+처럼/JKB
온	온/MMN
마을을	마을/NNG+을/JKO
잇는다.	잇/VV+는다/EF+./SF


# id : NWRW1800000028.101.2.3
이 마을에서 길은 곧게 뻗어 있지 않다.

이	이/MMD
마을에서	마을/NNG+에서/JKB
길은	길/NNG+은/JX
곧게	곧/VA+게/EC
뻗어	뻗/VV+어/EC
있지	있/VX+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000028.101.2.4
집과 집, 마을과 마을을 이으며 굽이쳐 흐른다.

집과	집/NNG+과/JC
집,	집/NNG+,/SP
마을과	마을/NNG+과/JC
마을을	마을/NNG+을/JKO
이으며	잇/VV+으며/EC
굽이쳐	굽이치/VV+어/EC
흐른다.	흐르/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.101.2.5
똑같은 모양의 길이 없고, 길모양을 따라 ‘사다리길’ ‘갈고리길’ ‘나뭇가지길’ ‘고리길’ 등 이름도 제각각이다.

똑같은	똑같/VA+은/ETM
모양의	모양/NNG+의/JKG
길이	길/NNG+이/JKS
없고,	없/VA+고/EC+,/SP
길모양을	길/NNG+모양/NNG+을/JKO
따라	따르/VV+아/EC
‘사다리길’	‘/SS+사다리길/NNP+’/SS
‘갈고리길’	‘/SS+갈고리길/NNP+’/SS
‘나뭇가지길’	‘/SS+나뭇가지길/NNP+’/SS
‘고리길’	‘/SS+고리길/NNP+’/SS
등	등/NNB
이름도	이름/NNG+도/JX
제각각이다.	제각각/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.101.3.1
종로구 홍파동과 성동구 하왕십리동에도 이런 길들이 남아있다.

종로구	종로구/NNP
홍파동과	홍파동/NNP+과/JC
성동구	성동구/NNP
하왕십리동에도	하왕십리동/NNP+에/JKB+도/JX
이런	이런/MMD
길들이	길/NNG+들/XSN+이/JKS
남아있다.	남/VV+아/EC+있/VX+다/EF+./SF


# id : NWRW1800000028.101.3.2
이들 동네에는 골목길이 나뭇가지처럼 퍼져있어 마을에 생기를 불어넣는다.

이들	이/NP+들/XSN
동네에는	동네/NNG+에/JKB+는/JX
골목길이	골목길/NNG+이/JKS
나뭇가지처럼	나뭇가지/NNG+처럼/JKB
퍼져있어	퍼지/VV+어/EC+있/VX+어/EC
마을에	마을/NNG+에/JKB
생기를	생기/NNG+를/JKO
불어넣는다.	불어넣/VV+는다/EF+./SF


# id : NWRW1800000028.101.3.3
길을 먼저 닦고, 그 길을 따라 집들이 들어선 것이 아니라 집들이 들어선 사이로 길이 나 막다른 골목길도 많다.

길을	길/NNG+을/JKO
먼저	먼저/MAG
닦고,	닦/VV+고/EC+,/SP
