# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.155
metadata : {}


# id : NWRW1800000054.155.1.1
'5조 회계 사기' 대우조선 고재호 前사장 징역 10년

'5조	'/SS+5/SN+조/NR
회계	회계/NNG
사기'	사기/NNG+'/SS
대우조선	대우조선/NNP
고재호	고재호/NNP
前사장	前/SH+사장/NNG
징역	징역/NNG
10년	10/SN+년/NNB


# id : NWRW1800000054.155.2.1
21조원대 사기대출 주도 혐의… 1심 재판 "죄질 매우 나쁘다" 검찰 구형 그대로 선고

21조원대	21/SN+조/NR+원/NNB+대/XSN
사기대출	사기/NNG+대출/NNG
주도	주도/NNG
혐의…	혐의/NNG+…/SE
1심	1심/NNG
재판	재판/NNG
"죄질	"/SS+죄질/NNG
매우	매우/MAG
나쁘다"	나쁘/VA+다/EF+"/SS
검찰	검찰/NNG
구형	구형/NNG
그대로	그대로/MAG
선고	선고/NNG


# id : NWRW1800000054.155.3.1
서울중앙지법 형사 24부(재판장 유남근)는 5조원 넘는 분식회계를 저지르고 사기대출을 주도한 혐의로 기소된 고재호(62·사진) 전 대우조선해양 사장에게 징역 10년을 선고했다.

서울중앙지법	서울중앙지법/NNP
형사	형사/NNG
24부(재판장	24/SN+부/NNG+(/SS+재판장/NNG
유남근)는	유남근/NNP+)/SS+는/JX
5조원	5/SN+조/NR+원/NNB
넘는	넘/VV+는/ETM
분식회계를	분식/NNG+회계/NNG+를/JKO
저지르고	저지르/VV+고/EC
사기대출을	사기/NNG+대출/NNG+을/JKO
주도한	주도/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
기소된	기소/NNG+되/XSV+ㄴ/ETM
고재호(62·사진)	고재호/NNP+(/SS+62/SN+·/SP+사진/NNG+)/SS
전	전/MMD
대우조선해양	대우조선해양/NNP
사장에게	사장/NNG+에게/JKB
징역	징역/NNG
10년을	10/SN+년/NNB+을/JKO
선고했다.	선고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.155.3.2
재판부는 함께 기소된 김갑중 전 대우조선해양 재무총괄 부사장에게는 징역 7년을 선고했다.

재판부는	재판부/NNG+는/JX
함께	함께/MAG
기소된	기소/NNG+되/XSV+ㄴ/ETM
김갑중	김갑중/NNP
전	전/MMD
대우조선해양	대우조선해양/NNP
재무총괄	재무/NNG+총괄/NNG
부사장에게는	부사장/NNG+에게/JKB+는/JX
징역	징역/NNG
7년을	7/SN+년/NNB+을/JKO
선고했다.	선고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.155.3.3
검찰은 고 전 사장에게 징역 10년을, 김 전 부사장에게는 징역 5년을 구형했었다.

검찰은	검찰/NNG+은/JX
고	고/NNP
전	전/MMD
사장에게	사장/NNG+에게/JKB
징역	징역/NNG
10년을,	10/SN+년/NNB+을/JKO+,/SP
김	김/NNP
부사장에게는	부사장/NNG+에게/JKB+는/JX
5년을	5/SN+년/NNB+을/JKO
구형했었다.	구형/NNG+하/XSV+았었/EP+다/EF+./SF


# id : NWRW1800000054.155.3.4
법원이 검찰의 구형량과 같거나 오히려 더 높은 중형(重刑)을 선고한 것이다.

법원이	법원/NNG+이/JKS
검찰의	검찰/NNG+의/JKG
구형량과	구형량/NNG+과/JKB
같거나	같/VA+거나/EC
오히려	오히려/MAG
더	더/MAG
높은	높/VA+은/ETM
중형(重刑)을	중형/NNG+(/SS+重刑/SH+)/SS+을/JKO
선고한	선고/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.155.4.1
두 사람은 2012~2014년 매출액을 실제보다 부풀리거나 자(子)회사의 손실을 반영하지 않는 등의 방식으로 회계 장부를 조작해 5조7000억원대 분식회계를 한 혐의로 기소됐다.

두	두/MMN
사람은	사람/NNG+은/JX
2012~2014년	2012/SN+~/SO+2014/SN+년/NNB
매출액을	매출액/NNG+을/JKO
실제보다	실제/NNG+보다/JKB
부풀리거나	부풀리/VV+거나/EC
자(子)회사의	자/NNG+(/SS+子/SH+)/SS+회사/NNG+의/JKG
손실을	손실/NNG+을/JKO
반영하지	반영/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
등의	등/NNB+의/JKG
방식으로	방식/NNG+으로/JKB
회계	회계/NNG
장부를	장부/NNG+를/JKO
조작해	조작/NNG+하/XSV+아/EC
5조7000억원대	5/SN+조/NR+7000/SN+억/NR+원/NNB+대/XSN
분식회계를	분식/NNG+회계/NNG+를/JKO
한	하/VV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
기소됐다.	기소/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.155.4.2
이들은 또 회계 조작을 통해 좋은 신용등급을 따낸 뒤 은행을 속여 21조원대 대출을 받아내고, 손실이 누적됐는데도 이익이 난 것처럼 꾸며 임직원들에게 4960억원의 성과급을 지급한 혐의를 받았다.

이들은	이/NP+들/XSN+은/JX
또	또/MAG
회계	회계/NNG
조작을	조작/NNG+을/JKO
통해	통하/VV+아/EC
좋은	좋/VA+은/ETM
