# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.60
metadata : {}


# id : NWRW1800000029.60.1.1
코리아스피드페스티벌 다음달 3,4일 2차전

코리아스피드페스티벌	코리아/NNP+스피드/NNG+페스티벌/NNG
다음달	다음/NNG+달/NNG
3,4일	3/SN+,/SP+4/SN+일/NNB
2차전	2/SN+차전/NNB


# id : NWRW1800000029.60.2.1
류시원 출사표… 주말 태백이 뜨거워진다

류시원	류시원/NNP
출사표…	출사표/NNG+…/SE
주말	주말/NNG
태백이	태백/NNP+이/JKS
뜨거워진다	뜨거워지/VV+ㄴ다/EF


# id : NWRW1800000029.60.3.1
두 달여의 휴식기를 가진 국내 최대 규모의 모터스포츠 축제 ‘2011 코리아 스피드페스티벌(Korea Speed Festival·KSF)’이 더 많은 참가자와 더 다양해진 이벤트로 돌아왔다.

두	두/MMN
달여의	달/NNB+여/XSN+의/JKG
휴식기를	휴식기/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
국내	국내/NNG
최대	최대/NNG
규모의	규모/NNG+의/JKG
모터스포츠	모터스포츠/NNG
축제	축제/NNG
‘2011	‘/SS+2011/SN
코리아	코리아/NNP
스피드페스티벌(Korea	스피드/NNG+페스티벌/NNG+(/SS+Korea/SL
Speed	Speed/SL
Festival·KSF)’이	Festival/SL+·/SP+KSF/SL+)/SS+’/SS+이/JKS
더	더/MAG
많은	많/VA+은/ETM
참가자와	참가자/NNG+와/JC
다양해진	다양/NNG+하/XSA+아/EC+지/VX+ㄴ/ETM
이벤트로	이벤트/NNG+로/JKB
돌아왔다.	돌아오/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.60.4.1
동아일보 현대자동차 기아자동차 현대모비스 한국타이어 한국쉘석유 현대해상이 공동 주최하는 KSF 제2차전이 9월 3, 4일 강원 태백시 태백레이싱파크에서 열린다.

동아일보	동아일보/NNP
현대자동차	현대자동차/NNP
기아자동차	기아자동차/NNP
현대모비스	현대모비스/NNP
한국타이어	한국타이어/NNP
한국쉘석유	한국쉘석유/NNP
현대해상이	현대해상/NNP+이/JKS
공동	공동/NNG
주최하는	주최/NNG+하/XSV+는/ETM
KSF	KSF/SL
제2차전이	제/XPN+2/SN+차전/NNB+이/JKS
9월	9/SN+월/NNB
3,	3/SN+,/SP
4일	4/SN+일/NNB
강원	강원/NNP
태백시	태백시/NNP
태백레이싱파크에서	태백레이싱파크/NNP+에서/JKB
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.60.4.2
7월 열렸던 1차전에는 총 64대의 차량이 참가했지만 2차전에는 1차전보다 25%가량 늘어난 총 80대의 차량이 참가한다.

7월	7/SN+월/NNB
열렸던	열리/VV+었/EP+던/ETM
1차전에는	1/SN+차전/NNB+에/JKB+는/JX
총	총/MMA
64대의	64/SN+대/NNB+의/JKG
차량이	차량/NNG+이/JKS
참가했지만	참가/NNG+하/XSV+았/EP+지만/EC
2차전에는	2/SN+차전/NNB+에/JKB+는/JX
1차전보다	1/SN+차전/NNB+보다/JKB
25%가량	25/SN+%/SW+가량/XSN
늘어난	늘어나/VV+ㄴ/ETM
80대의	80/SN+대/NNB+의/JKG
참가한다.	참가/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.60.4.3
후원사 역시 현대 글로비스가 새롭게 합류했다.

후원사	후원사/NNG
역시	역시/MAG
현대	현대/NNP
글로비스가	글로비스/NNP+가/JKS
새롭게	새롭/VA+게/EC
합류했다.	합류/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.60.5.1
특히 제네시스 쿠페 레이스에는 국내 인기 모터스포츠 팀 가운데 하나인 류시원 감독의 ‘팀 106’이 새롭게 출사표를 냈다.

특히	특히/MAG
제네시스	제네시스/NNP
쿠페	쿠페/NNG
레이스에는	레이스/NNG+에/JKB+는/JX
국내	국내/NNG
인기	인기/NNG
모터스포츠	모터스포츠/NNG
팀	팀/NNG
가운데	가운데/NNG
하나인	하나/NR+이/VCP+ㄴ/ETM
류시원	류시원/NNP
감독의	감독/NNG+의/JKG
‘팀	‘/SS+팀/NNG
106’이	106/SN+’/SS+이/JKS
새롭게	새롭/VA+게/EC
출사표를	출사표/NNG+를/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.60.5.2
또 1차전과 달리 2차전은 토, 일 양일간 2, 3라운드를 연이어 치르기 때문에 각 팀의 경쟁은 한층 치열해질 것으로 보인다.

또	또/MAG
1차전과	1/SN+차전/NNB+과/JKB
달리	달리/MAG
2차전은	2/SN+차전/NNB+은/JX
토,	토/NNG+,/SP
일	일/NNG
양일간	양일/NNG+간/XSN
2,	2/SN+,/SP
3라운드를	3/SN+라운드/NNG+를/JKO
연이어	연잇/VV+어/EC
치르기	치르/VV+기/ETN
때문에	때문/NNB+에/JKB
각	각/MMD
팀의	팀/NNG+의/JKG
경쟁은	경쟁/NNG+은/JX
한층	한층/MAG
치열해질	치열/NNG+하/XSA+아/EC+지/VX+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.60.6.1
○ 치열한 경쟁, 뜨거운 흥행

○	○/SW
치열한	치열/NNG+하/XSA+ㄴ/ETM
경쟁,	경쟁/NNG+,/SP
뜨거운	뜨겁/VA+ㄴ/ETM
흥행	흥행/NNG


# id : NWRW1800000029.60.7.1
3개 레이스 가운데 가장 주목받는 것은 단연 제네시스 쿠페 레이스다.

3개	3/SN+개/NNB
레이스	레이스/NNG
가운데	가운데/NNG
가장	가장/MAG
주목받는	주목/NNG+받/XSV+는/ETM
것은	것/NNB+은/JX
단연	단연/MAG
제네시스	제네시스/NNP
쿠페	쿠페/NNG
레이스다.	레이스/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.60.7.2
1차전에 참가하지 않았던 팀 106은 8월 초 KSF 엔트리 등록을 일찌감치 마치고 이번 대회를 준비해 왔다.

1차전에	1/SN+차전/NNB+에/JKB
참가하지	참가/NNG+하/XSV+지/EC
않았던	않/VX+았/EP+던/ETM
팀	팀/NNG
106은	106/SN+은/JX
8월	8/SN+월/NNB
초	초/NNB
KSF	KSF/SL
엔트리	엔트리/NNG
등록을	등록/NNG+을/JKO
일찌감치	일찌감치/MAG
마치고	마치/VV+고/EC
이번	이번/NNG
대회를	대회/NNG+를/JKO
준비해	준비/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.60.7.3
탤런트 류시원 씨가 감독을 맡아 국내는 물론이고 해외에서도 큰 인기를 끌고 있는 팀 106의 가세로 태백레이싱파크의 열기는 한층 뜨거워질 것으로 보인다.

탤런트	탤런트/NNG
류시원	류시원/NNP
씨가	씨/NNB+가/JKS
감독을	감독/NNG+을/JKO
맡아	맡/VV+아/EC
국내는	국내/NNG+는/JX
물론이고	물론/NNG+이/VCP+고/EC
