# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.37
metadata : {}


# id : NWRW1800000025.37.1.1
“美 집값 아직 거품… 15%는 더 떨어진다”

“美	“/SS+美/SH
집값	집값/NNG
아직	아직/MAG
거품…	거품/NNG+…/SE
15%는	15/SN+%/SW+는/JX
더	더/MAG
떨어진다”	떨어지/VV+ㄴ다/EF+”/SS


# id : NWRW1800000025.37.2.1
“미국 집값의 거품이 다 빠진 것이 아니다.

“미국	“/SS+미국/NNP
집값의	집값/NNG+의/JKG
거품이	거품/NNG+이/JKS
다	다/MAG
빠진	빠지/VV+ㄴ/ETM
것이	것/NNB+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000025.37.2.2
15%는 더 떨어질 수 있다.”

15%는	15/SN+%/SW+는/JX
더	더/MAG
떨어질	떨어지/VV+ㄹ/ETM
수	수/NNB
있다.”	있/VA+다/EF+./SF+”/SS


# id : NWRW1800000025.37.3.1
최근 방한한 스탠더드차터드(SC)은행의 존 캘벌리 북미 수석이코노미스트는 “글로벌 금융위기의 주된 원인이었던 미국 주택가격이 고점 대비 약 30% 하락했지만 여전히 더 떨어질 위험이 높다”며 이같이 강조했다.

최근	최근/MAG
방한한	방한/NNG+하/XSV+ㄴ/ETM
스탠더드차터드(SC)은행의	스탠더드차터드/NNP+(/SS+SC/SL+)/SS+은행/NNG+의/JKG
존	존/NNP
캘벌리	캘벌리/NNP
북미	북미/NNP
수석이코노미스트는	수석/NNG+이코노미스트/NNG+는/JX
“글로벌	“/SS+글로벌/NNG
금융위기의	금융/NNG+위기/NNG+의/JKG
주된	주/NNG+되/XSV+ㄴ/ETM
원인이었던	원인/NNG+이/VCP+었/EP+던/ETM
미국	미국/NNP
주택가격이	주택/NNG+가격/NNG+이/JKS
고점	고점/NNG
대비	대비/NNG
약	약/MMA
30%	30/SN+%/SW
하락했지만	하락/NNG+하/XSV+았/EP+지만/EC
여전히	여전히/MAG
더	더/MAG
떨어질	떨어지/VV+ㄹ/ETM
위험이	위험/NNG+이/JKS
높다”며	높/VA+다/EF+”/SS+며/EC
이같이	이/NP+같이/JKB
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.37.3.2
세계적인 ‘자산버블’ 전문가로 꼽히는 그는 “지금은 세금 감면, 채무재조정, 양적 완화 등의 정책을 쏟아내 인위적으로 추가 하락을 막고 있을 뿐”이라고 덧붙였다.

세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
‘자산버블’	‘/SS+자산/NNG+버블/NNG+’/SS
전문가로	전문가/NNG+로/JKB
꼽히는	꼽히/VV+는/ETM
그는	그/NP+는/JX
“지금은	“/SS+지금/NNG+은/JX
세금	세금/NNG
감면,	감면/NNG+,/SP
채무재조정,	채무/NNG+재/XPN+조정/NNG+,/SP
양적	양/NNG+적/XSN
완화	완화/NNG
등의	등/NNB+의/JKG
정책을	정책/NNG+을/JKO
쏟아내	쏟/VV+아/EC+내/VX+어/EC
인위적으로	인위/NNG+적/XSN+으로/JKB
추가	추가/NNG
하락을	하락/NNG+을/JKO
막고	막/VV+고/EC
있을	있/VX+을/ETM
뿐”이라고	뿐/NNB+”/SS+이라고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.37.4.1
2004년 출간한 저서 ‘버블에서 살아남기(Bubbles and How to Survive Them)’에서 글로벌 금융위기를 예측해 명성을 얻은 캘벌리 이코노미스트는 세계 경제가 ‘더블딥(경기회복 후 재침체)’에 빠지지 않더라도 회복속도가 느리고 시간도 오래 걸릴 것이라고 전망했다.

2004년	2004/SN+년/NNB
출간한	출간/NNG+하/XSV+ㄴ/ETM
저서	저서/NNG
‘버블에서	‘/SS+버블/NNG+에서/JKB
살아남기(Bubbles	살아남/VV+기/ETN+(/SS+Bubbles/SL
and	and/SL
How	How/SL
to	to/SL
Survive	Survive/SL
Them)’에서	Them/SL+)/SS+’/SS+에서/JKB
글로벌	글로벌/NNG
금융위기를	금융/NNG+위기/NNG+를/JKO
예측해	예측/NNG+하/XSV+아/EC
명성을	명성/NNG+을/JKO
얻은	얻/VV+은/ETM
캘벌리	캘벌리/NNP
이코노미스트는	이코노미스트/NNG+는/JX
세계	세계/NNG
경제가	경제/NNG+가/JKS
‘더블딥(경기회복	‘/SS+더블딥/NNG+(/SS+경기/NNG+회복/NNG
후	후/NNG
재침체)’에	재/XPN+침체/NNG+)/SS+’/SS+에/JKB
빠지지	빠지/VV+지/EC
않더라도	않/VX+더라도/EC
회복속도가	회복/NNG+속도/NNG+가/JKS
느리고	느리/VA+고/EC
시간도	시간/NNG+도/JX
오래	오래/MAG
걸릴	걸리/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.37.4.2
글로벌 금융위기 이후 한국을 비롯한 많은 신흥국은 빠르게 회복하고 있지만 미국 유럽 일본 등 주요국의 경제 회복이 더디기 때문이다.

글로벌	글로벌/NNG
금융위기	금융/NNG+위기/NNG
이후	이후/NNG
한국을	한국/NNP+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
많은	많/VA+은/ETM
신흥국은	신흥국/NNG+은/JX
빠르게	빠르/VA+게/EC
회복하고	회복/NNG+하/XSV+고/EC
있지만	있/VX+지만/EC
미국	미국/NNP
유럽	유럽/NNP
일본	일본/NNP
등	등/NNB
주요국의	주요국/NNG+의/JKG
경제	경제/NNG
회복이	회복/NNG+이/JKS
더디기	더디/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.37.5.1
특히 미국의 소비 회복이 늦어지는 것이 문제라고 지적했다.

특히	특히/MAG
미국의	미국/NNP+의/JKG
소비	소비/NNG
회복이	회복/NNG+이/JKS
늦어지는	늦어지/VV+는/ETM
것이	것/NNB+이/JKS
문제라고	문제/NNG+이/VCP+라고/EC
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.37.5.2
그는 “1%대였던 미국인의 저축률이 4.5%까지 올랐으며 앞으로 6∼7%로 더 오를 것”이라며 “이 때문에 소득이 늘더라도 미국의 소비증가율은 연 1%대로 매우 저조할 것”이라고 분석했다.

그는	그/NP+는/JX
“1%대였던	“/SS+1/SN+%/SW+대/XSN+이/VCP+었/EP+던/ETM
미국인의	미국인/NNG+의/JKG
저축률이	저축/NNG+률/XSN+이/JKS
4.5%까지	4/SN+./SP+5/SN+%/SW+까지/JX
올랐으며	오르/VV+았/EP+으며/EC
앞으로	앞/NNG+으로/JKB
6∼7%로	6/SN+∼/SO+7/SN+%/SW+로/JKB
더	더/MAG
오를	오르/VV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“이	“/SS+이/MMD
때문에	때문/NNB+에/JKB
소득이	소득/NNG+이/JKS
늘더라도	늘/VV+더라도/EC
미국의	미국/NNP+의/JKG
소비증가율은	소비/NNG+증가/NNG+율/XSN+은/JX
연	연/NNG
1%대로	1/SN+%/SW+대/XSN+로/JKB
매우	매우/MAG
저조할	저조/NNG+하/XSA+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.37.6.1
한국 경제에 대해서는 “과감한 재정과 통화 완화 정책으로 일단 위기는 잘 넘겼지만 출구전략이 늦어지는 게 변수”라며 “하지만 섣불리 금리인상에 나서기에는 위험이 크다”고 평가했다.

한국	한국/NNP
경제에	경제/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
“과감한	“/SS+과감하/VA+ㄴ/ETM
재정과	재정/NNG+과/JC
통화	통화/NNG
