# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.80
metadata : {}


# id : NWRW1800000054.80.1.1
[그래픽 뉴스] 항산화 영양소 올바른 섭취법

[그래픽	[/SS+그래픽/NNG
뉴스]	뉴스/NNG+]/SS
항산화	항산화/NNG
영양소	영양소/NNG
올바른	올바르/VA+ㄴ/ETM
섭취법	섭취법/NNG


# id : NWRW1800000054.80.2.1
항산화 물질 편식은 毒… 다섯 종류 함께 먹어야

항산화	항산화/NNG
물질	물질/NNG
편식은	편식/NNG+은/JX
毒…	毒/SH+…/SE
다섯	다섯/NR
종류	종류/NNG
함께	함께/MAG
먹어야	먹/VV+어야/EC


# id : NWRW1800000054.80.3.1
건강을 위해 비타민A·C·E, 코엔자임Q10 같은 항산화 물질을 챙겨 먹는 사람이 많다.

건강을	건강/NNG+을/JKO
위해	위하/VV+아/EC
비타민A·C·E,	비타민/NNG+A/SL+·/SP+C/SL+·/SP+E/SL+,/SP
코엔자임Q10	코엔자임/NNG+Q/SL+10/SN
같은	같/VA+은/ETM
항산화	항산화/NNG
물질을	물질/NNG+을/JKO
챙겨	챙기/VV+어/EC
먹는	먹/VV+는/ETM
사람이	사람/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000054.80.3.2
그런데 항산화 물질을 한 가지만 집중적으로 먹으면 오히려 독이 될 수 있다.

그런데	그런데/MAJ
항산화	항산화/NNG
물질을	물질/NNG+을/JKO
한	한/MMN
가지만	가지/NNB+만/JX
집중적으로	집중/NNG+적/XSN+으로/JKB
먹으면	먹/VV+으면/EC
오히려	오히려/MAG
독이	독/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.80.3.3
균형 있는 섭취가 필요하다.

균형	균형/NNG
있는	있/VA+는/ETM
섭취가	섭취/NNG+가/JKS
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000054.80.4.1
◇"비타민C 꼭 먹어야"

◇"비타민C	◇/SW+"/SS+비타민/NNG+C/SL
꼭	꼭/MAG
먹어야"	먹/VV+어야/EC+"/SS


# id : NWRW1800000054.80.5.1
항산화 물질이 몸에 좋은 이유는 활성산소에 의해 몸속 세포가 산화(酸化)되는 것을 막기 때문이다.

항산화	항산화/NNG
물질이	물질/NNG+이/JKS
몸에	몸/NNG+에/JKB
좋은	좋/VA+은/ETM
이유는	이유/NNG+는/JX
활성산소에	활성/NNG+산소/NNG+에/JKB
의해	의하/VV+아/EC
몸속	몸속/NNG
세포가	세포/NNG+가/JKS
산화(酸化)되는	산화/NNG+(/SS+酸化/SH+)/SS+되/XSV+는/ETM
것을	것/NNB+을/JKO
막기	막/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.80.5.2
이를 항산화 기능이라 하는데, 항산화 물질이 항산화 기능을 하고 나면 독성이 남는다.

이를	이/NP+를/JKO
항산화	항산화/NNG
기능이라	기능/NNG+이/VCP+라/EF
하는데,	하/VV+는데/EC+,/SP
물질이	물질/NNG+이/JKS
기능을	기능/NNG+을/JKO
하고	하/VV+고/EC
나면	나/VX+면/EC
독성이	독성/NNG+이/JKS
남는다.	남/VV+는다/EF+./SF


# id : NWRW1800000054.80.5.3
서울대의대 해부학교실 이왕재 교수는 "독성으로 변한 항산화 물질을 다시 원래 상태로 돌려줘야 한다"며 "이때 필요한 게 다른 종류의 항산화 물질이다"라고 말했다.

서울대의대	서울대/NNP+의대/NNG
해부학교실	해부학/NNG+교실/NNG
이왕재	이왕재/NNP
교수는	교수/NNG+는/JX
"독성으로	"/SS+독성/NNG+으로/JKB
변한	변하/VV+ㄴ/ETM
항산화	항산화/NNG
물질을	물질/NNG+을/JKO
다시	다시/MAG
원래	원래/MAG
상태로	상태/NNG+로/JKB
돌려줘야	돌려주/VV+어야/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
"이때	"/SS+이때/NNG
필요한	필요/NNG+하/XSA+ㄴ/ETM
게	거/NNB+이/JKS
다른	다른/MMD
종류의	종류/NNG+의/JKG
물질이다"라고	물질/NNG+이/VCP+다/EF+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.80.5.4
그는 이어 "2007년에 비타민A·E, 베타카로틴 같은 항산화 영양소 섭취가 오히려 암 위험을 높였다는 다소 충격적인 연구 결과가 덴마크에서 발표된 적이 있다"며 "독성을 없애주는 비타민C를 함께 섭취하지 않아서 생긴 문제"라고 말했다.

그는	그/NP+는/JX
이어	이어/MAG
"2007년에	"/SS+2007/SN+년/NNB+에/JKB
비타민A·E,	비타민/NNG+A/SL+·/SP+E/SL+,/SP
베타카로틴	베타카로틴/NNG
같은	같/VA+은/ETM
항산화	항산화/NNG
영양소	영양소/NNG
섭취가	섭취/NNG+가/JKS
오히려	오히려/MAG
암	암/NNG
위험을	위험/NNG+을/JKO
높였다는	높이/VV+었/EP+다는/ETM
다소	다소/MAG
충격적인	충격/NNG+적/XSN+이/VCP+ㄴ/ETM
연구	연구/NNG
결과가	결과/NNG+가/JKS
덴마크에서	덴마크/NNP+에서/JKB
발표된	발표/NNG+되/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
있다"며	있/VA+다/EF+"/SS+며/EC
"독성을	"/SS+독성/NNG+을/JKO
없애주는	없애/VV+어/EC+주/VX+는/ETM
비타민C를	비타민/NNG+C/SL+를/JKO
함께	함께/MAG
섭취하지	섭취/NNG+하/XSV+지/EC
않아서	않/VX+아서/EC
생긴	생기/VV+ㄴ/ETM
문제"라고	문제/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.80.5.5
이왕재 교수에 따르면, 비타민C는 항산화 기능을 하고 산화되더라도 독으로 작용하지 않는 유일한 항산화 물질이다.

이왕재	이왕재/NNP
교수에	교수/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
비타민C는	비타민/NNG+C/SL+는/JX
항산화	항산화/NNG
기능을	기능/NNG+을/JKO
하고	하/VV+고/EC
산화되더라도	산화/NNG+되/XSV+더라도/EC
독으로	독/NNG+으로/JKB
작용하지	작용/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
유일한	유일/NNG+하/XSA+ㄴ/ETM
물질이다.	물질/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.80.6.1
비타민A·E 등은 항산화 기능을 하고 나면 산화 물질로 변한다.

비타민A·E	비타민/NNG+A/SL+·/SP+E/SL
등은	등/NNB+은/JX
항산화	항산화/NNG
기능을	기능/NNG+을/JKO
하고	하/VV+고/EC
나면	나/VX+면/EC
산화	산화/NNG
물질로	물질/NNG+로/JKB
변한다.	변하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.80.6.2
이렇게 생긴 산화 물질은 다시 세포를 공격하는데, 이를 막기 위해서는 비타민C가 필요하다.

이렇게	이렇/VA+게/EC
생긴	생기/VV+ㄴ/ETM
산화	산화/NNG
물질은	물질/NNG+은/JX
다시	다시/MAG
세포를	세포/NNG+를/JKO
공격하는데,	공격/NNG+하/XSV+는데/EC+,/SP
이를	이/NP+를/JKO
막기	막/VV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
비타민C가	비타민/NNG+C/SL+가/JKS
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000054.80.6.3
비타민C가 산화된 비타민A·E 등을 원래의 상태로 되돌려주기 때문이다.

비타민C가	비타민/NNG+C/SL+가/JKS
산화된	산화/NNG+되/XSV+ㄴ/ETM
비타민A·E	비타민/NNG+A/SL+·/SP+E/SL
등을	등/NNB+을/JKO
원래의	원래/NNG+의/JKG
상태로	상태/NNG+로/JKB
되돌려주기	되돌리/VV+어/EC+주/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.80.6.4
영남대 생명공학과 조경현 교수는 "비타민C 역시 항산화 기능을 하고 한 후에 산화되기는 한다"며 "상태가 불안정해지는 것인데, 이를 원래의 비타민C로 만드는 기능은 글루타치온이 한다"고 말했다.

영남대	영남대/NNP
생명공학과	생명/NNG+공학과/NNG
조경현	조경현/NNP
교수는	교수/NNG+는/JX
"비타민C	"/SS+비타민/NNG+C/SL
역시	역시/MAG
항산화	항산화/NNG
기능을	기능/NNG+을/JKO
하고	하/VV+고/EC
한	하/VV+ㄴ/ETM
후에	후/NNG+에/JKB
산화되기는	산화/NNG+되/XSV+기/ETN+는/JX
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
"상태가	"/SS+상태/NNG+가/JKS
불안정해지는	불/XPN+안정/NNG+하/XSA+아/EC+지/VX+는/ETM
것인데,	것/NNB+이/VCP+ㄴ데/EC+,/SP
이를	이/NP+를/JKO
원래의	원래/NNG+의/JKG
비타민C로	비타민/NNG+C/SL+로/JKB
만드는	만들/VV+는/ETM
기능은	기능/NNG+은/JX
글루타치온이	글루타치온/NNG+이/JKS
한다"고	하/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.80.6.5
글루타치온을 재생하는 건 알파리포산이, 알파리포산 재생은 코엔자임Q10이, 코엔자임Q10 재생은 비타민E가 담당한다.

글루타치온을	글루타치온/NNG+을/JKO
재생하는	재생/NNG+하/XSV+는/ETM
건	거/NNB+ㄴ/JX
알파리포산이,	알파리포산/NNG+이/JKS+,/SP
알파리포산	알파리포산/NNG
재생은	재생/NNG+은/JX
코엔자임Q10이,	코엔자임/NNG+Q/SL+10/SN+이/JKS+,/SP
코엔자임Q10	코엔자임/NNG+Q/SL+10/SN
비타민E가	비타민/NNG+E/SL+가/JKS
담당한다.	담당/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.80.7.1
◇천연 식품도 한 가지만 먹으면 안 돼

