# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.283
metadata : {}


# id : NWRW1800000028.283.1.1
“보·준설비 6조 줄여 /수질개선 등 투입을”

“보·준설비	“/SS+보/NNG+·/SP+준설비/NNG
6조	6/SN+조/NR
줄여	줄이/VV+어/EC
/수질개선	//SP+수질/NNG+개선/NNG
등	등/NNB
투입을”	투입/NNG+을/JKO+”/SS


# id : NWRW1800000028.283.2.1
정부의 4대강 사업에 맞서, 민주당이 11일 보와 대규모 준설 반대, 수질개선, 지류·소하천 정비 등을 뼈대로 하는 ‘4대강 살리기’ 대안을 발표했다.

정부의	정부/NNG+의/JKG
4대강	4/SN+대/NNG+강/NNG
사업에	사업/NNG+에/JKB
맞서,	맞서/VV+어/EC+,/SP
민주당이	민주당/NNP+이/JKS
11일	11/SN+일/NNB
보와	보/NNG+와/JC
대규모	대/XPN+규모/NNG
준설	준설/NNG
반대,	반대/NNG+,/SP
수질개선,	수질/NNG+개선/NNG+,/SP
지류·소하천	지류/NNG+·/SP+소/XPN+하천/NNG
정비	정비/NNG
등을	등/NNB+을/JKO
뼈대로	뼈대/NNG+로/JKB
하는	하/VV+는/ETM
‘4대강	‘/SS+4/SN+대/NNG+강/NNG
살리기’	살리/VV+기/ETN+’/SS
대안을	대안/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.283.2.2
지난 4일 금강 살리기 대안에 이은 영산강·낙동강·한강 살리기 대안이다.

지난	지나/VV+ㄴ/ETM
4일	4/SN+일/NNB
금강	금강/NNP
살리기	살리/VV+기/ETN
대안에	대안/NNG+에/JKB
이은	잇/VV+은/ETM
영산강·낙동강·한강	영산강/NNP+·/SP+낙동강/NNP+·/SP+한강/NNP
대안이다.	대안/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.283.2.3
민주당과 민주노동당·진보신당 등 야3당은 이날 국회 4대강사업검증특위 구성을 촉구하는 결의안을 국회 의안과에 제출했다.

민주당과	민주당/NNP+과/JC
민주노동당·진보신당	민주노동당/NNP+·/SP+진보신당/NNP
등	등/NNB
야3당은	야/NNG+3/SN+당/NNG+은/JX
이날	이날/NNG
국회	국회/NNG
4대강사업검증특위	4/SN+대/NNG+강/NNG+사업/NNG+검증/NNG+특위/NNG
구성을	구성/NNG+을/JKO
촉구하는	촉구/NNG+하/XSV+는/ETM
결의안을	결의안/NNG+을/JKO
의안과에	의안과/NNG+에/JKB
제출했다.	제출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.283.2.4
▶관련기사 3면

▶관련기사	▶/SW+관련/NNG+기사/NNG
3면	3/SN+면/NNG


# id : NWRW1800000028.283.3.1
‘민주당 4대강사업저지 특별위원회’ 위원장을 맡고 있는 이미경 사무총장은 이날 기자회견을 열어 “대규모 준설, 대형 보 건설을 벌이는 엠비(MB)식 4대강 사업에 대해선 전혀 동의할 수 없다”며 “강살리기 사업 목적은 운하용 수량 확보가 아니라 수질개선사업이 우선시돼야 하며, 4대강 본류가 아닌 재해에 취약하고 정비가 시급한 지천·소하천을 대상으로 강의 특성을 고려해서 추진해야 한다”고 말했다.

‘민주당	‘/SS+민주당/NNP
4대강사업저지	4/SN+대/NNG+강/NNG+사업/NNG+저지/NNG
특별위원회’	특별/NNG+위원회/NNG+’/SS
위원장을	위원장/NNG+을/JKO
맡고	맡/VV+고/EC
있는	있/VX+는/ETM
이미경	이미경/NNP
사무총장은	사무총장/NNG+은/JX
이날	이날/NNG
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
“대규모	“/SS+대/XPN+규모/NNG
준설,	준설/NNG+,/SP
대형	대형/NNG
보	보/NNG
