# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.109
metadata : {}


# id : NWRW1800000054.109.1.1
"10년간 종이 신문 독파한 게 비결"

"10년간	"/SS+10/SN+년/NNB+간/XSN
종이	종이/NNG
신문	신문/NNG
독파한	독파/NNG+하/XSV+ㄴ/ETM
게	거/NNB+이/JKS
비결"	비결/NNG+"/SS


# id : NWRW1800000054.109.2.1
本紙 제1회 뉴스상식시험 최고 득점자 이주환씨

本紙	本紙/SH
제1회	제/XPN+1/SN+회/NNB
뉴스상식시험	뉴스/NNG+상식/NNG+시험/NNG
최고	최고/NNG
득점자	득점자/NNG
이주환씨	이주환/NNP+씨/NNB


# id : NWRW1800000054.109.3.1
"신문 읽기는 하루 1000원도 들지 않는 가장 확실한 시사 공부 방법이죠."

"신문	"/SS+신문/NNG
읽기는	읽/VV+기/ETN+는/JX
하루	하루/NNG
1000원도	1000/SN+원/NNB+도/JX
들지	들/VV+지/EC
않는	않/VX+는/ETM
가장	가장/MAG
확실한	확실하/VA+ㄴ/ETM
시사	시사/NNG
공부	공부/NNG
방법이죠."	방법/NNG+이/VCP+죠/EF+./SF+"/SS


# id : NWRW1800000054.109.4.1
지난달 25일 치러진 제1회 조선일보 뉴스상식시험에서 최고 득점(990점 만점에 920점)을 받은 이주환(29)씨는 신문 읽기 습관이 몸에 배어 있었다.

지난달	지난달/NNG
25일	25/SN+일/NNB
치러진	치르/VV+어/EC+지/VX+ㄴ/ETM
제1회	제/XPN+1/SN+회/NNB
조선일보	조선일보/NNP
뉴스상식시험에서	뉴스/NNG+상식/NNG+시험/NNG+에서/JKB
최고	최고/NNG
득점(990점	득점/NNG+(/SS+990/SN+점/NNB
만점에	만점/NNG+에/JKB
920점)을	920/SN+점/NNB+)/SS+을/JKO
받은	받/VV+은/ETM
이주환(29)씨는	이주환/NNP+(/SS+29/SN+)/SS+씨/NNB+는/JX
신문	신문/NNG
읽기	읽/VV+기/ETN
습관이	습관/NNG+이/JKS
몸에	몸/NNG+에/JKB
배어	배/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000054.109.4.2
대학 신입생 때부터 지금까지 10여 년간 매일 조선일보와 경제지를 빠짐없이 읽는 식으로 시사 상식을 다져왔다고 한다.

대학	대학/NNG
신입생	신입/NNG+생/XSN
때부터	때/NNG+부터/JX
지금까지	지금/NNG+까지/JX
10여	10/SN+여/XSN
년간	년/NNB+간/XSN
매일	매일/MAG
조선일보와	조선일보/NNP+와/JC
경제지를	경제지/NNG+를/JKO
빠짐없이	빠짐없이/MAG
읽는	읽/VV+는/ETM
식으로	식/NNB+으로/JKB
시사	시사/NNG
상식을	상식/NNG+을/JKO
다져왔다고	다지/VV+어/EC+오/VX+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.109.4.3
처음에는 1면부터 끝까지 신문 한 부를 다 읽는 데 4시간 넘게 걸렸지만, 이제는 익숙해져 "신문 독파(讀破)에 약 90분이 걸린다"고 했다.

처음에는	처음/NNG+에/JKB+는/JX
1면부터	1/SN+면/NNG+부터/JX
끝까지	끝/NNG+까지/JX
신문	신문/NNG
한	한/MMN
부를	부/NNB+를/JKO
다	다/MAG
읽는	읽/VV+는/ETM
데	데/NNB
4시간	4/SN+시간/NNB
넘게	넘/VV+게/EC
걸렸지만,	걸리/VV+었/EP+지만/EC+,/SP
이제는	이제/NNG+는/JX
익숙해져	익숙하/VA+아/EC+지/VX+어/EC
"신문	"/SS+신문/NNG
독파(讀破)에	독파/NNG+(/SS+讀破/SH+)/SS+에/JKB
약	약/MMA
90분이	90/SN+분/NNB+이/JKS
걸린다"고	걸리/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.109.5.1
이씨는 응시생 450여 명 가운데 유일하게 900점을 넘겼다.

이씨는	이/NNP+씨/NNB+는/JX
응시생	응시/NNG+생/XSN
450여	450/SN+여/XSN
명	명/NNB
가운데	가운데/NNG
유일하게	유일/NNG+하/XSA+게/EC
900점을	900/SN+점/NNB+을/JKO
넘겼다.	넘기/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.109.5.2
전체 90문항 가운데 83문항을 맞혔다.

전체	전체/NNG
90문항	90/SN+문항/NNG
가운데	가운데/NNG
83문항을	83/SN+문항/NNG+을/JKO
맞혔다.	맞히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.109.5.3
둘째 고득점자와 60점 차이가 난다.

둘째	둘째/NR
고득점자와	고득점자/NNG+와/JKB
60점	60/SN+점/NNB
차이가	차이/NNG+가/JKS
난다.	나/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.109.5.4
이씨는 "평소처럼 신문을 꼼꼼히 읽으면서 시험을 준비했다"고 말했다.

이씨는	이/NNP+씨/NNB+는/JX
"평소처럼	"/SS+평소/NNG+처럼/JKB
신문을	신문/NNG+을/JKO
꼼꼼히	꼼꼼히/MAG
읽으면서	읽/VV+으면서/EC
시험을	시험/NNG+을/JKO
준비했다"고	준비/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.109.5.5
특히 인터넷이 아닌 종이 신문으로 뉴스를 읽는 습관을 기른 것을 고득점의 또 다른 비결로 꼽았다.

특히	특히/MAG
인터넷이	인터넷/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
종이	종이/NNG
신문으로	신문/NNG+으로/JKB
뉴스를	뉴스/NNG+를/JKO
읽는	읽/VV+는/ETM
습관을	습관/NNG+을/JKO
기른	기르/VV+ㄴ/ETM
것을	것/NNB+을/JKO
고득점의	고/XPN+득점/NNG+의/JKG
또	또/MAG
다른	다른/MMD
비결로	비결/NNG+로/JKB
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.109.5.6
"신문 기사를 읽으면 시사 이슈의 기승전결을 확실히 파악할 수 있고 글 읽는 속도가 빨라져요.

"신문	"/SS+신문/NNG
기사를	기사/NNG+를/JKO
읽으면	읽/VV+으면/EC
시사	시사/NNG
이슈의	이슈/NNG+의/JKG
기승전결을	기승전결/NNG+을/JKO
확실히	확실히/MAG
파악할	파악/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있고	있/VA+고/EC
글	글/NNG
읽는	읽/VV+는/ETM
속도가	속도/NNG+가/JKS
빨라져요.	빠르/VA+아/EC+지/VX+어요/EF+./SF


# id : NWRW1800000054.109.5.7
핵심 문장을 찾아내는 능력도 향상되지요."

핵심	핵심/NNG
문장을	문장/NNG+을/JKO
찾아내는	찾아내/VV+는/ETM
능력도	능력/NNG+도/JX
향상되지요."	향상/NNG+되/XSV+지요/EF+./SF+"/SS


# id : NWRW1800000054.109.6.1
1회 조선일보 뉴스상식시험은 단순 시사 상식을 묻기보다 다양한 시사 영역을 융합해 전체적인 흐름을 묻는 경향이 두드러졌다.

1회	1/SN+회/NNB
조선일보	조선일보/NNP
뉴스상식시험은	뉴스/NNG+상식/NNG+시험/NNG+은/JX
단순	단순/NNG
시사	시사/NNG
상식을	상식/NNG+을/JKO
묻기보다	묻/VV+기/ETN+보다/JKB
다양한	다양/NNG+하/XSA+ㄴ/ETM
영역을	영역/NNG+을/JKO
융합해	융합/NNG+하/XSV+아/EC
전체적인	전체/NNG+적/XSN+이/VCP+ㄴ/ETM
흐름을	흐름/NNG+을/JKO
묻는	묻/VV+는/ETM
경향이	경향/NNG+이/JKS
두드러졌다.	두드러지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.109.6.2
최고점을 기록한 이씨도 진땀을 뺀 문제가 있었다.

최고점을	최고점/NNG+을/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
이씨도	이/NNP+씨/NNB+도/JX
진땀을	진땀/NNG+을/JKO
뺀	빼/VV+ㄴ/ETM
문제가	문제/NNG+가/JKS
있었다.	있/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.109.6.3
"가습기 살균제 위해 성분으로 논란이 있었던 클로로메틸이소티아졸리논(CMIT)과 메틸이소티아졸리논(MIT) 관련 문제였어요.

"가습기	"/SS+가습기/NNG
살균제	살균제/NNG
위해	위하/VV+아/EC
성분으로	성분/NNG+으로/JKB
논란이	논란/NNG+이/JKS
있었던	있/VV+었/EP+던/ETM
클로로메틸이소티아졸리논(CMIT)과	클로로메틸이소티아졸리논/NNG+(/SS+CMIT/SL+)/SS+과/JC
메틸이소티아졸리논(MIT)	메틸이소티아졸리논/NNG+(/SS+MIT/SL+)/SS
관련	관련/NNG
문제였어요.	문제/NNG+이/VCP+었/EP+어요/EF+./SF


# id : NWRW1800000054.109.6.4
답이 생각나지 않았는데, 조선일보 '신문은 선생님'에서 다룬 내용이 기억나 맞혔어요."

답이	답/NNG+이/JKS
생각나지	생각나/VV+지/EC
않았는데,	않/VX+았/EP+는데/EC+,/SP
조선일보	조선일보/NNP
'신문은	'/SS+신문/NNG+은/JX
선생님'에서	선생/NNG+님/XSN+'/SS+에서/JKB
다룬	다루/VV+ㄴ/ETM
내용이	내용/NNG+이/JKS
기억나	기억나/VV+아/EC
맞혔어요."	맞히/VV+었/EP+어요/EF+./SF+"/SS


# id : NWRW1800000054.109.7.1
지난해 고려대 중어중문학과를 졸업한 뒤 금융회사에 입사한 이씨는 올해 초 다니던 직장을 그만두고 공기업이나 언론사 입사 등 새로운 도전을 준비하고 있다.

지난해	지난해/NNG
고려대	고려대/NNP
