# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.236
metadata : {}


# id : NWRW1800000045.236.1.1
17년만의 신인 3할타자 도전 삼성 구자욱

17년만의	17/SN+년/NNB+만/NNB+의/JKG
신인	신인/NNG
3할타자	3/SN+할/NNB+타자/NNG
도전	도전/NNG
삼성	삼성/NNP
구자욱	구자욱/NNP


# id : NWRW1800000045.236.2.1
문제는 방망이 아닌 규정타석 채우기 19경기 연속 안타에 타율 0.353… 고정 수비 포지션 없어 안심못해

문제는	문제/NNG+는/JX
방망이	방망이/NNG
아닌	아니/VCN+ㄴ/ETM
규정타석	규정/NNG+타석/NNG
채우기	채우/VV+기/ETN
19경기	19/SN+경기/NNG
연속	연속/NNG
안타에	안타/NNG+에/JKB
타율	타율/NNG
0.353…	0/SN+./SP+353/SN+…/SE
고정	고정/NNG
수비	수비/NNG
포지션	포지션/NNG
없어	없/VA+어/EC
안심못해	안심/NNG+못/MAG+하/VV+아/EF


# id : NWRW1800000045.236.3.1
3할 타율은 문제없다.

3할	3/SN+할/NNB
타율은	타율/NNG+은/JX
문제없다.	문제없/VA+다/EF+./SF


# id : NWRW1800000045.236.3.2
오히려 규정 타석을 채울 수 있느냐가 관건이다.

오히려	오히려/MAG
규정	규정/NNG
타석을	타석/NNG+을/JKO
채울	채우/VV+ㄹ/ETM
수	수/NNB
있느냐가	있/VA+느냐/EF+가/JKS
관건이다.	관건/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.236.3.3
포지션 때문이다.

포지션	포지션/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.236.4.1
프로야구 삼성 구자욱(22·사진)은 31일 두산과의 잠실 경기에서 1번 타자로 들어서 첫 타석부터 안타를 때려내며 19경기 연속 안타 행진을 이어갔다.

프로야구	프로/NNG+야구/NNG
삼성	삼성/NNP
구자욱(22·사진)은	구자욱/NNP+(/SS+22/SN+·/SP+사진/NNG+)/SS+은/JX
31일	31/SN+일/NNB
두산과의	두산/NNP+과/JKB+의/JKG
잠실	잠실/NNP
경기에서	경기/NNG+에서/JKB
1번	1/SN+번/NNB
타자로	타자/NNG+로/JKB
들어서	들어서/VV+어/EC
첫	첫/MMN
타석부터	타석/NNG+부터/JX
안타를	안타/NNG+를/JKO
때려내며	때리/VV+어/EC+내/VX+며/EC
19경기	19/SN+경기/NNG
