# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.195
metadata : {}


# id : NWRW1800000037.195.1.1
안실련 대표 송자 前연대총장 “안전불감증으로 아이 참사 빚는 한국… ”

안실련	안실련/NNG
대표	대표/NNG
송자	송자/NNP
前연대총장	前/SH+연대/NNG+총장/NNG
“안전불감증으로	“/SS+안전/NNG+불감증/NNG+으로/JKB
아이	아이/NNG
참사	참사/NNG
빚는	빚/VV+는/ETM
한국…	한국/NNP+…/SE
”	”/SS


# id : NWRW1800000037.195.2.1
“자녀 하나 둘 낳는 시대에 참으로 허망”

“자녀	“/SS+자녀/NNG
하나	하나/NR
둘	둘/NR
낳는	낳/VV+는/ETM
시대에	시대/NNG+에/JKB
참으로	참으로/MAG
허망”	허망/NNG+”/SS


# id : NWRW1800000037.195.3.1
안전생활실천시민연합 공동대표인 송자 전 연세대 총장(78)은 “자녀를 하나나 둘 낳는 핵가족 시대인데 그 아이가 교통사고로 세상을 떠나면 얼마나 허망한 일이냐”고 안타까워했다.

안전생활실천시민연합	안전/NNG+생활/NNG+실천/NNG+시민/NNG+연합/NNG
공동대표인	공동/NNG+대표/NNG+이/VCP+ㄴ/ETM
송자	송자/NNP
전	전/MMD
연세대	연세대/NNP
총장(78)은	총장/NNG+(/SS+78/SN+)/SS+은/JX
“자녀를	“/SS+자녀/NNG+를/JKO
하나나	하나/NR+나/JC
둘	둘/NR
낳는	낳/VV+는/ETM
핵가족	핵가족/NNG
시대인데	시대/NNG+이/VCP+ㄴ데/EC
그	그/MMD
아이가	아이/NNG+가/JKS
교통사고로	교통사고/NNG+로/JKB
세상을	세상/NNG+을/JKO
떠나면	떠나/VV+면/EC
얼마나	얼마나/MAG
허망한	허망/NNG+하/XSA+ㄴ/ETM
일이냐”고	일/NNG+이/VCP+냐/EF+”/SS+고/JKQ
안타까워했다.	안타까워하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.195.3.2
26일 충북 청주에서 세 살 어린이가 또 어린이집 통학차량에 치여 숨지기 하루 전 동아일보 인터뷰에서 수차례 반복한 말이다.

26일	26/SN+일/NNB
충북	충북/NNP
청주에서	청주/NNP+에서/JKB
세	세/MMN
살	살/NNB
어린이가	어린이/NNG+가/JKS
또	또/MAG
어린이집	어린이집/NNG
통학차량에	통학/NNG+차량/NNG+에/JKB
치여	치이/VV+어/EC
숨지기	숨지/VV+기/ETN
하루	하루/NNG
전	전/NNG
동아일보	동아일보/NNP
인터뷰에서	인터뷰/NNG+에서/JKB
수차례	수차례/NNG
반복한	반복/NNG+하/XSV+ㄴ/ETM
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.195.4.1
송 대표는 사고 직후인 27일 전화 통화에서 평소 볼 수 없는 격한 감정을 드러냈다.

송	송/NNP
대표는	대표/NNG+는/JX
사고	사고/NNG
직후인	직후/NNG+이/VCP+ㄴ/ETM
27일	27/SN+일/NNB
전화	전화/NNG
통화에서	통화/NNG+에서/JKB
평소	평소/NNG
볼	보/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
격한	격하/VA+ㄴ/ETM
감정을	감정/NNG+을/JKO
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.195.5.1
“안전불감증에 너무나 익숙해진 사람들과 문화가 결국 이런 참사를 낳은 것 아닙니까!”

“안전불감증에	“/SS+안전/NNG+불감증/NNG+에/JKB
너무나	너무나/MAG
익숙해진	익숙하/VA+아/EC+지/VX+ㄴ/ETM
사람들과	사람/NNG+들/XSN+과/JC
문화가	문화/NNG+가/JKS
결국	결국/MAG
이런	이런/MMD
참사를	참사/NNG+를/JKO
낳은	낳/VV+은/ETM
것	것/NNB
아닙니까!”	아니/VCN+ㅂ니까/EF+!/SF+”/SS


# id : NWRW1800000037.195.6.1
격노한 목소리였다.

격노한	격노/NNG+하/XSV+ㄴ/ETM
목소리였다.	목소리/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.195.6.2
이틀 전 인터뷰 때의 차분한 어조와는 사뭇 달랐다.

이틀	이틀/NNG
전	전/NNG
인터뷰	인터뷰/NNG
때의	때/NNG+의/JKG
차분한	차분하/VA+ㄴ/ETM
