# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.347
metadata : {}


# id : NWRW1800000025.347.1.1
[공연]세계각국 전통악기 연주회 붐… 다양한 문화의 하모니

[공연]세계각국	[/SS+공연/NNG+]/SS+세계/NNG+각국/NNG
전통악기	전통/NNG+악기/NNG
연주회	연주회/NNG
붐…	붐/NNG+…/SE
다양한	다양/NNG+하/XSA+ㄴ/ETM
문화의	문화/NNG+의/JKG
하모니	하모니/NNG


# id : NWRW1800000025.347.2.1
듣고, 보고, 만져보고.

듣고,	듣/VV+고/EC+,/SP
보고,	보/VV+고/EC+,/SP
만져보고.	만지/VV+어/EC+보/VX+고/EC+./SF


# id : NWRW1800000025.347.2.2
세계 각국의 전통 악기를 한자리에서 체험할 수 있는 공연과 전시회가 잇따라 찾아온다.

세계	세계/NNG
각국의	각국/NNG+의/JKG
전통	전통/NNG
악기를	악기/NNG+를/JKO
한자리에서	한자리/NNG+에서/JKB
체험할	체험/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
공연과	공연/NNG+과/JC
전시회가	전시회/NNG+가/JKS
잇따라	잇따르/VV+아/EC
찾아온다.	찾아오/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.347.2.3
음악을 통해 그 나라의 문화를 이해하는 교육 효과도 기대할 수 있다.

음악을	음악/NNG+을/JKO
통해	통하/VV+아/EC
그	그/MMD
나라의	나라/NNG+의/JKG
문화를	문화/NNG+를/JKO
이해하는	이해/NNG+하/XSV+는/ETM
교육	교육/NNG
효과도	효과/NNG+도/JX
기대할	기대/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000025.347.3.1
▽국내외 전통 악기가 만드는 화음=7∼10일 서울 종로구 원서동 북촌창우극장에서는 ‘세계전통악기축제’가 열린다.

▽국내외	▽/SW+국내외/NNG
전통	전통/NNG
악기가	악기/NNG+가/JKS
만드는	만들/VV+는/ETM
화음=7∼10일	화음/NNG+=/SW+7/SN+∼/SO+10/SN+일/NNB
서울	서울/NNP
종로구	종로구/NNP
원서동	원서동/NNP
