# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.405
metadata : {}


# id : NWRW1800000021.405.1.1
“두 다리 못 쓰는 사람 앞에 내 장애는 미미”

“두	“/SS+두/MMN
다리	다리/NNG
못	못/MAG
쓰는	쓰/VV+는/ETM
사람	사람/NNG
앞에	앞/NNG+에/JKB
내	나/NP+의/JKG
장애는	장애/NNG+는/JX
미미”	미미/XR+”/SS


# id : NWRW1800000021.405.2.1
“양 다리를 못 쓰는 사람에 비하면 이건 아주 미미한 겁니다.”

“양	“/SS+양/MMN
다리를	다리/NNG+를/JKO
못	못/MAG
쓰는	쓰/VV+는/ETM
사람에	사람/NNG+에/JKB
비하면	비/NNG+하/XSV+면/EC
이건	이거/NP+ㄴ/JX
아주	아주/MAG
미미한	미미하/VA+ㄴ/ETM
겁니다.”	거/NNB+이/VCP+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000021.405.3.1
미국 백악관 국가장애위원회(National Council on Disability) 15인 위원(차관보급) 가운데 한 사람으로 지명된 조지프 박(한국명 박동우·57) 씨는 3세 때 소아마비에 걸려 왼쪽 어깨부터 왼팔까지 전혀 쓰지 못한다.

미국	미국/NNP
백악관	백악관/NNP
국가장애위원회(National	국가장애위원회/NNP+(/SS+National/SL
Council	Council/SL
on	on/SL
Disability)	Disability/SL+)/SS
15인	15/SN+인/NNG
위원(차관보급)	위원/NNG+(/SS+차관보급/NNG+)/SS
가운데	가운데/NNG
한	한/MMN
사람으로	사람/NNG+으로/JKB
지명된	지명/NNG+되/XSV+ㄴ/ETM
조지프	조지프/NNP
박(한국명	박/NNP+(/SS+한국명/NNG
박동우·57)	박동우/NNP+·/SP+57/SN+)/SS
씨는	씨/NNB+는/JX
3세	3/SN+세/NNB
때	때/NNG
소아마비에	소아마비/NNG+에/JKB
걸려	걸리/VV+어/EC
왼쪽	왼쪽/NNG
어깨부터	어깨/NNG+부터/JX
왼팔까지	왼팔/NNG+까지/JX
전혀	전혀/MAG
쓰지	쓰/VV+지/EC
못한다.	못하/VX+ㄴ다/EF+./SF


# id : NWRW1800000021.405.3.2
하지만 그에게 왼팔 장애는 큰 문제가 되지 않았다.

하지만	하지만/MAJ
그에게	그/NP+에게/JKB
왼팔	왼팔/NNG
장애는	장애/NNG+는/JX
큰	크/VA+ㄴ/ETM
문제가	문제/NNG+가/JKC
되지	되/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.405.3.3
오히려 어려운 장애인과 노인을 돌보면서 헌신적인 삶을 사는 계기가 됐다.

오히려	오히려/MAG
어려운	어렵/VA+ㄴ/ETM
장애인과	장애인/NNG+과/JC
노인을	노인/NNG+을/JKO
돌보면서	돌보/VV+면서/EC
헌신적인	헌신/NNG+적/XSN+이/VCP+ㄴ/ETM
삶을	삶/NNG+을/JKO
사는	살/VV+는/ETM
계기가	계기/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.405.3.4
한 손이 불편하지만 1998년 로스앤젤레스마라톤대회에서 6시간 12분 동안 완주하기도 했다.

한	한/MMN
손이	손/NNG+이/JKS
불편하지만	불편/NNG+하/XSA+지만/EC
1998년	1998/SN+년/NNB
로스앤젤레스마라톤대회에서	로스앤젤레스/NNP+마라톤/NNG+대회/NNG+에서/JKB
6시간	6/SN+시간/NNB
12분	12/SN+분/NNB
동안	동안/NNG
완주하기도	완주/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.405.4.1
○ 잘살아보려고 미국으로

○	○/SW
잘살아보려고	잘살/VV+아/EC+보/VX+려고/EC
미국으로	미국/NNP+으로/JKB


# id : NWRW1800000021.405.5.1
고등학생이던 1970년 5월 아버지를 따라 미국에 이민 왔다.

고등학생이던	고등학생/NNG+이/VCP+던/ETM
1970년	1970/SN+년/NNB
5월	5/SN+월/NNB
아버지를	아버지/NNG+를/JKO
따라	따르/VV+아/EC
미국에	미국/NNP+에/JKB
이민	이민/NNG
왔다.	오/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.405.5.2
전북 군산에서 농사를 짓던 아버지의 벌이가 시원찮아 ‘잘살아보려고’ 건너왔다고 한다.

전북	전북/NNP
군산에서	군산/NNP+에서/JKB
농사를	농사/NNG+를/JKO
짓던	짓/VV+던/ETM
아버지의	아버지/NNG+의/JKG
벌이가	벌이/NNG+가/JKS
시원찮아	시원찮/VA+아/EC
‘잘살아보려고’	‘/SS+잘살/VV+아/EC+보/VX+려고/EC+’/SS
건너왔다고	건너오/VV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.405.6.1
“로스앤젤레스로 건너와 아버지는 정원사로, 어머니는 청소 일을 했다.

“로스앤젤레스로	“/SS+로스앤젤레스/NNP+로/JKB
건너와	건너오/VV+아/EC
아버지는	아버지/NNG+는/JX
정원사로,	정원사/NNG+로/JKB+,/SP
어머니는	어머니/NNG+는/JX
청소	청소/NNG
일을	일/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


