# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.6
metadata : {}


# id : NWRW1800000024.6.1.1
유럽, 러-우크라이나 가스분쟁에 끙끙

유럽,	유럽/NNP+,/SP
러-우크라이나	러/NNP+-/SO+우크라이나/NNP
가스분쟁에	가스/NNG+분쟁/NNG+에/JKB
끙끙	끙끙/MAG


# id : NWRW1800000024.6.2.1
러시아와 우크라이나의 가스 분쟁이 교착상태에 빠진 가운데, 불똥이 유럽 나라들로 튀면서 ‘제2차 유럽 가스대란’ 우려가 나오고 있다.

러시아와	러시아/NNP+와/JC
우크라이나의	우크라이나/NNP+의/JKG
가스	가스/NNG
분쟁이	분쟁/NNG+이/JKS
교착상태에	교착/NNG+상태/NNG+에/JKB
빠진	빠지/VV+ㄴ/ETM
가운데,	가운데/NNG+,/SP
불똥이	불똥/NNG+이/JKS
유럽	유럽/NNP
나라들로	나라/NNG+들/XSN+로/JKB
튀면서	튀/VV+면서/EC
‘제2차	‘/SS+제/XPN+2/SN+차/NNB
가스대란’	가스/NNG+대란/NNG+’/SS
우려가	우려/NNG+가/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.6.2.2
러시아는 지난 연말 우크라이나와 가스 가격 협상이 결렬되자, 5일로 닷새째 우크라이나행 가스 공급을 중단했다.

러시아는	러시아/NNP+는/JX
지난	지나/VV+ㄴ/ETM
연말	연말/NNG
우크라이나와	우크라이나/NNP+와/JC
가스	가스/NNG
가격	가격/NNG
협상이	협상/NNG+이/JKS
결렬되자,	결렬/NNG+되/XSV+자/EC+,/SP
5일로	5/SN+일/NNB+로/JKB
닷새째	닷새/NNG+째/XSN
우크라이나행	우크라이나행/NNG
공급을	공급/NNG+을/JKO
중단했다.	중단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.6.3.1
영국 일간 <더 타임스>는 5일 체코와 터키, 폴란드, 헝가리, 루마니아, 불가리아 등 유럽 6개국이 러시아에서 들여오는 가스양이 평소보다 5~30% 줄었다고 전했다.

영국	영국/NNP
일간	일간/NNG
<더	</SS+더/NNP
타임스>는	타임스/NNP+>/SS+는/JX
5일	5/SN+일/NNB
체코와	체코/NNP+와/JC
터키,	터키/NNP+,/SP
폴란드,	폴란드/NNP+,/SP
헝가리,	헝가리/NNP+,/SP
루마니아,	루마니아/NNP+,/SP
불가리아	불가리아/NNP
등	등/NNB
유럽	유럽/NNP
6개국이	6/SN+개국/NNB+이/JKS
러시아에서	러시아/NNP+에서/JKB
들여오는	들여오/VV+는/ETM
가스양이	가스/NNG+양/NNG+이/JKS
평소보다	평소/NNG+보다/JKB
5~30%	5/SN+~/SO+30/SN+%/SW
줄었다고	줄/VV+었/EP+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.6.3.2
루마니아의 국영기업 트란스가스는 지난 1일 양국의 가스 분쟁이 시작된 이후 러시아로부터 수입되는 가스양이 평소보다 30% 줄었다고 밝혔다.

루마니아의	루마니아/NNP+의/JKG
국영기업	국영/NNG+기업/NNG
트란스가스는	트란스가스/NNP+는/JX
지난	지나/VV+ㄴ/ETM
1일	1/SN+일/NNB
양국의	양국/NNG+의/JKG
가스	가스/NNG
분쟁이	분쟁/NNG+이/JKS
시작된	시작/NNG+되/XSV+ㄴ/ETM
이후	이후/NNG
러시아로부터	러시아/NNP+로부터/JKB
수입되는	수입/NNG+되/XSV+는/ETM
가스양이	가스/NNG+양/NNG+이/JKS
평소보다	평소/NNG+보다/JKB
30%	30/SN+%/SW
줄었다고	줄/VV+었/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.6.3.3
<블룸버그 뉴스>는 이달 들어 사흘 동안 발칸반도 인근 나라들의 가스 부족분이 2140만㎥에 이르렀다고 전했다.

<블룸버그	</SS+블룸버그/NNP
뉴스>는	뉴스/NNP+>/SS+는/JX
이달	이달/NNG
들어	들/VV+어/EC
사흘	사흘/NNG
동안	동안/NNG
발칸반도	발칸반도/NNP
인근	인근/NNG
나라들의	나라/NNG+들/XSN+의/JKG
가스	가스/NNG
부족분이	부족/NNG+분/XSN+이/JKS
2140만㎥에	2140/SN+만/NR+㎥/SW+에/JKB
이르렀다고	이르/VV+었/EP+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.6.4.1
유럽 나라들은 전체 가스 소비의 25%를 러시아 국영 가스회사 가스프롬에 의존하고 있으며, 이 가운데 80%가 우크라이나를 거쳐 들어간다.

유럽	유럽/NNP
나라들은	나라/NNG+들/XSN+은/JX
전체	전체/NNG
가스	가스/NNG
소비의	소비/NNG+의/JKG
25%를	25/SN+%/SW+를/JKO
러시아	러시아/NNP
국영	국영/NNG
가스회사	가스/NNG+회사/NNG
가스프롬에	가스프롬/NNP+에/JKB
의존하고	의존/NNG+하/XSV+고/EC
있으며,	있/VX+으며/EC+,/SP
이	이/NP
가운데	가운데/NNG
80%가	80/SN+%/SW+가/JKS
우크라이나를	우크라이나/NNP+를/JKO
거쳐	거치/VV+어/EC
들어간다.	들어가/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.6.4.2
유럽 나라들이 수입하는 가스도, 우크라이나가 러시아로부터 들여오는 가스가 통과하는 것과 같은 가스관을 거쳐야 한다.

유럽	유럽/NNP
나라들이	나라/NNG+들/XSN+이/JKS
수입하는	수입/NNG+하/XSV+는/ETM
가스도,	가스/NNG+도/JX+,/SP
우크라이나가	우크라이나/NNP+가/JKS
러시아로부터	러시아/NNP+로부터/JKB
들여오는	들여오/VV+는/ETM
가스가	가스/NNG+가/JKS
통과하는	통과/NNG+하/XSV+는/ETM
것과	것/NNB+과/JKB
같은	같/VA+은/ETM
가스관을	가스관/NNG+을/JKO
거쳐야	거치/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000024.6.4.3
일부 나라들에 가스 공급이 줄어든 데 대해, 우크라이나는 러시아가 의도적으로 유럽에 보내는 가스 공급량을 조작했다고 주장했다.

일부	일부/NNG
나라들에	나라/NNG+들/XSN+에/JKB
가스	가스/NNG
공급이	공급/NNG+이/JKS
줄어든	줄어들/VV+ㄴ/ETM
데	데/NNB
대해,	대하/VV+아/EC+,/SP
우크라이나는	우크라이나/NNP+는/JX
러시아가	러시아/NNP+가/JKS
의도적으로	의도/NNG+적/XSN+으로/JKB
유럽에	유럽/NNP+에/JKB
보내는	보내/VV+는/ETM
공급량을	공급량/NNG+을/JKO
조작했다고	조작/NNG+하/XSV+았/EP+다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.6.4.4
