# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.339
metadata : {}


# id : NWRW1800000029.339.1.1
[뉴스분석]정부 “비핵화 논의하자” 逆제의 전략

[뉴스분석]정부	[/SS+뉴스/NNG+분석/NNG+]/SS+정부/NNG
“비핵화	“/SS+비핵/NNG+화/XSN
논의하자”	논의/NNG+하/XSV+자/EF+”/SS
逆제의	逆/SH+제의/NNG
전략	전략/NNG


# id : NWRW1800000029.339.2.1
새해 들어 북한이 잇달아 대남 대화 공세를 벌이고 나오자 정부 당국자들이 대응책 마련에 고심하고 있다.

새해	새해/NNG
들어	들/VV+어/EC
북한이	북한/NNP+이/JKS
잇달아	잇달/VV+아/EC
대남	대남/NNG
대화	대화/NNG
공세를	공세/NNG+를/JKO
벌이고	벌이/VV+고/EC
나오자	나오/VV+자/EC
정부	정부/NNG
당국자들이	당국자/NNG+들/XSN+이/JKS
대응책	대응책/NNG
마련에	마련/NNG+에/JKB
고심하고	고심/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.339.2.2
주변국들이 ‘북핵 6자회담 재개를 위해 우선 남북관계의 진전이 필요하다’는 데 의견을 모은 가운데 정부로서도 선수(先手)를 치고 나오는 북한의 제의를 계속 일축할 수만은 없기 때문이다.

주변국들이	주변국/NNG+들/XSN+이/JKS
‘북핵	‘/SS+북핵/NNG
6자회담	6/SN+자/NNB+회담/NNG
재개를	재개/NNG+를/JKO
위해	위하/VV+아/EC
우선	우선/MAG
남북관계의	남북/NNP+관계/NNG+의/JKG
진전이	진전/NNG+이/JKS
필요하다’는	필요/NNG+하/XSA+다/EF+’/SS+는/ETM
데	데/NNB
의견을	의견/NNG+을/JKO
모은	모으/VV+ㄴ/ETM
가운데	가운데/NNG
정부로서도	정부/NNG+로서/JKB+도/JX
선수(先手)를	선수/NNG+(/SS+先手/SH+)/SS+를/JKO
치고	치/VV+고/EC
나오는	나오/VV+는/ETM
북한의	북한/NNP+의/JKG
제의를	제의/NNG+를/JKO
계속	계속/MAG
일축할	일축/NNG+하/XSV+ㄹ/ETM
수만은	수/NNB+만/JX+은/JX
없기	없/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.339.3.1
북한은 8일 노동당 통일전선부 산하 대남기구인 조국평화통일위원회(조평통)의 대변인 담화를 통해 “북남 당국 사이의 회담을 무조건 조속히 개최할 것을 공식 제의한다”며 “당국회담의 급(級)과 장소, 시일은 쌍방이 합의해 결정할 수 있을 것”이라고 밝혔다.

북한은	북한/NNP+은/JX
8일	8/SN+일/NNB
노동당	노동당/NNP
통일전선부	통일/NNG+전선부/NNG
산하	산하/NNG
대남기구인	대남/NNG+기구/NNG+이/VCP+ㄴ/ETM
조국평화통일위원회(조평통)의	조국/NNG+평화/NNG+통일/NNG+위원회/NNG+(/SS+조평통/NNG+)/SS+의/JKG
대변인	대변인/NNG
담화를	담화/NNG+를/JKO
통해	통하/VV+아/EC
“북남	“/SS+북남/NNP
당국	당국/NNG
사이의	사이/NNG+의/JKG
회담을	회담/NNG+을/JKO
무조건	무/XPN+조건/NNG
조속히	조속히/MAG
개최할	개최/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
공식	공식/NNG
제의한다”며	제의/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“당국회담의	“/SS+당국/NNG+회담/NNG+의/JKG
급(級)과	급/NNG+(/SS+級/SH+)/SS+과/JC
장소,	장소/NNG+,/SP
시일은	시일/NNG+은/JX
쌍방이	쌍방/NNG+이/JKS
합의해	합의/NNG+하/XSV+아/EC
결정할	결정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.339.3.2
이어 “1월 말∼2월 초 개성에서 적십자회담과 금강산관광 및 개성공단 관련 당국 간 회담을 재개하자”며 “대표단은 종전대로 하든가 새로 구성할 수도 있다”고 제안했다.

이어	이어/MAG
“1월	“/SS+1/SN+월/NNB
말∼2월	말/NNB+∼/SO+2/SN+월/NNB
초	초/NNB
개성에서	개성/NNP+에서/JKB
적십자회담과	적십자/NNP+회담/NNG+과/JC
금강산관광	금강산/NNP+관광/NNG
