# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.363
metadata : {}


# id : NWRW1800000037.363.1.1
“길거리 채용 눈도장”… 휴지 줍는 대학생들

“길거리	“/SS+길거리/NNG
채용	채용/NNG
눈도장”…	눈도장/NNG+”/SS+…/SE
휴지	휴지/NNG
줍는	줍/VV+는/ETM
대학생들	대학/NNG+생/XSN+들/XSN


# id : NWRW1800000037.363.2.1
■ 대기업 ‘脫스펙 전형’의 그림자

■	■/SW
대기업	대/XPN+기업/NNG
‘脫스펙	‘/SS+脫/SH+스펙/NNG
전형’의	전형/NNG+’/SS+의/JKG
그림자	그림자/NNG


# id : NWRW1800000037.363.3.1
부산의 한 대학 졸업반인 이모 씨(25)는 여름방학을 맞아 서울 서대문구 창천동의 친구 집에서 머물고 있다.

부산의	부산/NNP+의/JKG
한	한/MMN
대학	대학/NNG
졸업반인	졸업반/NNG+이/VCP+ㄴ/ETM
이모	이/NNP+모/NP
씨(25)는	씨/NNB+(/SS+25/SN+)/SS+는/JX
여름방학을	여름/NNG+방학/NNG+을/JKO
맞아	맞/VV+아/EC
서울	서울/NNP
서대문구	서대문구/NNP
창천동의	창천동/NNP+의/JKG
친구	친구/NNG
집에서	집/NNG+에서/JKB
머물고	머물/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.363.3.2
이 씨는 매일 오전 7시 연세대 도서관에 간다.

이	이/NNP
씨는	씨/NNB+는/JX
매일	매일/MAG
오전	오전/NNG
7시	7/SN+시/NNB
연세대	연세대/NNP
도서관에	도서관/NNG+에/JKB
간다.	가/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.363.3.3
평소에는 그냥 지나쳤지만 요즘은 학교 주변에 쓰레기가 보이면 잽싸게 달려가 줍는다.

평소에는	평소/NNG+에/JKB+는/JX
그냥	그냥/MAG
지나쳤지만	지나치/VV+었/EP+지만/EC
요즘은	요즘/NNG+은/JX
학교	학교/NNG
주변에	주변/NNG+에/JKB
쓰레기가	쓰레기/NNG+가/JKS
보이면	보이/VV+면/EC
잽싸게	잽싸/VA+게/EC
달려가	달려가/VV+아/EC
줍는다.	줍/VV+는다/EF+./SF


# id : NWRW1800000037.363.4.1
현대자동차 인사담당자들의 눈에 띄기 위해서다.

현대자동차	현대자동차/NNP
인사담당자들의	인사/NNG+담당자/NNG+들/XSN+의/JKG
눈에	눈/NNG+에/JKB
띄기	띄/VV+기/ETN
위해서다.	위하/VV+아서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000037.363.4.2
현대차는 최근 학교 성적, 영어시험 점수, 자격증 등 ‘스펙’을 보지 않고 인성을 중점 평가하는 채용 프로그램 ‘The H’를 도입하고 이에 걸맞은 신입사원 후보들을 발굴하기 위해 주요 대학가에 인사담당자들을 배치했다.

현대차는	현대차/NNP+는/JX
최근	최근/NNG
학교	학교/NNG
성적,	성적/NNG+,/SP
영어시험	영어/NNP+시험/NNG
점수,	점수/NNG+,/SP
자격증	자격증/NNG
등	등/NNB
‘스펙’을	‘/SS+스펙/NNG+’/SS+을/JKO
보지	보/VV+지/EC
않고	않/VX+고/EC
인성을	인성/NNG+을/JKO
중점	중점/NNG
평가하는	평가/NNG+하/XSV+는/ETM
채용	채용/NNG
프로그램	프로그램/NNG
‘The	‘/SS+The/SL
H’를	H/SL+’/SS+를/JKO
도입하고	도입/NNG+하/XSV+고/EC
이에	이/NP+에/JKB
걸맞은	걸맞/VA+은/ETM
신입사원	신입/NNG+사원/NNG
후보들을	후보/NNG+들/XSN+을/JKO
발굴하기	발굴/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
주요	주요/NNG
대학가에	대학가/NNG+에/JKB
인사담당자들을	인사/NNG+담당자/NNG+들/XSN+을/JKO
배치했다.	배치/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.363.4.3
후보가 되면 4개월간의 심층 인성평가를 거쳐 곧바로 최종면접을 치른다.

후보가	후보/NNG+가/JKC
되면	되/VV+면/EC
4개월간의	4/SN+개월/NNB+간/XSN+의/JKG
심층	심층/NNG
인성평가를	인성/NNG+평가/NNG+를/JKO
거쳐	거치/VV+어/EC
곧바로	곧바로/MAG
최종면접을	최종/NNG+면접/NNG+을/JKO
치른다.	치르/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.363.5.1
이 씨는 “지푸라기라도 잡는 심정으로 나처럼 방학을 보내는 지방대생들이 더러 있는 것으로 안다”며 “어떻게든 인성을 어필할 수 있는 경력을 많이 쌓으려 한다”고 말했다.

이	이/NNP
씨는	씨/NNB+는/JX
“지푸라기라도	“/SS+지푸라기/NNG+이/VCP+라도/EC
잡는	잡/VV+는/ETM
심정으로	심정/NNG+으로/JKB
나처럼	나/NP+처럼/JKB
방학을	방학/NNG+을/JKO
보내는	보내/VV+는/ETM
지방대생들이	지방대/NNG+생/XSN+들/XSN+이/JKS
더러	더러/MAG
있는	있/VA+는/ETM
것으로	것/NNB+으로/JKB
안다”며	알/VV+ㄴ다/EF+”/SS+며/EC
“어떻게든	“/SS+어떻/VA+게든/EC
인성을	인성/NNG+을/JKO
어필할	어필/NNG+하/XSV+ㄹ/ETM
수	수/NNB
경력을	경력/NNG+을/JKO
많이	많이/MAG
쌓으려	쌓/VV+으려/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.363.6.1
현대자동차의 The H 외에 삼성그룹 ‘인성 면접’, SK그룹 ‘바이킹 챌린지’ 등 주요 그룹의 채용 트렌드가 스펙에서 인성, ‘끼’를 중시하는 쪽으로 바뀌면서 대학생들의 여름방학이 달라지고 있다.

현대자동차의	현대자동차/NNP+의/JKG
The	The/SL
H	H/SL
외에	외/NNB+에/JKB
삼성그룹	삼성그룹/NNP
‘인성	‘/SS+인성/NNG
면접’,	면접/NNG+’/SS+,/SP
SK그룹	SK그룹/NNP
‘바이킹	‘/SS+바이킹/NNG
챌린지’	챌린지/NNG+’/SS
등	등/NNB
주요	주요/NNG
그룹의	그룹/NNG+의/JKG
채용	채용/NNG
트렌드가	트렌드/NNG+가/JKS
스펙에서	스펙/NNG+에서/JKB
인성,	인성/NNG+,/SP
‘끼’를	‘/SS+끼/NNG+’/SS+를/JKO
중시하는	중시/NNG+하/XSV+는/ETM
쪽으로	쪽/NNB+으로/JKB
바뀌면서	바뀌/VV+면서/EC
대학생들의	대학/NNG+생/XSN+들/XSN+의/JKG
여름방학이	여름/NNG+방학/NNG+이/JKS
달라지고	달라지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.363.6.2
해외 봉사활동을 가기 위해 돈을 내기도 하고, 인기가 뜸했던 농촌 봉사활동도 활발해지고 있다.

해외	해외/NNG
봉사활동을	봉사/NNG+활동/NNG+을/JKO
가기	가/VV+기/ETN
위해	위하/VV+아/EC
돈을	돈/NNG+을/JKO
내기도	내/VV+기/ETN+도/JX
하고,	하/VX+고/EC+,/SP
인기가	인기/NNG+가/JKS
뜸했던	뜸하/VA+았/EP+던/ETM
농촌	농촌/NNG
봉사활동도	봉사/NNG+활동/NNG+도/JX
활발해지고	활발하/VA+아/EC+지/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.363.6.3
‘개인기’를 연마하기 위해 학원에서 성대모사와 춤을 배우기도 한다.

‘개인기’를	‘/SS+개인기/NNG+’/SS+를/JKO
연마하기	연마/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
학원에서	학원/NNG+에서/JKB
성대모사와	성대모사/NNG+와/JC
춤을	춤/NNG+을/JKO
배우기도	배우/VV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000037.363.7.1
지난해 8월 대학을 졸업한 조모 씨(26·여)는 최근 방송댄스 학원에 다니고 있다.

지난해	지난해/NNG
8월	8/SN+월/NNB
대학을	대학/NNG+을/JKO
졸업한	졸업/NNG+하/XSV+ㄴ/ETM
조모	조/NNP+모/NP
씨(26·여)는	씨/NNB+(/SS+26/SN+·/SP+여/NNG+)/SS+는/JX
최근	최근/NNG
방송댄스	방송/NNG+댄스/NNG
학원에	학원/NNG+에/JKB
다니고	다니/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.363.7.2
3월 중견기업 입사시험에서 탈락한 그는 내세울 만한 장기가 없는 것이 큰 약점이라는 사실을 깨달았다.

3월	3/SN+월/NNB
중견기업	중견/NNG+기업/NNG
입사시험에서	입사/NNG+시험/NNG+에서/JKB
탈락한	탈락/NNG+하/XSV+ㄴ/ETM
그는	그/NP+는/JX
내세울	내세우/VV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
장기가	장기/NNG+가/JKS
없는	없/VA+는/ETM
것이	것/NNB+이/JKS
큰	크/VA+ㄴ/ETM
약점이라는	약점/NNG+이/VCP+라는/ETM
사실을	사실/NNG+을/JKO
깨달았다.	깨닫/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.363.7.3
최종면접 때 경쟁자들이 노래와 춤으로 면접관들에게 자신을 어필하는 동안 자신은 쭈뼛쭈뼛하며 황금 같은 기회를 날렸던 것이다.

최종면접	최종/NNG+면접/NNG
때	때/NNG
경쟁자들이	경쟁자/NNG+들/XSN+이/JKS
노래와	노래/NNG+와/JC
춤으로	춤/NNG+으로/JKB
면접관들에게	면접관/NNG+들/XSN+에게/JKB
자신을	자신/NNG+을/JKO
어필하는	어필/NNG+하/XSV+는/ETM
동안	동안/NNG
자신은	자신/NNG+은/JX
쭈뼛쭈뼛하며	쭈뼛쭈뼛/MAG+하/XSV+며/EC
황금	황금/NNG
같은	같/VA+은/ETM
기회를	기회/NNG+를/JKO
날렸던	날리/VV+었/EP+던/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.363.7.4
그는 “면접시험을 치른 20여 개 기업 중 장기자랑을 해 보라는 데가 3곳 정도 있었는데 우물거리다 나오곤 했다”며 “방송댄스를 익혀두면 취업 때 한 번은 써먹을 수 있을 것 같다”고 말했다.

그는	그/NP+는/JX
“면접시험을	“/SS+면접시험/NNG+을/JKO
치른	치르/VV+ㄴ/ETM
20여	20/SN+여/XSN
개	개/NNB
기업	기업/NNG
중	중/NNB
장기자랑을	장기/NNG+자랑/NNG+을/JKO
해	하/VV+아/EC
보라는	보/VX+라는/ETM
데가	데/NNB+가/JKS
3곳	3/SN+곳/NNG
정도	정도/NNG
있었는데	있/VA+었/EP+는데/EC
우물거리다	우물거리/VV+다/EC
나오곤	나오/VV+곤/EC
했다”며	하/VX+았/EP+다/EF+”/SS+며/EC
“방송댄스를	“/SS+방송/NNG+댄스/NNG+를/JKO
익혀두면	익히/VV+어/EC+두/VX+면/EC
취업	취업/NNG
때	때/NNG
한	한/MMN
번은	번/NNB+은/JX
써먹을	써먹/VV+을/ETM
수	수/NNB
있을	있/VA+을/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.363.8.1
서강대의 한 취업 스터디반은 ‘봉사활동’ 시간을 정해 놓고 있다.

서강대의	서강대/NNP+의/JKG
한	한/MMN
취업	취업/NNG
스터디반은	스터디/NNG+반/NNG+은/JX
‘봉사활동’	‘/SS+봉사/NNG+활동/NNG+’/SS
시간을	시간/NNG+을/JKO
정해	정하/VV+아/EC
놓고	놓/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.363.8.2
취업에 도움이 될 것이라고 판단했기 때문이다.

취업에	취업/NNG+에/JKB
도움이	도움/NNG+이/JKC
될	되/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
판단했기	판단/NNG+하/XSV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.363.8.3
내년 2월 졸업을 앞두고 있는 강모 씨(28)는 “봉사활동에 시간을 할애하기가 쉽지 않은 것이 사실이지만 면접 때 어필할 수 있을 것 같아 스터디반 멤버 모두 격주로 보육시설을 찾고 있다”고 전했다.

내년	내년/NNG
2월	2/SN+월/NNB
졸업을	졸업/NNG+을/JKO
앞두고	앞두/VV+고/EC
있는	있/VX+는/ETM
강모	강/NNP+모/NP
씨(28)는	씨/NNB+(/SS+28/SN+)/SS+는/JX
“봉사활동에	“/SS+봉사/NNG+활동/NNG+에/JKB
시간을	시간/NNG+을/JKO
할애하기가	할애/NNG+하/XSV+기/ETN+가/JKS
쉽지	쉽/VA+지/EC
않은	않/VX+은/ETM
것이	것/NNB+이/JKS
사실이지만	사실/NNG+이/VCP+지만/EC
면접	면접/NNG
때	때/NNG
어필할	어필/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것	것/NNB
같아	같/VA+아/EC
스터디반	스터디/NNG+반/NNG
멤버	멤버/NNG
모두	모두/MAG
격주로	격주/NNG+로/JKB
보육시설을	보육/NNG+시설/NNG+을/JKO
찾고	찾/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.363.9.1
일부 취업 준비생들은 삼성그룹의 인성면접에 대비해 어떻게 대답을 해야 좋은 평가를 얻을 수 있는지 분석하는 모임을 만들었다.

일부	일부/NNG
취업	취업/NNG
준비생들은	준비/NNG+생/XSN+들/XSN+은/JX
삼성그룹의	삼성그룹/NNP+의/JKG
인성면접에	인성/NNG+면접/NNG+에/JKB
대비해	대비/NNG+하/XSV+아/EC
어떻게	어떻/VA+게/EC
대답을	대답/NNG+을/JKO
해야	하/VV+아야/EC
좋은	좋/VA+은/ETM
평가를	평가/NNG+를/JKO
얻을	얻/VV+을/ETM
수	수/NNB
있는지	있/VA+는지/EC
분석하는	분석/NNG+하/XSV+는/ETM
모임을	모임/NNG+을/JKO
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.363.9.2
