# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.305
metadata : {}


# id : NWRW1800000024.305.1.1
부실우려 중기 1400곳 옥석 가린다

부실우려	부실/NNG+우려/NNG
중기	중기/NNG
1400곳	1400/SN+곳/NNG
옥석	옥석/NNG
가린다	가리/VV+ㄴ다/EF


# id : NWRW1800000024.305.2.1
채권은행들이 부실 우려가 있는 1400여 개 중소기업을 대상으로 옥석을 가리기 위한 세부평가에 착수한다.

채권은행들이	채권/NNG+은행/NNG+들/XSN+이/JKS
부실	부실/NNG
우려가	우려/NNG+가/JKS
있는	있/VA+는/ETM
1400여	1400/SN+여/XSN
개	개/NNB
중소기업을	중소기업/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
옥석을	옥석/NNG+을/JKO
가리기	가리/VV+기/ETN
위한	위하/VV+ㄴ/ETM
세부평가에	세부/NNG+평가/NNG+에/JKB
착수한다.	착수/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.305.2.2
20일 금융감독원은 “채권은행들이 중소기업 1만789개에 대한 기본 신용위험평가를 실시해 1461개를 세부평가 대상으로 선정했다”며 “오는 9월 말까지 평가를 완료하고 구조조정 대상업체를 선정할 계획”이라고 밝혔다.

20일	20/SN+일/NNB
금융감독원은	금융/NNG+감독원/NNG+은/JX
“채권은행들이	“/SS+채권/NNG+은행/NNG+들/XSN+이/JKS
중소기업	중소기업/NNG
1만789개에	1/SN+만/NR+789/SN+개/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
기본	기본/NNG
신용위험평가를	신용/NNG+위험/NNG+평가/NNG+를/JKO
실시해	실시/NNG+하/XSV+아/EC
1461개를	1461/SN+개/NNB+를/JKO
세부평가	세부/NNG+평가/NNG
대상으로	대상/NNG+으로/JKB
선정했다”며	선정/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“오는	“/SS+오/VV+는/ETM
9월	9/SN+월/NNB
말까지	말/NNB+까지/JX
평가를	평가/NNG+를/JKO
완료하고	완료/NNG+하/XSV+고/EC
구조조정	구조/NNG+조정/NNG
대상업체를	대상/NNG+업체/NNG+를/JKO
