# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.3
metadata : {}


# id : NWRW1800000041.3.1.1
홈플러스, 협력사서 받던 ‘기본장려금’ 폐지

홈플러스,	홈플러스/NNP+,/SP
협력사서	협력사/NNG+서/JKB
받던	받/VV+던/ETM
‘기본장려금’	‘/SS+기본/NNG+장려금/NNG+’/SS
폐지	폐지/NNG


# id : NWRW1800000041.3.2.1
유통업계 ‘갑질’ 줄이기 동참

유통업계	유통업/NNG+계/XSN
‘갑질’	‘/SS+갑/NNG+질/XSN+’/SS
줄이기	줄이/VV+기/ETN
동참	동참/NNG


# id : NWRW1800000041.3.3.1
홈플러스는 협력회사와의 상생과 공정거래 문화 정착을 위해 관련 거래 제도를 개선하기로 했다고 12일 밝혔다.

홈플러스는	홈플러스/NNP+는/JX
협력회사와의	협력/NNG+회사/NNG+와/JKB+의/JKG
상생과	상생/NNG+과/JC
공정거래	공정/NNG+거래/NNG
문화	문화/NNG
정착을	정착/NNG+을/JKO
위해	위하/VV+아/EC
관련	관련/NNG
거래	거래/NNG
제도를	제도/NNG+를/JKO
개선하기로	개선/NNG+하/XSV+기/ETN+로/JKB
했다고	하/VV+았/EP+다고/EC
12일	12/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.3.4.1
가장 두드러지는 점은 일단 상품 가격 일부를 납품업체에 일괄적으로 징수하는 기본장려금 제도를 폐지하기로 한 것이다.

가장	가장/MAG
두드러지는	두드러지/VV+는/ETM
점은	점/NNG+은/JX
일단	일단/MAG
상품	상품/NNG
가격	가격/NNG
일부를	일부/NNG+를/JKO
납품업체에	납품업체/NNG+에/JKB
일괄적으로	일괄/NNG+적/XSN+으로/JKB
징수하는	징수/NNG+하/XSV+는/ETM
기본장려금	기본/NNG+장려금/NNG
제도를	제도/NNG+를/JKO
폐지하기로	폐지/NNG+하/XSV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.3.4.2
홈플러스가 목표 판매량을 달성했을 때 납품업체로부터 받는 성장장려금은 매입액이 전년도보다 늘어났을 때만 징수하고 새 상품의 납품 때 받는 신상품 입점장려금은 제품 출시 뒤 6개월이 지나지 않았을 때만 받기로 했다.

홈플러스가	홈플러스/NNP+가/JKS
목표	목표/NNG
판매량을	판매량/NNG+을/JKO
달성했을	달성/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
납품업체로부터	납품업체/NNG+로부터/JKB
받는	받/VV+는/ETM
성장장려금은	성장/NNG+장려금/NNG+은/JX
매입액이	매입액/NNG+이/JKS
전년도보다	전년도/NNG+보다/JKB
늘어났을	늘어나/VV+았/EP+을/ETM
때만	때/NNG+만/JX
징수하고	징수/NNG+하/XSV+고/EC
새	새/MMA
상품의	상품/NNG+의/JKG
납품	납품/NNG
신상품	신/XPN+상품/NNG
입점장려금은	입점/NNG+장려금/NNG+은/JX
제품	제품/NNG
출시	출시/NNG
뒤	뒤/NNG
6개월이	6/SN+개월/NNB+이/JKS
지나지	지나/VV+지/EC
않았을	않/VX+았/EP+을/ETM
받기로	받/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.3.4.3
특히 연간 거래액이 50억 원 이하인 중소식품 협력회사에는 기본장려금뿐만 아니라 공정위가 허용한 장려금도 받지 않기로 했다.

특히	특히/MAG
연간	연간/NNG
거래액이	거래액/NNG+이/JKS
50억	50/SN+억/NR
원	원/NNB
이하인	이하/NNG+이/VCP+ㄴ/ETM
중소식품	중소/NNG+식품/NNG
협력회사에는	협력/NNG+회사/NNG+에/JKB+는/JX
기본장려금뿐만	기본/NNG+장려금/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
공정위가	공정위/NNG+가/JKS
허용한	허용/NNG+하/XSV+ㄴ/ETM
장려금도	장려금/NNG+도/JX
받지	받/VV+지/EC
않기로	않/VX+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.3.5.1
홈플러스는 파견된 판촉사원 수도 올해 말까지 2010년의 절반 수준으로 줄이기로 했다.

홈플러스는	홈플러스/NNP+는/JX
파견된	파견/NNG+되/XSV+ㄴ/ETM
판촉사원	판촉/NNG+사원/NNG
수도	수/NNG+도/JX
올해	올해/NNG
말까지	말/NNB+까지/JX
2010년의	2010/SN+년/NNB+의/JKG
절반	절반/NNG
수준으로	수준/NNG+으로/JKB
줄이기로	줄이/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.3.5.2
파견 판촉사원은 대형마트의 판매를 돕기 위해 납품업체가 대형마트로 파견하는 인원으로 인건비는 납품업체가 부담한다.

파견	파견/NNG
판촉사원은	판촉/NNG+사원/NNG+은/JX
대형마트의	대형/NNG+마트/NNG+의/JKG
판매를	판매/NNG+를/JKO
돕기	돕/VV+기/ETN
위해	위하/VV+아/EC
납품업체가	납품업체/NNG+가/JKS
대형마트로	대형/NNG+마트/NNG+로/JKB
파견하는	파견/NNG+하/XSV+는/ETM
인원으로	인원/NNG+으로/JKB
인건비는	인건비/NNG+는/JX
부담한다.	부담/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.3.5.3
이 밖에 매장 인테리어 비용 부담과 관련해서도 공정위 가이드라인을 반영한 거래계약서를 도입하기로 했다.

이	이/MMD
밖에	밖/NNG+에/JKB
매장	매장/NNG
인테리어	인테리어/NNG
비용	비용/NNG
부담과	부담/NNG+과/JKB
관련해서도	관련/NNG+하/XSV+아서/EC+도/JX
공정위	공정위/NNG
가이드라인을	가이드라인/NNG+을/JKO
반영한	반영/NNG+하/XSV+ㄴ/ETM
거래계약서를	거래/NNG+계약서/NNG+를/JKO
도입하기로	도입/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.3.6.1
홈플러스는 이런 내용을 담은 ‘공정거래 비즈니스 교육’을 자사 상품기획자를 대상으로 진행하고 홈페이지에 불공정거래 신고센터도 운영하기로 했다.

홈플러스는	홈플러스/NNP+는/JX
이런	이런/MMD
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
‘공정거래	‘/SS+공정/NNG+거래/NNG
비즈니스	비즈니스/NNG
교육’을	교육/NNG+’/SS+을/JKO
자사	자사/NNG
상품기획자를	상품/NNG+기획자/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
진행하고	진행/NNG+하/XSV+고/EC
홈페이지에	홈페이지/NNG+에/JKB
불공정거래	불/XPN+공정/NNG+거래/NNG
신고센터도	신고/NNG+센터/NNG+도/JX
운영하기로	운영/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.3.6.2
홈플러스 관계자는 “최근 공정거래위원회가 발표한 판매장려금, 파견 판촉사원 운영, 인테리어 비용 분담 등에 대한 가이드라인을 적극 수용해 협력회사와 상호 발전할 수 있는 기반을 만들어가겠다”고 밝혔다.

홈플러스	홈플러스/NNP
관계자는	관계자/NNG+는/JX
“최근	“/SS+최근/NNG
공정거래위원회가	공정/NNG+거래/NNG+위원회/NNG+가/JKS
발표한	발표/NNG+하/XSV+ㄴ/ETM
판매장려금,	판매/NNG+장려금/NNG+,/SP
파견	파견/NNG
판촉사원	판촉/NNG+사원/NNG
운영,	운영/NNG+,/SP
인테리어	인테리어/NNG
비용	비용/NNG
분담	분담/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
가이드라인을	가이드라인/NNG+을/JKO
적극	적극/NNG
수용해	수용/NNG+하/XSV+아/EC
협력회사와	협력/NNG+회사/NNG+와/JKB
상호	상호/NNG
발전할	발전/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기반을	기반/NNG+을/JKO
만들어가겠다”고	만들/VV+어/EC+가/VX+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


