# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.133
metadata : {}


# id : NWRW1800000026.133.1.1
[수도권II] 국내 첫 '선인장 막걸리' 나와;배다리술도가, 다음달 출시

[수도권II]	[/SS+수도/NNG+권/XSN+II/SL+]/SS
국내	국내/NNG
첫	첫/MMN
'선인장	'/SS+선인장/NNG
막걸리'	막걸리/NNG+'/SS
나와;배다리술도가,	나오/VV+아/EC+;/SW+배다리술도가/NNP+,/SP
다음달	다음/NNG+달/NNG
출시	출시/NNG


# id : NWRW1800000026.133.2.1
국내 최초로 선인장 열매로 만든 막걸리가 나온다.

국내	국내/NNG
최초로	최초/NNG+로/JKB
선인장	선인장/NNG
열매로	열매/NNG+로/JKB
만든	만들/VV+ㄴ/ETM
막걸리가	막걸리/NNG+가/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.133.2.2
경기도 농업기술원은 21일 국내 최초로 개발한 선인장 막걸리 제조기술을 선인장의 주산지인 고양시로 이전하는 내용의 업무협약을 맺고 다음달 제품을 출시하기로 했다.

경기도	경기도/NNP
농업기술원은	농업/NNG+기술원/NNG+은/JX
21일	21/SN+일/NNB
국내	국내/NNG
최초로	최초/NNG+로/JKB
개발한	개발/NNG+하/XSV+ㄴ/ETM
선인장	선인장/NNG
막걸리	막걸리/NNG
제조기술을	제조/NNG+기술/NNG+을/JKO
선인장의	선인장/NNG+의/JKG
주산지인	주산지/NNG+이/VCP+ㄴ/ETM
고양시로	고양시/NNP+로/JKB
이전하는	이전/NNG+하/XSV+는/ETM
내용의	내용/NNG+의/JKG
업무협약을	업무/NNG+협약/NNG+을/JKO
맺고	맺/VV+고/EC
다음달	다음/NNG+달/NNG
제품을	제품/NNG+을/JKO
출시하기로	출시/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.133.3.1
선인장 막걸리는 '손바닥 선인장'으로 알려진 천년초 선인장의 열매를 재료로 만든다.

선인장	선인장/NNG
막걸리는	막걸리/NNG+는/JX
'손바닥	'/SS+손바닥/NNG
선인장'으로	선인장/NNG+'/SS+으로/JKB
알려진	알려지/VV+ㄴ/ETM
천년초	천년초/NNG
선인장의	선인장/NNG+의/JKG
열매를	열매/NNG+를/JKO
재료로	재료/NNG+로/JKB
만든다.	만들/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.133.3.2
자주색인 천년초 선인장의 열매를 12% 함유해 분홍 빛깔과 한약재와 비슷한 향이 특징이다.

자주색인	자주색/NNG+이/VCP+ㄴ/ETM
천년초	천년초/NNG
선인장의	선인장/NNG+의/JKG
열매를	열매/NNG+를/JKO
12%	12/SN+%/SW
함유해	함유/NNG+하/XSV+아/EC
분홍	분홍/NNG
빛깔과	빛깔/NNG+과/JC
한약재와	한약재/NNG+와/JKB
비슷한	비슷하/VA+ㄴ/ETM
향이	향/NNG+이/JKS
특징이다.	특징/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.133.3.3
활성산소를 제거해 노화를 억제하는 플라보노이드와 비타민C, 칼슘이 함유돼 있는 건강주이기도 하다.

활성산소를	활성/NNG+산소/NNG+를/JKO
제거해	제거/NNG+하/XSV+아/EC
노화를	노화/NNG+를/JKO
억제하는	억제/NNG+하/XSV+는/ETM
플라보노이드와	플라보노이드/NNG+와/JC
비타민C,	비타민/NNG+C/SL+,/SP
칼슘이	칼슘/NNG+이/JKS
함유돼	함유/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
건강주이기도	건강주/NNG+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000026.133.3.4
알코올 함유량은 8%다.

알코올	알코올/NNG
함유량은	함유량/NNG+은/JX
8%다.	8/SN+%/SW+이/VCP+다/EF+./SF


# id : NWRW1800000026.133.4.1
선인장 막걸리는 농업기술원으로부터 기술을 이전 받게 될 고양시 전통주 제조업체인 배다리술도가에서 고양산(産) 선인장과 쌀을 재료로 생산된다.

선인장	선인장/NNG
막걸리는	막걸리/NNG+는/JX
농업기술원으로부터	농업/NNG+기술원/NNG+으로부터/JKB
기술을	기술/NNG+을/JKO
이전	이전/NNG
받게	받/VV+게/EC
될	되/VV+ㄹ/ETM
고양시	고양시/NNP
전통주	전통주/NNG
제조업체인	제조업체/NNG+이/VCP+ㄴ/ETM
배다리술도가에서	배다리술도가/NNP+에서/JKB
고양산(産)	고양/NNP+산/XSN+(/SS+産/SH+)/SS
선인장과	선인장/NNG+과/JC
쌀을	쌀/NNG+을/JKO
재료로	재료/NNG+로/JKB
생산된다.	생산/NNG+되/XSV+ㄴ다/EF+./SF


