# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.207
metadata : {}


# id : NWRW1800000033.207.1.1
檢, 경찰이 신청한 ‘金검사 계좌 수색영장’ 기각

檢,	檢/SH+,/SP
경찰이	경찰/NNG+이/JKS
신청한	신청/NNG+하/XSV+ㄴ/ETM
‘金검사	‘/SS+金/SH+검사/NNG
계좌	계좌/NNG
수색영장’	수색/NNG+영장/NNG+’/SS
기각	기각/NNG


# id : NWRW1800000033.207.2.1
검찰 “절차 무시-자료 불충분” 경찰 “명백한 수사 가로채기” 김광준 검사 비리수사 주도한 황운하 경무관, 연수원장 전보

검찰	검찰/NNG
“절차	“/SS+절차/NNG
무시-자료	무시/NNG+-/SO+자료/NNG
불충분”	불충분/NNG+”/SS
경찰	경찰/NNG
“명백한	“/SS+명백하/VA+ㄴ/ETM
수사	수사/NNG
가로채기”	가로채기/NNG+”/SS
김광준	김광준/NNP
검사	검사/NNG
비리수사	비리/NNG+수사/NNG
주도한	주도/NNG+하/XSV+ㄴ/ETM
황운하	황운하/NNP
경무관,	경무관/NNG+,/SP
연수원장	연수원장/NNG
전보	전보/NNG


# id : NWRW1800000033.207.3.1
서울고검 김광준 검사(51) 실명계좌에 대한 경찰 압수수색 영장을 검찰이 16일 기각했다.

서울고검	서울고검/NNP
김광준	김광준/NNP
검사(51)	검사/NNG+(/SS+51/SN+)/SS
실명계좌에	실명/NNG+계좌/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
경찰	경찰/NNG
압수수색	압수/NNG+수색/NNG
영장을	영장/NNG+을/JKO
검찰이	검찰/NNG+이/JKS
16일	16/SN+일/NNB
기각했다.	기각/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.207.3.2
검찰은 경찰의 ‘법 절차 무시’를 지적했고, 경찰은 검찰에 대한 불신을 강하게 드러냈다.

검찰은	검찰/NNG+은/JX
경찰의	경찰/NNG+의/JKG
‘법	‘/SS+법/NNG
절차	절차/NNG
무시’를	무시/NNG+’/SS+를/JKO
지적했고,	지적/NNG+하/XSV+았/EP+고/EC+,/SP
경찰은	경찰/NNG+은/JX
검찰에	검찰/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
불신을	불신/NNG+을/JKO
강하게	강하/VA+게/EC
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.207.4.1
당초 경찰은 김 검사가 10억 원의 수상한 자금을 받는 데 쓴 차명계좌에서 거액이 그의 실명계좌로 빠져 나간 사실이 드러나자 돈의 용처를 확인하기 위해 14일 실명계좌에 대한 압수수색 영장을 신청했다.

당초	당초/NNG
경찰은	경찰/NNG+은/JX
김	김/NNP
검사가	검사/NNG+가/JKS
10억	10/SN+억/NR
원의	원/NNB+의/JKG
수상한	수상/NNG+하/XSV+ㄴ/ETM
자금을	자금/NNG+을/JKO
받는	받/VV+는/ETM
데	데/NNB
쓴	쓰/VV+ㄴ/ETM
차명계좌에서	차명/NNG+계좌/NNG+에서/JKB
거액이	거액/NNG+이/JKS
그의	그/NP+의/JKG
실명계좌로	실명/NNG+계좌/NNG+로/JKB
빠져	빠지/VV+어/EC
나간	나가/VV+ㄴ/ETM
사실이	사실/NNG+이/JKS
드러나자	드러나/VV+자/EC
돈의	돈/NNG+의/JKG
용처를	용처/NNG+를/JKO
확인하기	확인/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
14일	14/SN+일/NNB
실명계좌에	실명/NNG+계좌/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
압수수색	압수/NNG+수색/NNG
영장을	영장/NNG+을/JKO
신청했다.	신청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.207.4.2
하지만 서울중앙지검은 자료 불충분을 이유로 경찰의 영장 신청을 기각했다.

하지만	하지만/MAJ
서울중앙지검은	서울중앙지검/NNP+은/JX
자료	자료/NNG
불충분을	불충분/NNG+을/JKO
이유로	이유/NNG+로/JKB
경찰의	경찰/NNG+의/JKG
영장	영장/NNG
신청을	신청/NNG+을/JKO
기각했다.	기각/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.207.4.3
윤석열 서울중앙지검 특수1부장은 “차명계좌에 돈을 넣은 사람이 뇌물이라고 시인하거나 그렇게 볼 만한 정황이 있어야 김광준이라는 공직자가 자신의 계좌가 강제로 열리는 불이익을 감수할 만한 사유가 된다”고 말했다.

윤석열	윤석열/NNP
서울중앙지검	서울중앙지검/NNP
특수1부장은	특수/NNG+1/SN+부장/NNG+은/JX
“차명계좌에	“/SS+차명/NNG+계좌/NNG+에/JKB
돈을	돈/NNG+을/JKO
넣은	넣/VV+은/ETM
사람이	사람/NNG+이/JKS
뇌물이라고	뇌물/NNG+이/VCP+라고/EC
시인하거나	시인/NNG+하/XSV+거나/EC
그렇게	그렇/VA+게/EC
볼	보/VV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
정황이	정황/NNG+이/JKS
있어야	있/VA+어야/EC
김광준이라는	김광준/NNP+이/VCP+라는/ETM
공직자가	공직자/NNG+가/JKS
자신의	자신/NNG+의/JKG
계좌가	계좌/NNG+가/JKS
강제로	강제/NNG+로/JKB
열리는	열리/VV+는/ETM
불이익을	불/XPN+이익/NNG+을/JKO
감수할	감수/NNG+하/XSV+ㄹ/ETM
사유가	사유/NNG+가/JKC
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.207.5.1
한편 이번 수사를 주도했던 황운하 경찰청 수사기획관(50·경무관)은 16일 경찰수사연수원장으로 전보됐다.

한편	한편/MAG
이번	이번/NNG
수사를	수사/NNG+를/JKO
주도했던	주도/NNG+하/XSV+았/EP+던/ETM
황운하	황운하/NNP
경찰청	경찰청/NNG
수사기획관(50·경무관)은	수사/NNG+기획관/NNG+(/SS+50/SN+·/SP+경무관/NNG+)/SS+은/JX
16일	16/SN+일/NNB
경찰수사연수원장으로	경찰/NNG+수사/NNG+연수원장/NNG+으로/JKB
전보됐다.	전보/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.207.5.2
경찰 수사권 독립을 앞장서 주장해온 황 기획관에 대해 청와대가 “검경 갈등 해결에 도움이 안 된다”며 이선으로 물러나게 한 것으로 해석된다.

경찰	경찰/NNG
수사권	수사/NNG+권/XSN
독립을	독립/NNG+을/JKO
앞장서	앞장서/VV+어/EC
주장해온	주장/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
황	황/NNP
기획관에	기획관/NNG+에/JKB
대해	대하/VV+아/EC
청와대가	청와대/NNP+가/JKS
“검경	“/SS+검경/NNG
갈등	갈등/NNG
해결에	해결/NNG+에/JKB
도움이	도움/NNG+이/JKC
안	안/MAG
된다”며	되/VV+ㄴ다/EF+”/SS+며/EC
이선으로	이선/NNG+으로/JKB
물러나게	물러나/VV+게/EC
한	하/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
해석된다.	해석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.207.5.3
경찰수사연수원은 현장 경찰관을 대상으로 한 수사전문 교육기관이다.

경찰수사연수원은	경찰/NNG+수사/NNG+연수원/NNG+은/JX
현장	현장/NNG
경찰관을	경찰관/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
수사전문	수사/NNG+전문/NNG
교육기관이다.	교육/NNG+기관/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.207.6.1
이날 일선 경찰관들은 사실상 집단행동에 나섰다.

이날	이날/NNG
일선	일선/NNG
경찰관들은	경찰관/NNG+들/XSN+은/JX
사실상	사실상/MAG
집단행동에	집단행동/NNG+에/JKB
