# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.285
metadata : {}


# id : NWRW1800000038.285.1.1
[발언대] 신문구독료 소득공제 발의를 환영하며

[발언대]	[/SS+발언대/NNG+]/SS
신문구독료	신문/NNG+구독료/NNG
소득공제	소득/NNG+공제/NNG
발의를	발의/NNG+를/JKO
환영하며	환영/NNG+하/XSV+며/EC


# id : NWRW1800000038.285.2.1
맞벌이 엄마는 죄인이다.

맞벌이	맞벌이/NNG
엄마는	엄마/NNG+는/JX
죄인이다.	죄인/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.285.2.2
회사 일에 지쳐 집안일은 늘 뒷전이다.

회사	회사/NNG
일에	일/NNG+에/JKB
지쳐	지치/VV+어/EC
집안일은	집안일/NNG+은/JX
늘	늘/MAG
뒷전이다.	뒷전/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.285.2.3
아이들은 혼자 노는 데 익숙해 있고 그런 아이들을 보면서 또래보다 독립적이라며 스스로 위안을 삼는 그런 존재다.

아이들은	아이/NNG+들/XSN+은/JX
혼자	혼자/NNG
노는	놀/VV+는/ETM
데	데/NNB
익숙해	익숙하/VA+아/EC
있고	있/VX+고/EC
그런	그런/MMD
아이들을	아이/NNG+들/XSN+을/JKO
보면서	보/VV+면서/EC
또래보다	또래/NNG+보다/JKB
독립적이라며	독립/NNG+적/XSN+이/VCP+라며/EC
스스로	스스로/MAG
위안을	위안/NNG+을/JKO
삼는	삼/VV+는/ETM
존재다.	존재/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.285.2.4
그런데 '죄' 많은 엄마에게 7살 첫째 딸이 놀라운 경험을 선사했다.

그런데	그런데/MAJ
'죄'	'/SS+죄/NNG+'/SS
많은	많/VA+은/ETM
엄마에게	엄마/NNG+에게/JKB
7살	7/SN+살/NNB
첫째	첫째/NR
딸이	딸/NNG+이/JKS
놀라운	놀랍/VA+ㄴ/ETM
경험을	경험/NNG+을/JKO
선사했다.	선사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.285.2.5
누가 시키지도 않았는데 거실 바닥에 드러누워 스스로 신문을 보기 시작한 것이다.

누가	누구/NP+가/JKS
시키지도	시키/VV+지/EC+도/JX
않았는데	않/VX+았/EP+는데/EC
거실	거실/NNG
바닥에	바닥/NNG+에/JKB
드러누워	드러눕/VV+어/EC
스스로	스스로/MAG
신문을	신문/NNG+을/JKO
보기	보/VV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.285.2.6
처음엔 아이 아빠가 매일 신문을 들고 사니 그냥 흉내 내나 싶었는데 제목 정도는 거침없이 읽으며 뿌듯해한다.
