# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.370
metadata : {}


# id : NWRW1800000032.370.1.1
“내년 3월 핵정상회의에 김정일 초청 용의”

“내년	“/SS+내년/NNG
3월	3/SN+월/NNB
핵정상회의에	핵/NNG+정상/NNG+회의/NNG+에/JKB
김정일	김정일/NNP
초청	초청/NNG
용의”	용의/NNG+”/SS


# id : NWRW1800000032.370.2.1
이대통령, 메르켈 총리와 회담

이대통령,	이/NNP+대통령/NNG+,/SP
메르켈	메르켈/NNP
총리와	총리/NNG+와/JKB
회담	회담/NNG


# id : NWRW1800000032.370.3.1
‘북 비핵화 합의’ 전제로 제안

‘북	‘/SS+북/NNP
비핵화	비핵/NNG+화/XSN
합의’	합의/NNG+’/SS
전제로	전제/NNG+로/JKB
제안	제안/NNG


# id : NWRW1800000032.370.4.1
이명박 대통령이 “북한이 핵 포기를 확고하게 하겠다고 국제사회와 합의한다면 내년 3월26~27일 (서울에서 열릴 제2차) 핵안보정상회의에 김정일 북한 국방위원장을 초대하겠다고 제안한다”고 밝혔다.

이명박	이명박/NNP
대통령이	대통령/NNG+이/JKS
“북한이	“/SS+북한/NNP+이/JKS
핵	핵/NNG
포기를	포기/NNG+를/JKO
확고하게	확고하/VA+게/EC
하겠다고	하/VX+겠/EP+다고/EC
국제사회와	국제/NNG+사회/NNG+와/JKB
합의한다면	합의/NNG+하/XSV+ㄴ다면/EC
내년	내년/NNG
3월26~27일	3/SN+월/NNB+26/SN+~/SO+27/SN+일/NNB
(서울에서	(/SS+서울/NNP+에서/JKB
열릴	열리/VV+ㄹ/ETM
제2차)	제/XPN+2/SN+차/NNB+)/SS
핵안보정상회의에	핵/NNG+안보/NNG+정상/NNG+회의/NNG+에/JKB
김정일	김정일/NNP
북한	북한/NNP
국방위원장을	국방/NNG+위원장/NNG+을/JKO
초대하겠다고	초대/NNG+하/XSV+겠/EP+다고/EC
제안한다”고	제안/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.370.4.2
유럽 3개국을 순방중인 이 대통령은 9일(현지시각) 베를린에서 앙겔라 메르켈 독일 총리와 정상회담을 한 뒤 공동기자회견에서 이렇게 밝히고 “이는 북한의 밝은 미래를 위해 좋은 기회가 될 것”이라고 말했다.

유럽	유럽/NNP
3개국을	3/SN+개국/NNB+을/JKO
순방중인	순방/NNG+중/NNB+이/VCP+ㄴ/ETM
이	이/NNP
대통령은	대통령/NNG+은/JX
9일(현지시각)	9/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
베를린에서	베를린/NNP+에서/JKB
앙겔라	앙겔라/NNP
메르켈	메르켈/NNP
독일	독일/NNP
총리와	총리/NNG+와/JKB
정상회담을	정상/NNG+회담/NNG+을/JKO
한	하/VV+ㄴ/ETM
뒤	뒤/NNG
공동기자회견에서	공동/NNG+기자/NNG+회견/NNG+에서/JKB
이렇게	이렇/VA+게/EC
밝히고	밝히/VV+고/EC
“이는	“/SS+이/NP+는/JX
북한의	북한/NNP+의/JKG
밝은	밝/VA+은/ETM
미래를	미래/NNG+를/JKO
위해	위하/VV+아/EC
좋은	좋/VA+은/ETM
기회가	기회/NNG+가/JKC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.370.4.3
서울 핵안보정상회의 날짜도 이날 처음 공개된 것이다.

서울	서울/NNP
핵안보정상회의	핵/NNG+안보/NNG+정상/NNG+회의/NNG
날짜도	날짜/NNG+도/JX
이날	이날/NNG
처음	처음/NNG
공개된	공개/NNG+되/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.370.5.1
청와대 핵심 관계자는 “북한이 6자회담에서 언제까지 우라늄농축프로그램(UEP)을 포함한 전체 핵 프로그램을 폐기하겠다고 밝히고, 나머지 5개국은 안보·경제에서 북한과 어떤 협력사업을 진행할지 계획을 내놓자는 것”이라고 설명했다.

청와대	청와대/NNP
핵심	핵심/NNG
관계자는	관계자/NNG+는/JX
“북한이	“/SS+북한/NNP+이/JKS
6자회담에서	6/SN+자/NNB+회담/NNG+에서/JKB
언제까지	언제/NP+까지/JX
우라늄농축프로그램(UEP)을	우라늄/NNG+농축/NNG+프로그램/NNG+(/SS+UEP/SL+)/SS+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
전체	전체/NNG
핵	핵/NNG
프로그램을	프로그램/NNG+을/JKO
폐기하겠다고	폐기/NNG+하/XSV+겠/EP+다고/EC
밝히고,	밝히/VV+고/EC+,/SP
나머지	나머지/NNG
5개국은	5/SN+개국/NNB+은/JX
안보·경제에서	안보/NNG+·/SP+경제/NNG+에서/JKB
북한과	북한/NNP+과/JKB
어떤	어떤/MMD
협력사업을	협력/NNG+사업/NNG+을/JKO
진행할지	진행/NNG+하/XSV+ㄹ지/EF
계획을	계획/NNG+을/JKO
내놓자는	내놓/VV+자는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.370.6.1
이 대통령은 지난해 4월 미국 워싱턴에서 열린 제1차 핵안보정상회의에서도 “북한이 6자회담을 통해 핵을 포기할 확실한 의지를 보이고 핵확산금지조약(NPT)에 가입하면 기꺼이 (2차 회의에 김정일 위원장을) 초대할 것”이라고 밝힌 바 있다.

이	이/NNP
대통령은	대통령/NNG+은/JX
지난해	지난해/NNG
4월	4/SN+월/NNB
미국	미국/NNP
워싱턴에서	워싱턴/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
제1차	제/XPN+1/SN+차/NNB
핵안보정상회의에서도	핵/NNG+안보/NNG+정상/NNG+회의/NNG+에서/JKB+도/JX
“북한이	“/SS+북한/NNP+이/JKS
6자회담을	6/SN+자/NNB+회담/NNG+을/JKO
통해	통하/VV+아/EC
핵을	핵/NNG+을/JKO
포기할	포기/NNG+하/XSV+ㄹ/ETM
확실한	확실하/VA+ㄴ/ETM
의지를	의지/NNG+를/JKO
보이고	보이/VV+고/EC
핵확산금지조약(NPT)에	핵/NNG+확산/NNG+금지/NNG+조약/NNG+(/SS+NPT/SL+)/SS+에/JKB
가입하면	가입/NNG+하/XSV+면/EC
기꺼이	기꺼이/MAG
(2차	(/SS+2/SN+차/NNB
회의에	회의/NNG+에/JKB
김정일	김정일/NNP
위원장을)	위원장/NNG+을/JKO+)/SS
초대할	초대/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000032.370.6.2
그에 비해 이번엔 ‘내년 3월’이라는 비핵화 합의 시한을 제시하며 좀더 정치적이고 적극적인 메시지를 던진 것이라고 청와대는 설명했다.

그에	그/NP+에/JKB
비해	비/NNG+하/XSV+아/EC
이번엔	이번/NNG+에/JKB+ㄴ/JX
‘내년	‘/SS+내년/NNG
3월’이라는	3/SN+월/NNB+’/SS+이/VCP+라는/ETM
비핵화	비핵/NNG+화/XSN
합의	합의/NNG
시한을	시한/NNG+을/JKO
제시하며	제시/NNG+하/XSV+며/EC
좀더	좀/MAG+더/MAG
정치적이고	정치/NNG+적/XSN+이/VCP+고/EC
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
메시지를	메시지/NNG+를/JKO
던진	던지/VV+ㄴ/ETM
것이라고	것/NNB+이/VCP+라고/EC
청와대는	청와대/NNP+는/JX
