# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.78
metadata : {}


# id : NWRW1800000038.78.1.1
책, 이렇게 야해도 돼?

책,	책/NNG+,/SP
이렇게	이렇/VA+게/EC
야해도	야하/VA+아도/EC
돼?	되/VV+어/EF+?/SF


# id : NWRW1800000038.78.2.1
띠지보다 싼 비용에 효과는 더 커… 性的 상상 부르는 표지·광고 늘어

띠지보다	띠지/NNG+보다/JKB
싼	싸/VA+ㄴ/ETM
비용에	비용/NNG+에/JKB
효과는	효과/NNG+는/JX
더	더/MAG
커…	크/VA+어/EF+…/SE
性的	性的/SH
상상	상상/NNG
부르는	부르/VV+는/ETM
표지·광고	표지/NNG+·/SP+광고/NNG
늘어	늘/VV+어/EF


# id : NWRW1800000038.78.3.1
#1. 남자는 소설을 읽고 있다.

#1.	#/SW+1/SN+./SF
남자는	남자/NNG+는/JX
소설을	소설/NNG+을/JKO
읽고	읽/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.78.3.2
알몸에 남자 와이셔츠만 걸친 여자가 은근한 눈길을 보내도, 여자가 몸을 만져도 남자는 꿈쩍도 하지 않는다.

알몸에	알몸/NNG+에/JKB
남자	남자/NNG
와이셔츠만	와이셔츠/NNG+만/JX
걸친	걸치/VV+ㄴ/ETM
여자가	여자/NNG+가/JKS
은근한	은근/NNG+하/XSA+ㄴ/ETM
눈길을	눈길/NNG+을/JKO
보내도,	보내/VV+어도/EC+,/SP
몸을	몸/NNG+을/JKO
만져도	만지/VV+어도/EC
남자는	남자/NNG+는/JX
꿈쩍도	꿈쩍/MAG+도/JX
하지	하/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000038.78.3.3
대관절 무슨 책이길래.

대관절	대관절/MAG
무슨	무슨/MMD
책이길래.	책/NNG+이/VCP+길래/EC+./SF


# id : NWRW1800000038.78.3.4
결국 끝까지 보게 된다.

결국	결국/MAG
끝까지	끝/NNG+까지/JX
보게	보/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.78.3.5
마지막에 눈에 들어오는 소설 제목 '그림자 밟기'.

마지막에	마지막/NNG+에/JKB
눈에	눈/NNG+에/JKB
들어오는	들어오/VV+는/ETM
소설	소설/NNG
제목	제목/NNG
'그림자	'/SS+그림자/NNG
밟기'.	밟/VV+기/ETN+'/SS+./SF


# id : NWRW1800000038.78.4.1
#2. 지난달 말부터 이달 초까지 지하철 강남역·신촌역 등에서는 정체불명의 카드가 배포됐다.

#2.	#/SW+2/SN+./SF
지난달	지난달/NNG
말부터	말/NNB+부터/JX
이달	이달/NNG
초까지	초/NNB+까지/JX
지하철	지하철/NNG
강남역·신촌역	강남역/NNP+·/SP+신촌역/NNP
등에서는	등/NNB+에서/JKB+는/JX
정체불명의	정체불명/NNG+의/JKG
카드가	카드/NNG+가/JKS
배포됐다.	배포/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.78.4.2
술집 명함을 빼닮은 이 카드엔 늘씬한 여성의 실루엣과 함께 '소문의 여자'라고 적혀 있다.

술집	술집/NNG
명함을	명함/NNG+을/JKO
빼닮은	빼닮/VV+은/ETM
이	이/MMD
카드엔	카드/NNG+에/JKB+ㄴ/JX
늘씬한	늘씬하/VA+ㄴ/ETM
여성의	여성/NNG+의/JKG
실루엣과	실루엣/NNG+과/JKB
함께	함께/MAG
'소문의	'/SS+소문/NNG+의/JKG
여자'라고	여자/NNG+'/SS+라고/JKQ
적혀	적히/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.78.4.3
광화문·강남의 오피스 빌딩에도 '소문의 여자'라는 스티커가 붙었다.

광화문·강남의	광화문/NNP+·/SP+강남/NNP+의/JKG
오피스	오피스/NNG
빌딩에도	빌딩/NNG+에/JKB+도/JX
'소문의	'/SS+소문/NNG+의/JKG
여자'라는	여자/NNG+'/SS+이/VCP+라는/ETM
스티커가	스티커/NNG+가/JKS
붙었다.	붙/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.78.4.4
아무런 설명도 없으니 인터넷 검색창에 '소문의 여자'를 입력할 수밖에.

아무런	아무런/MMD
설명도	설명/NNG+도/JX
없으니	없/VA+으니/EC
인터넷	인터넷/NNG
검색창에	검색창/NNG+에/JKB
'소문의	'/SS+소문/NNG+의/JKG
여자'를	여자/NNG+'/SS+를/JKO
입력할	입력/NNG+하/XSV+ㄹ/ETM
수밖에.	수/NNB+밖에/JX+./SF


# id : NWRW1800000038.78.5.1
책 광고가 섹시해진다.

책	책/NNG
광고가	광고/NNG+가/JKS
섹시해진다.	섹시/NNG+하/XSA+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.78.5.2
동영상은 7월에 출간될 미야베 미유키의 단편집 '그림자 밟기'(북스피어)를, 카드와 스티커는 오쿠다 히데오의 신작 소설 '소문의 여자'(리더스북)를 홍보하는 장치다.

동영상은	동영상/NNG+은/JX
7월에	7/SN+월/NNB+에/JKB
출간될	출간/NNG+되/XSV+ㄹ/ETM
미야베	미야베/NNP
미유키의	미유키/NNP+의/JKG
단편집	단편집/NNG
'그림자	'/SS+그림자/NNG
밟기'(북스피어)를,	밟/VV+기/ETN+'/SS+(/SS+북스피어/NNP+)/SS+를/JKO+,/SP
카드와	카드/NNG+와/JC
스티커는	스티커/NNG+는/JX
오쿠다	오쿠다/NNP
히데오의	히데오/NNP+의/JKG
신작	신작/NNG
소설	소설/NNG
'소문의	'/SS+소문/NNG+의/JKG
여자'(리더스북)를	여자/NNG+'/SS+(/SS+리더스북/NNP+)/SS+를/JKO
홍보하는	홍보/NNG+하/XSV+는/ETM
장치다.	장치/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.78.5.3
'그림자 밟기' 동영상 속 남자는 이 장르소설을 펴낸 출판사 김홍민 사장이다.

'그림자	'/SS+그림자/NNG
밟기'	밟/VV+기/ETN+'/SS
동영상	동영상/NNG
속	속/NNG
남자는	남자/NNG+는/JX
이	이/MMD
장르소설을	장르/NNG+소설/NNG+을/JKO
펴낸	펴내/VV+ㄴ/ETM
출판사	출판사/NNG
김홍민	김홍민/NNP
사장이다.	사장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.78.5.4
이 사장님은 말한다.

이	이/MMD
사장님은	사장/NNG+님/XSN+은/JX
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.78.5.5
"'차~암 좋은데 어떻게 표현할 방법이 없네'라고 말하는 천호식품 광고에서 영감을 받았다"고.

"'차~암	"/SS+'/SS+차~암/NA
좋은데	좋/VA+은데/EC
어떻게	어떻/VA+게/EC
표현할	표현/NNG+하/XSV+ㄹ/ETM
방법이	방법/NNG+이/JKS
없네'라고	없/VA+네/EF+'/SS+라고/JKQ
말하는	말/NNG+하/XSV+는/ETM
천호식품	천호식품/NNP
광고에서	광고/NNG+에서/JKB
영감을	영감/NNG+을/JKO
받았다"고.	받/VV+았/EP+다/EF+"/SS+고/JKQ+./SF


# id : NWRW1800000038.78.5.6
"책에 대한 믿음을 주면서 엄숙하지 않고 섹시한 광고 좀 해보고 싶었다"고.

"책에	"/SS+책/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
믿음을	믿음/NNG+을/JKO
주면서	주/VV+면서/EC
엄숙하지	엄숙하/VA+지/EC
않고	않/VX+고/EC
섹시한	섹시/NNG+하/XSA+ㄴ/ETM
광고	광고/NNG
좀	좀/MAG
해보고	하/VV+아/EC+보/VX+고/EC
싶었다"고.	싶/VX+었/EP+다/EF+"/SS+고/JKQ+./SF


# id : NWRW1800000038.78.6.1
◇띠지보다 싼 광고?

◇띠지보다	◇/SW+띠지/NNG+보다/JKB
싼	싸/VA+ㄴ/ETM
광고?	광고/NNG+?/SF


# id : NWRW1800000038.78.7.1
책 2000부에 띠지를 두르는 데 드는 비용은 20만원.

책	책/NNG
2000부에	2000/SN+부/NNB+에/JKB
띠지를	띠지/NNG+를/JKO
두르는	두르/VV+는/ETM
데	데/NNB
드는	들/VV+는/ETM
비용은	비용/NNG+은/JX
20만원.	20/SN+만/NR+원/NNB+./SF


# id : NWRW1800000038.78.7.2
북스피어의 섹시한 책 광고는 촬영장 구하는 데 10만원을 쓰고, 나머지는 자원봉사로 해결했다.

북스피어의	북스피어/NNP+의/JKG
섹시한	섹시/NNG+하/XSA+ㄴ/ETM
책	책/NNG
광고는	광고/NNG+는/JX
촬영장	촬영장/NNG
구하는	구하/VV+는/ETM
데	데/NNB
10만원을	10/SN+만/NR+원/NNB+을/JKO
쓰고,	쓰/VV+고/EC+,/SP
나머지는	나머지/NNG+는/JX
자원봉사로	자원봉사/NNG+로/JKB
해결했다.	해결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.78.7.3
김홍민 사장은 지난 3월 북스피어 소식지에 섹시 광고 1탄을 실은 적이 있다.

김홍민	김홍민/NNP
사장은	사장/NNG+은/JX
지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
북스피어	북스피어/NNP
소식지에	소식지/NNG+에/JKB
섹시	섹시/NNG
광고	광고/NNG
1탄을	1/SN+탄/NNB+을/JKO
실은	싣/VV+은/ETM
적이	적/NNB+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.78.7.4
반라(半裸)의 여성이 무릎에 누워 있는데도 소설 '눈의 아이'에 몰입한 풍경.

반라(半裸)의	반라/NNG+(/SS+半裸/SH+)/SS+의/JKG
여성이	여성/NNG+이/JKS
무릎에	무릎/NNG+에/JKB
누워	눕/VV+어/EC
있는데도	있/VX+는데/EC+도/JX
소설	소설/NNG
'눈의	'/SS+눈/NNG+의/JKG
아이'에	아이/NNG+'/SS+에/JKB
몰입한	몰입/NNG+하/XSV+ㄴ/ETM
풍경.	풍경/NNG+./SF


# id : NWRW1800000038.78.7.5
이들 뒤로 벌겋게 '그거보다 재밌다'고 적혀 있었다.

이들	이/NP+들/XSN
뒤로	뒤/NNG+로/JKB
벌겋게	벌겋/VA+게/EC
'그거보다	'/SS+그거/NP+보다/JKB
재밌다'고	재밌/VA+다/EF+'/SS+고/JKQ
적혀	적히/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.78.8.1
이번엔 파급력이 더 센 동영상이다.

이번엔	이번/NNG+에/JKB+ㄴ/JX
파급력이	파급력/NNG+이/JKS
더	더/MAG
센	세/VA+ㄴ/ETM
동영상이다.	동영상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.78.8.2
독자는 7월 초 나올 이 출판사의 앱 '르 지라시'에서 '그림자 밟기' 광고 영상(20초)을 볼 수 있다.

독자는	독자/NNG+는/JX
7월	7/SN+월/NNB
초	초/NNB
나올	나오/VV+ㄹ/ETM
이	이/MMD
출판사의	출판사/NNG+의/JKG
앱	앱/NNG
'르	'/SS+르/NNP
지라시'에서	지라시/NNP+'/SS+에서/JKB
'그림자	'/SS+그림자/NNG
밟기'	밟/VV+기/ETN+'/SS
광고	광고/NNG
영상(20초)을	영상/NNG+(/SS+20/SN+초/NNB+)/SS+을/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.78.8.3
촬영을 위해 2주간 저녁을 거르고 운동으로 식스팩도 만들었다는 김 사장은 "기존 책 광고는 너무 진지하고 심심하다. 내가 직접 출연하면서 독자와 함께 '놀고' 싶었다"고 말했다.

촬영을	촬영/NNG+을/JKO
위해	위하/VV+아/EC
2주간	2/SN+주간/NNB
저녁을	저녁/NNG+을/JKO
거르고	거르/VV+고/EC
운동으로	운동/NNG+으로/JKB
식스팩도	식스팩/NNG+도/JX
만들었다는	만들/VV+었/EP+다는/ETM
김	김/NNP
사장은	사장/NNG+은/JX
"기존	"/SS+기존/NNG
책	책/NNG
광고는	광고/NNG+는/JX
너무	너무/MAG
진지하고	진지하/VA+고/EC
심심하다.	심심하/VA+다/EF+./SF
내가	내/NP+가/JKS
직접	직접/MAG
출연하면서	출연/NNG+하/XSV+면서/EC
독자와	독자/NNG+와/JKB
함께	함께/MAG
'놀고'	'/SS+놀/VV+고/EC+'/SS
싶었다"고	싶/VX+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.78.9.1
오쿠다 히데오 소설 '소문의 여자'는 제목만 노출하는 방식으로 신비주의 마케팅을 했다.

오쿠다	오쿠다/NNP
히데오	히데오/NNP
소설	소설/NNG
'소문의	'/SS+소문/NNG+의/JKG
여자'는	여자/NNG+'/SS+는/JX
제목만	제목/NNG+만/JX
노출하는	노출/NNG+하/XSV+는/ETM
방식으로	방식/NNG+으로/JKB
신비주의	신비주의/NNG
마케팅을	마케팅/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.78.9.2
이 책은 여성의 섹시한 뒤태로 표지를 디자인했다.

이	이/MMD
책은	책/NNG+은/JX
여성의	여성/NNG+의/JKG
섹시한	섹시/NNG+하/XSA+ㄴ/ETM
뒤태로	뒤태/NNG+로/JKB
표지를	표지/NNG+를/JKO
디자인했다.	디자인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.78.9.3
리더스북 박희연 대표는 "온라인 서점에서 '소문의 여자'가 검색어 순위 10위 안에 들고 판매 성적도 괜찮다"면서 "소설이 겨냥한 독자인 20~30대에 어필했다는 점에서 성공했다"고 자평했다.

리더스북	리더스북/NNP
박희연	박희연/NNP
대표는	대표/NNG+는/JX
"온라인	"/SS+온라인/NNG
서점에서	서점/NNG+에서/JKB
'소문의	'/SS+소문/NNG+의/JKG
여자'가	여자/NNG+'/SS+가/JKS
검색어	검색어/NNG
순위	순위/NNG
10위	10/SN+위/NNB
안에	안/NNG+에/JKB
들고	들/VV+고/EC
판매	판매/NNG
성적도	성적/NNG+도/JX
괜찮다"면서	괜찮/VA+다/EF+"/SS+면서/EC
"소설이	"/SS+소설/NNG+이/JKS
겨냥한	겨냥/NNG+하/XSV+ㄴ/ETM
독자인	독자/NNG+이/VCP+ㄴ/ETM
20~30대에	20/SN+~/SO+30/SN+대/NNB+에/JKB
어필했다는	어필/NNG+하/XSV+았/EP+다는/ETM
점에서	점/NNG+에서/JKB
성공했다"고	성공/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
자평했다.	자평/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.78.10.1
◇섹시하면 더 팔린다

◇섹시하면	◇/SW+섹시/NNG+하/XSA+면/EC
더	더/MAG
팔린다	팔리/VV+ㄴ다/EF


# id : NWRW1800000038.78.11.1
인간의 뇌는 몇몇 원시적 충동에 민감하다.

인간의	인간/NNG+의/JKG
뇌는	뇌/NNG+는/JX
몇몇	몇몇/NR
원시적	원시/NNG+적/XSN
충동에	충동/NNG+에/JKB
민감하다.	민감/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000038.78.11.2
대표적인 것이 음식과 번식.

대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
것이	것/NNB+이/JKS
음식과	음식/NNG+과/JC
번식.	번식/NNG+./SF


# id : NWRW1800000038.78.11.3
1885년 에로틱한 여성 이미지를 넣은 비누 광고가 성공한 이후 섹시한 광고는 술, 패션, 향수, 자동차업계에서 100년 넘게 상품 판매의 중요한 도구가 됐다.

1885년	1885/SN+년/NNB
에로틱한	에로틱/NNG+하/XSA+ㄴ/ETM
여성	여성/NNG
이미지를	이미지/NNG+를/JKO
넣은	넣/VV+은/ETM
비누	비누/NNG
광고가	광고/NNG+가/JKS
성공한	성공/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
섹시한	섹시/NNG+하/XSA+ㄴ/ETM
광고는	광고/NNG+는/JX
술,	술/NNG+,/SP
패션,	패션/NNG+,/SP
향수,	향수/NNG+,/SP
자동차업계에서	자동차업/NNG+계/XSN+에서/JKB
100년	100/SN+년/NNB
넘게	넘/VV+게/EC
상품	상품/NNG
판매의	판매/NNG+의/JKG
중요한	중요/NNG+하/XSA+ㄴ/ETM
도구가	도구/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.78.11.4
인터넷의 등장과 함께 성적인 광고는 훨씬 더 뻔뻔해졌다.

인터넷의	인터넷/NNG+의/JKG
등장과	등장/NNG+과/JKB
함께	함께/MAG
성적인	성/NNG+적/XSN+이/VCP+ㄴ/ETM
광고는	광고/NNG+는/JX
훨씬	훨씬/MAG
더	더/MAG
뻔뻔해졌다.	뻔뻔하/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.78.12.1
그리고 이번엔 책이다.

그리고	그리고/MAJ
이번엔	이번/NNG+에/JKB+ㄴ/JX
책이다.	책/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.78.12.2
