# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.279
metadata : {}


# id : NWRW1800000022.279.1.1
[강원] 인제, DMZ평화생명교육마을 개관

[강원]	[/SS+강원/NNP+]/SS
인제,	인제/NNP+,/SP
DMZ평화생명교육마을	DMZ/SL+평화/NNG+생명/NNG+교육/NNG+마을/NNG
개관	개관/NNG


# id : NWRW1800000022.279.2.1
평화와 생명의 상징인 DMZ평화생명교육마을이 내달 문을 연다.

평화와	평화/NNG+와/JC
생명의	생명/NNG+의/JKG
상징인	상징/NNG+이/VCP+ㄴ/ETM
DMZ평화생명교육마을이	DMZ/SL+평화/NNG+생명/NNG+교육/NNG+마을/NNG+이/JKS
내달	내달/NNG
문을	문/NNG+을/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.279.3.1
인제군 서화면 서화리 831-1 일원에 조성된 DMZ평화생명교육마을은 153억원을 들여 12만4000㎡ 규모로 조성됐다.

인제군	인제군/NNP
서화면	서화면/NNP
서화리	서화리/NNP
831-1	831/SN+-/SO+1/SN
일원에	일원/NNG+에/JKB
조성된	조성/NNG+되/XSV+ㄴ/ETM
DMZ평화생명교육마을은	DMZ/SL+평화/NNG+생명/NNG+교육/NNG+마을/NNG+은/JX
153억원을	153/SN+억/NR+원/NNB+을/JKO
들여	들이/VV+어/EC
12만4000㎡	12/SN+만/NR+4000/SN+㎡/SW
규모로	규모/NNG+로/JKB
조성됐다.	조성/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.279.4.1
문화와 학술 연구를 위한 교육관과 전시관, 명상원 등의 교육시설, 100여명을 수용할 수 있는 숙박시설, 식당, 연구실과 야외에는 태극과 사람의 신체를 형상화하고 건강에 도움을 주는 식물로 꾸며진 생태체험장인 '생명살림 오행동산'을 갖췄다.

문화와	문화/NNG+와/JC
학술	학술/NNG
연구를	연구/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
교육관과	교육관/NNG+과/JC
전시관,	전시관/NNG+,/SP
명상원	명상원/NNG
등의	등/NNB+의/JKG
교육시설,	교육/NNG+시설/NNG+,/SP
100여명을	100/SN+여/XSN+명/NNB+을/JKO
수용할	수용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
숙박시설,	숙박/NNG+시설/NNG+,/SP
식당,	식당/NNG+,/SP
연구실과	연구실/NNG+과/JC
야외에는	야외/NNG+에/JKB+는/JX
태극과	태극/NNG+과/JC
사람의	사람/NNG+의/JKG
신체를	신체/NNG+를/JKO
형상화하고	형상/NNG+화/XSN+하/XSV+고/EC
건강에	건강/NNG+에/JKB
도움을	도움/NNG+을/JKO
주는	주/VV+는/ETM
식물로	식물/NNG+로/JKB
꾸며진	꾸미/VV+어/EC+지/VX+ㄴ/ETM
생태체험장인	생태/NNG+체험장/NNG+이/VCP+ㄴ/ETM
'생명살림	'/SS+생명/NNG+살림/NNG
오행동산'을	오행/NNG+동산/NNG+'/SS+을/JKO
갖췄다.	갖추/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.279.5.1
98%의 공정률을 보이고 있는 생태체험코스와 조경 정비가 마무리되면 다음달 중순 개관식을 갖고 본격적인 운영에 들어간다.

98%의	98/SN+%/SW+의/JKG
공정률을	공정/NNG+률/XSN+을/JKO
보이고	보이/VV+고/EC
있는	있/VX+는/ETM
생태체험코스와	생태/NNG+체험/NNG+코스/NNG+와/JC
조경	조경/NNG
정비가	정비/NNG+가/JKS
마무리되면	마무리/NNG+되/XSV+면/EC
다음달	다음/NNG+달/NNG
중순	중순/NNG
개관식을	개관식/NNG+을/JKO
갖고	갖/VV+고/EC
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
운영에	운영/NNG+에/JKB
들어간다.	들어가/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.279.6.1
교육마을은 제4땅굴과 을지전망대 등의 안보교육자원과 대암산용늪, 향로봉 등의 환경생태자원, 백담사 등 문화자원이 근거리에 위치하고 있어 평화·안보·생태체험교육 공간으로 널리 활용될 것으로 예상된다.

교육마을은	교육/NNG+마을/NNG+은/JX
제4땅굴과	제/XPN+4/SN+땅굴/NNG+과/JC
을지전망대	을지전망대/NNP
등의	등/NNB+의/JKG
안보교육자원과	안보/NNG+교육/NNG+자원/NNG+과/JC
대암산용늪,	대암산용늪/NNP+,/SP
향로봉	향로봉/NNP
환경생태자원,	환경/NNG+생태/NNG+자원/NNG+,/SP
백담사	백담사/NNP
등	등/NNB
문화자원이	문화/NNG+자원/NNG+이/JKS
근거리에	근거리/NNG+에/JKB
위치하고	위치/NNG+하/XSV+고/EC
있어	있/VX+어/EC
평화·안보·생태체험교육	평화/NNG+·/SP+안보/NNG+·/SP+생태/NNG+체험/NNG+교육/NNG
공간으로	공간/NNG+으로/JKB
널리	널리/MAG
활용될	활용/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


