# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.55
metadata : {}


# id : NWRW1800000054.55.1.1
봄 맞아 꽃피우네, 낭송 문학

봄	봄/NNG
맞아	맞/VV+아/EC
꽃피우네,	꽃피우/VV+네/EF+,/SP
낭송	낭송/NNG
문학	문학/NNG


# id : NWRW1800000054.55.2.1
100인의 배우 근현대소설 낭송, 오디오북 시리즈 100편 완간 '낭송 Q시리즈…' 4권도 나와

100인의	100/SN+인/NNG+의/JKG
배우	배우/NNG
근현대소설	근현대/NNG+소설/NNG
낭송,	낭송/NNG+,/SP
오디오북	오디오북/NNG
시리즈	시리즈/NNG
100편	100/SN+편/NNB
완간	완간/NNG
'낭송	'/SS+낭송/NNG
Q시리즈…'	Q/SL+시리즈/NNG+…/SE+'/SS
4권도	4/SN+권/NNB+도/JX
나와	나오/VV+아/EF


# id : NWRW1800000054.55.3.1
낭송(朗誦) 문학이 새봄을 맞아 활기를 띠고 있다.

낭송(朗誦)	낭송/NNG+(/SS+朗誦/SH+)/SS
문학이	문학/NNG+이/JKS
새봄을	새봄/NNG+을/JKO
맞아	맞/VV+아/EC
활기를	활기/NNG+를/JKO
띠고	띠/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.55.4.1
연극배우들이 한국 근현대 소설을 낭송한 오디오 북 '100인의 배우, 우리 문학을 읽다' 시리즈 100편이 이번 주 완간됐다.

연극배우들이	연극배우/NNG+들/XSN+이/JKS
한국	한국/NNP
근현대	근현대/NNG
소설을	소설/NNG+을/JKO
낭송한	낭송/NNG+하/XSV+ㄴ/ETM
오디오	오디오/NNG
북	북/NNG
'100인의	'/SS+100/SN+인/NNG+의/JKG
배우,	배우/NNG+,/SP
우리	우리/NP
문학을	문학/NNG+을/JKO
읽다'	읽/VV+다/EF+'/SS
시리즈	시리즈/NNG
100편이	100/SN+편/NNB+이/JKS
이번	이번/NNG
주	주/NNG
완간됐다.	완간/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.55.4.2
한국 민담과 설화를 낭송하기 위한 책 '낭송 Q시리즈 민담·설화' 4권도 한꺼번에 나왔다.

한국	한국/NNP
민담과	민담/NNG+과/JC
설화를	설화/NNG+를/JKO
낭송하기	낭송/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
책	책/NNG
'낭송	'/SS+낭송/NNG
Q시리즈	Q/SL+시리즈/NNG
민담·설화'	민담/NNG+·/SP+설화/NNG+'/SS
4권도	4/SN+권/NNB+도/JX
한꺼번에	한꺼번에/MAG
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.55.5.1
'100인의 배우…' 오디오 북 100편은 한국연극인복지재단과 EBS, 커뮤니케이션북스 출판사가 2014년부터 제작하기 시작해 이번에 마무리를 지은 것.

'100인의	'/SS+100/SN+인/NNG+의/JKG
배우…'	배우/NNG+…/SE+'/SS
오디오	오디오/NNG
북	북/NNG
100편은	100/SN+편/NNB+은/JX
한국연극인복지재단과	한국연극인복지재단/NNP+과/JC
EBS,	EBS/SL+,/SP
커뮤니케이션북스	커뮤니케이션북스/NNP
출판사가	출판사/NNG+가/JKS
2014년부터	2014/SN+년/NNB+부터/JX
제작하기	제작/NNG+하/XSV+기/ETN
시작해	시작/NNG+하/XSV+아/EC
이번에	이번/NNG+에/JKB
마무리를	마무리/NNG+를/JKO
지은	짓/VV+은/ETM
것.	것/NNB+./SF


# id : NWRW1800000054.55.5.2
민담과 설화 낭송 책은 고전문학평론가 고미숙씨가 낭송을 통해 '책이 곧 몸이다'라는 것을 익히자는 뜻으로 기획한 뒤 경기도·경상남도·경상북도·제주도 4곳의 옛이야기를 채록하고 편집해 북드라망 출판사에서 펴냈다.

민담과	민담/NNG+과/JC
설화	설화/NNG
낭송	낭송/NNG
책은	책/NNG+은/JX
고전문학평론가	고전/NNG+문학/NNG+평론가/NNG
고미숙씨가	고미숙/NNP+씨/NNB+가/JKS
낭송을	낭송/NNG+을/JKO
통해	통하/VV+아/EC
'책이	'/SS+책/NNG+이/JKS
곧	곧/MAG
몸이다'라는	몸/NNG+이/VCP+다/EF+'/SS+이/VCP+라는/ETM
것을	것/NNB+을/JKO
익히자는	익히/VV+자는/ETM
뜻으로	뜻/NNG+으로/JKB
기획한	기획/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
경기도·경상남도·경상북도·제주도	경기도/NNP+·/SP+경상남도/NNP+·/SP+경상북도/NNP+·/SP+제주도/NNP
4곳의	4/SN+곳/NNG+의/JKG
옛이야기를	옛이야기/NNG+를/JKO
채록하고	채록/NNG+하/XSV+고/EC
편집해	편집/NNG+하/XSV+아/EC
북드라망	북드라망/NNP
출판사에서	출판사/NNG+에서/JKB
펴냈다.	펴내/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.55.5.3
'낭송 Q'시리즈는 동양 고전 '논어' 등을 펴낸 데 이어 이번엔 한국 민담과 설화에도 도전한 것.

'낭송	'/SS+낭송/NNG
Q'시리즈는	Q/SL+'/SS+시리즈/NNG+는/JX
동양	동양/NNG
고전	고전/NNG
'논어'	'/SS+논어/NNP+'/SS
등을	등/NNB+을/JKO
펴낸	펴내/VV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
이번엔	이번/NNG+에/JKB+ㄴ/JX
한국	한국/NNP
민담과	민담/NNG+과/JC
설화에도	설화/NNG+에/JKB+도/JX
도전한	도전/NNG+하/XSV+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000054.55.6.1
'100인의 배우…' 오디오 북 100편은 1910년대부터 1980년대까지 한국 소설 명작을 연극배우들이 녹음해 EBS 라디오를 통해 방송한 것으로, 스마트폰 앱을 통해 권당 990원에 다운로드할 수 있도록 했다.

'100인의	'/SS+100/SN+인/NNG+의/JKG
배우…'	배우/NNG+…/SE+'/SS
오디오	오디오/NNG
북	북/NNG
100편은	100/SN+편/NNB+은/JX
1910년대부터	1910/SN+년대/NNB+부터/JX
1980년대까지	1980/SN+년대/NNB+까지/JX
한국	한국/NNP
소설	소설/NNG
명작을	명작/NNG+을/JKO
연극배우들이	연극배우/NNG+들/XSN+이/JKS
녹음해	녹음/NNG+하/XSV+아/EC
EBS	EBS/SL
라디오를	라디오/NNG+를/JKO
통해	통하/VV+아/EC
방송한	방송/NNG+하/XSV+ㄴ/ETM
것으로,	것/NNB+으로/JKB+,/SP
스마트폰	스마트폰/NNG
앱을	앱/NNG+을/JKO
권당	권/NNB+당/XSN
990원에	990/SN+원/NNB+에/JKB
다운로드할	다운로드/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.55.7.1
김유정의 '동백꽃', 이상의 '날개', 이효석의 '메밀꽃 필 무렵', 김동리의 '무녀도', 황순원의 '목넘이 마을의 개', 김승옥의 '무진기행', 최인호의 '타인의 방', 황석영의 '삼포 가는 길', 김주영의 '도둑견습', 오정희의 '중국인 거리', 서영은의 '먼 그대', 임철우의 '사평역', 이창동의 '소지', 양귀자의 '원미동 시인' 등이 배우들의 음성으로 전달된다.

김유정의	김유정/NNP+의/JKG
'동백꽃',	'/SS+동백꽃/NNP+'/SS+,/SP
이상의	이상/NNP+의/JKG
'날개',	'/SS+날개/NNP+'/SS+,/SP
이효석의	이효석/NNP+의/JKG
'메밀꽃	'/SS+메밀꽃/NNG
필	피/VV+ㄹ/ETM
무렵',	무렵/NNB+'/SS+,/SP
김동리의	김동리/NNP+의/JKG
'무녀도',	'/SS+무녀도/NNP+'/SS+,/SP
황순원의	황순원/NNP+의/JKG
'목넘이	'/SS+목넘이/NNP
마을의	마을/NNG+의/JKG
개',	개/NNG+'/SS+,/SP
김승옥의	김승옥/NNP+의/JKG
'무진기행',	'/SS+무진기행/NNP+'/SS+,/SP
최인호의	최인호/NNP+의/JKG
'타인의	'/SS+타인/NNG+의/JKG
방',	방/NNG+'/SS+,/SP
황석영의	황석영/NNP+의/JKG
'삼포	'/SS+삼포/NNP
가는	가/VV+는/ETM
길',	길/NNG+'/SS+,/SP
김주영의	김주영/NNP+의/JKG
'도둑견습',	'/SS+도둑견습/NNP+'/SS+,/SP
오정희의	오정희/NNP+의/JKG
'중국인	'/SS+중국인/NNG
거리',	거리/NNG+'/SS+,/SP
서영은의	서영은/NNP+의/JKG
'먼	'/SS+멀/VA+ㄴ/ETM
그대',	그대/NP+'/SS+,/SP
임철우의	임철우/NNP+의/JKG
'사평역',	'/SS+사평역/NNP+'/SS+,/SP
이창동의	이창동/NNP+의/JKG
'소지',	'/SS+소지/NNP+'/SS+,/SP
양귀자의	양귀자/NNP+의/JKG
'원미동	'/SS+원미동/NNP
시인'	시인/NNG+'/SS
등이	등/NNB+이/JKS
배우들의	배우/NNG+들/XSN+의/JKG
음성으로	음성/NNG+으로/JKB
전달된다.	전달/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.55.7.2
참가 배우들은 박정자, 강부자, 손숙, 윤석화, 이호재, 윤주상, 유인촌, 김명곤, 문성근, 조재현, 최민식, 정진영, 문소리, 김소희 등 100명이다.

참가	참가/NNG
배우들은	배우/NNG+들/XSN+은/JX
박정자,	박정자/NNP+,/SP
강부자,	강부자/NNP+,/SP
손숙,	손숙/NNP+,/SP
윤석화,	윤석화/NNP+,/SP
이호재,	이호재/NNP+,/SP
윤주상,	윤주상/NNP+,/SP
유인촌,	유인촌/NNP+,/SP
김명곤,	김명곤/NNP+,/SP
