# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.184
metadata : {}


# id : NWRW1800000025.184.1.1
[신바람 신종교인]사찰 재정자립 시도하는 문경 대승사 철산 스님

[신바람	[/SS+신바람/NNG
신종교인]사찰	신/XPN+종교인/NNG+]/SS+사찰/NNG
재정자립	재정/NNG+자립/NNG
시도하는	시도/NNG+하/XSV+는/ETM
문경	문경/NNP
대승사	대승사/NNP
철산	철산/NNP
스님	스님/NNG


# id : NWRW1800000025.184.2.1
경북 문경시 산북면, 금강송이 빼곡한 해발 600m 산기슭.

경북	경북/NNP
문경시	문경시/NNP
산북면,	산북면/NNP+,/SP
금강송이	금강송/NNG+이/JKS
빼곡한	빼곡/MAG+하/XSA+ㄴ/ETM
해발	해발/NNG
600m	600/SN+m/SW
산기슭.	산기슭/NNG+./SF


# id : NWRW1800000025.184.2.2
녹음이 우거진 푸른 숲에 둘러싸인 대승사에선 20여 명의 스님이 하안거 중이다.

녹음이	녹음/NNG+이/JKS
우거진	우거지/VV+ㄴ/ETM
푸른	푸르/VA+ㄴ/ETM
숲에	숲/NNG+에/JKB
둘러싸인	둘러싸이/VV+ㄴ/ETM
대승사에선	대승사/NNP+에서/JKB+ㄴ/JX
20여	20/SN+여/XSN
명의	명/NNB+의/JKG
스님이	스님/NNG+이/JKS
하안거	하안거/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.184.2.3
경내는 한적하다.

경내는	경내/NNG+는/JX
한적하다.	한적하/VA+다/EF+./SF


# id : NWRW1800000025.184.3.1
24일 오후 1시를 조금 넘겨 대승사에 도착하자 종무소 앞에 백구 한 마리가 늘어지게 낮잠을 자고 있었다.

24일	24/SN+일/NNB
오후	오후/NNG
1시를	1/SN+시/NNB+를/JKO
조금	조금/MAG
넘겨	넘기/VV+어/EC
대승사에	대승사/NNP+에/JKB
도착하자	도착/NNG+하/XSV+자/EC
종무소	종무소/NNG
앞에	앞/NNG+에/JKB
백구	백구/NNG
한	한/MMN
마리가	마리/NNB+가/JKS
늘어지게	늘어지/VV+게/EC
낮잠을	낮잠/NNG+을/JKO
자고	자/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000025.184.3.2
주지인 철산 스님은 내방객들에게 손수 끓인 차를 대접하고 있었다.

주지인	주지/NNG+이/VCP+ㄴ/ETM
철산	철산/NNP
스님은	스님/NNG+은/JX
내방객들에게	내방객/NNG+들/XSN+에게/JKB
손수	손수/MAG
끓인	끓이/VV+ㄴ/ETM
차를	차/NNG+를/JKO
대접하고	대접/NNG+하/XSV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000025.184.3.3
하루에 100명이 넘는 이들이 철산 스님을 방문해 차를 얻어 마시고 간다.

하루에	하루/NNG+에/JKB
100명이	100/SN+명/NNB+이/JKS
넘는	넘/VV+는/ETM
이들이	이/NNB+들/XSN+이/JKS
철산	철산/NNP
스님을	스님/NNG+을/JKO
방문해	방문/NNG+하/XSV+아/EC
차를	차/NNG+를/JKO
얻어	얻/VV+어/EC
마시고	마시/VV+고/EC
간다.	가/VX+ㄴ다/EF+./SF


# id : NWRW1800000025.184.3.4
스님은 기자에게도 “마시고 나면 화끈거리면서 혈액순환이 잘될 겁니다”라며 세숫대야만 한 사발에 한가득 따뜻한 경옥고를 채워 내줬다.

스님은	스님/NNG+은/JX
기자에게도	기자/NNG+에게/JKB+도/JX
“마시고	“/SS+마시/VV+고/EC
나면	나/VX+면/EC
화끈거리면서	화끈거리/VV+면서/EC
혈액순환이	혈액/NNG+순환/NNG+이/JKS
잘될	잘/MAG+되/XSV+ㄹ/ETM
겁니다”라며	거/NNB+이/VCP+ㅂ니다/EF+”/SS+라며/EC
세숫대야만	세숫대야/NNG+만/JX
한	한/MMN
사발에	사발/NNG+에/JKB
한가득	한가득/MAG
따뜻한	따뜻하/VA+ㄴ/ETM
경옥고를	경옥고/NNG+를/JKO
채워	채우/VV+어/EC
내줬다.	내주/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.184.3.5
주변 사람들이 “대승사의 물고문”이라며 웃었다.

주변	주변/NNG
사람들이	사람/NNG+들/XSN+이/JKS
“대승사의	“/SS+대승사/NNP+의/JKG
물고문”이라며	물고문/NNG+”/SS+이/VCP+라며/EC
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.184.4.1
대승사는 불자들의 시주에만 의존하지 않고 산사체험 프로그램 등으로 절에 필요한 물품이나 운영 재원을 독자적으로 마련한다.

대승사는	대승사/NNP+는/JX
불자들의	불자/NNG+들/XSN+의/JKG
시주에만	시주/NNG+에/JKB+만/JX
의존하지	의존/NNG+하/XSV+지/EC
않고	않/VX+고/EC
산사체험	산사/NNG+체험/NNG
프로그램	프로그램/NNG
등으로	등/NNB+으로/JKB
절에	절/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
물품이나	물품/NNG+이나/JC
운영	운영/NNG
재원을	재원/NNG+을/JKO
독자적으로	독자/NNG+적/XSN+으로/JKB
마련한다.	마련/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.184.4.2
그 특징은 다실에서부터 고스란히 느낄 수 있었다.

그	그/MMD
특징은	특징/NNG+은/JX
다실에서부터	다실/NNG+에서부터/JKB
고스란히	고스란히/MAG
느낄	느끼/VV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000025.184.4.3
스님이 내놓는 차와 경옥고, 민들레 조청은 모두 대승사에서 만들었다.

스님이	스님/NNG+이/JKS
내놓는	내놓/VV+는/ETM
차와	차/NNG+와/JC
경옥고,	경옥고/NNG+,/SP
민들레	민들레/NNG
조청은	조청/NNG+은/JX
모두	모두/MAG
