# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.363
metadata : {}


# id : NWRW1800000048.363.1.1
[유레카] 위험 예측과 전문가 책임 / 이근영

[유레카]	[/SS+유레카/NNG+]/SS
위험	위험/NNG
예측과	예측/NNG+과/JC
전문가	전문가/NNG
책임	책임/NNG
/	//SP
이근영	이근영/NNP


# id : NWRW1800000048.363.2.1
81년 만에 다시 닥친 네팔 지진은 예견됐다고 한다.

81년	81/SN+년/NNB
만에	만/NNB+에/JKB
다시	다시/MAG
닥친	닥치/VV+ㄴ/ETM
네팔	네팔/NNP
지진은	지진/NNG+은/JX
예견됐다고	예견/NNG+되/XSV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.363.2.2
지진 위험을 예측할 과학자의 책임 한계는 어디까지일까?

지진	지진/NNG
위험을	위험/NNG+을/JKO
예측할	예측/NNG+하/XSV+ㄹ/ETM
과학자의	과학자/NNG+의/JKG
책임	책임/NNG
한계는	한계/NNG+는/JX
어디까지일까?	어디/NP+까지/JX+이/VCP+ㄹ까/EF+?/SF


# id : NWRW1800000048.363.3.1
2009년 4월6일 이탈리아 라퀼라에서 규모 6.3의 강진이 발생해 309명이 숨졌다.

2009년	2009/SN+년/NNB
4월6일	4/SN+월/NNB+6/SN+일/NNB
이탈리아	이탈리아/NNP
라퀼라에서	라퀼라/NNP+에서/JKB
규모	규모/NNG
6.3의	6/SN+./SP+3/SN+의/JKG
강진이	강진/NNG+이/JKS
발생해	발생/NNG+하/XSV+아/EC
309명이	309/SN+명/NNB+이/JKS
숨졌다.	숨지/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.363.3.2
공교롭게도 정부 자문단이 라퀼라를 방문해 큰 지진의 위험이 없다고 발표한 지 일주일 만이었다.

공교롭게도	공교롭/VA+게/EC+도/JX
정부	정부/NNG
자문단이	자문단/NNG+이/JKS
라퀼라를	라퀼라/NNP+를/JKO
방문해	방문/NNG+하/XSV+아/EC
큰	크/VA+ㄴ/ETM
지진의	지진/NNG+의/JKG
위험이	위험/NNG+이/JKS
없다고	없/VA+다고/EC
발표한	발표/NNG+하/XSV+ㄴ/ETM
지	지/NNB
일주일	일주일/NNG
만이었다.	만/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000048.363.3.3
자문단은 한 비전문가가 라돈가스 배출량으로 큰 지진을 예고해 시민을 공포에 몰아넣자 파견됐다.

자문단은	자문단/NNG+은/JX
한	한/MMN
비전문가가	비/XPN+전문가/NNG+가/JKS
라돈가스	라돈/NNG+가스/NNG
배출량으로	배출량/NNG+으로/JKB
큰	크/VA+ㄴ/ETM
지진을	지진/NNG+을/JKO
