# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.38
metadata : {}


# id : NWRW1800000048.38.1.1
금융사 고객정보 공유내역 통지 면제 논란

금융사	금융사/NNG
고객정보	고객/NNG+정보/NNG
공유내역	공유/NNG+내역/NNG
통지	통지/NNG
면제	면제/NNG
논란	논란/NNG


# id : NWRW1800000048.38.2.1
금융위, 금융지주 경쟁력 강화 방안

금융위,	금융위/NNG+,/SP
금융지주	금융/NNG+지주/NNG
경쟁력	경쟁력/NNG
강화	강화/NNG
방안	방안/NNG


# id : NWRW1800000048.38.3.1
‘고객이 누리집 조회’항목 선택 허용

‘고객이	‘/SS+고객/NNG+이/JKS
누리집	누리집/NNG
조회’항목	조회/NNG+’/SS+항목/NNG
선택	선택/NNG
허용	허용/NNG


# id : NWRW1800000048.38.4.1
“고객 부담 늘지만 통지비용 너무 커”

“고객	“/SS+고객/NNG
부담	부담/NNG
늘지만	늘/VV+지만/EC
통지비용	통지/NNG+비용/NNG
너무	너무/MAG
커”	크/VA+어/EF+”/SS


# id : NWRW1800000048.38.5.1
금융위원회가 금융지주 계열사끼리 특정 고객정보를 공유했을 때 해당 고객에게 이를 직접 알려줘야 하는 통지 의무를 사실상 없애는 개정안을 추진해 논란이 예상된다.

금융위원회가	금융/NNG+위원회/NNG+가/JKS
금융지주	금융/NNG+지주/NNG
계열사끼리	계열사/NNG+끼리/XSN
특정	특정/NNG
고객정보를	고객/NNG+정보/NNG+를/JKO
공유했을	공유/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
해당	해당/NNG
고객에게	고객/NNG+에게/JKB
이를	이/NP+를/JKO
직접	직접/MAG
알려줘야	알리/VV+어/EC+주/VX+어야/EC
하는	하/VX+는/ETM
통지	통지/NNG
의무를	의무/NNG+를/JKO
사실상	사실상/MAG
없애는	없애/VV+는/ETM
개정안을	개정안/NNG+을/JKO
추진해	추진/NNG+하/XSV+아/EC
논란이	논란/NNG+이/JKS
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.38.6.1
금융위가 22일 낸 금융지주 경쟁력 강화를 위한 제도개선 방안에는 ‘고객정보 제공내역 통지방법 다양화’라는 내용이 담겨 있다.

금융위가	금융위/NNG+가/JKS
22일	22/SN+일/NNB
낸	내/VV+ㄴ/ETM
금융지주	금융/NNG+지주/NNG
경쟁력	경쟁력/NNG
강화를	강화/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
제도개선	제도/NNG+개선/NNG
방안에는	방안/NNG+에/JKB+는/JX
‘고객정보	‘/SS+고객/NNG+정보/NNG
제공내역	제공/NNG+내역/NNG
통지방법	통지/NNG+방법/NNG
다양화’라는	다양/NNG+화/XSN+’/SS+이/VCP+라는/ETM
내용이	내용/NNG+이/JKS
담겨	담기/VV+어/EC
