# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.393
metadata : {}


# id : NWRW1800000032.393.1.1
여, 양승태 동의안 단독처리키로

여,	여/NNG+,/SP
양승태	양승태/NNP
동의안	동의안/NNG
단독처리키로	단독/NNG+처리/NNG+하/XSV+기/ETN+로/JKB


# id : NWRW1800000032.393.2.1
21일 본회의서…민주당 “조용환 찬성당론 채택 안하면 표결 불참”

21일	21/SN+일/NNB
본회의서…민주당	본회의/NNG+서/JKB+…/SE+민주당/NNP
“조용환	“/SS+조용환/NNP
찬성당론	찬성/NNG+당론/NNG
채택	채택/NNG
안하면	안/MAG+하/VV+면/EC
표결	표결/NNG
불참”	불참/NNG+”/SS


# id : NWRW1800000032.393.3.1
한나라당이 양승태 대법원장 후보자 임명동의안을 21일 국회 본회의에 상정해 단독처리하기로 했다.

한나라당이	한나라당/NNP+이/JKS
양승태	양승태/NNP
대법원장	대법원장/NNG
후보자	후보자/NNG
임명동의안을	임명/NNG+동의안/NNG+을/JKO
21일	21/SN+일/NNB
국회	국회/NNG
본회의에	본회의/NNG+에/JKB
상정해	상정/NNG+하/XSV+아/EC
단독처리하기로	단독/NNG+처리/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.393.3.2
민주당은 불참을 통보해 사법부 수장의 임명동의안이 여당만의 단독표결로 처리될 전망이다.

민주당은	민주당/NNP+은/JX
불참을	불참/NNG+을/JKO
통보해	통보/NNG+하/XSV+아/EC
사법부	사법부/NNG
수장의	수장/NNG+의/JKG
임명동의안이	임명/NNG+동의안/NNG+이/JKS
여당만의	여당/NNG+만/JX+의/JKG
단독표결로	단독/NNG+표결/NNG+로/JKB
처리될	처리/NNG+되/XSV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.393.4.1
황우여 한나라당 원내대표는 20일 국회에서 열린 국정감사대책회의에서 “이용훈 대법원장의 임기가 오는 24일로 만료(퇴임식은 23일)되기 때문에 새 사법부 수장 선출 절차를 마쳐야 한다”며 “21일 오전 10시 본회의를 열 예정이다.

황우여	황우여/NNP
한나라당	한나라당/NNP
