# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.334
metadata : {}


# id : NWRW1800000026.334.1.1
'아시아 생물공학 연합체' 문 열어;한국서 사무실 첫 개소

'아시아	'/SS+아시아/NNP
생물공학	생물/NNG+공학/NNG
연합체'	연합체/NNG+'/SS
문	문/NNG
열어;한국서	열/VV+어/EF+;/SW+한국/NNP+서/JKB
사무실	사무실/NNG
첫	첫/MMN
개소	개소/NNG


# id : NWRW1800000026.334.2.1
한국·중국·일본 등 아시아 13개국의 바이오 관련 연구자들 모임인 '아시아생물공학연합체'가 7일 인천 송도테크노파크에서 전용 사무실 개소식을 가졌다.

한국·중국·일본	한국/NNP+·/SP+중국/NNP+·/SP+일본/NNP
등	등/NNB
아시아	아시아/NNP
13개국의	13/SN+개국/NNB+의/JKG
바이오	바이오/NNG
관련	관련/NNG
연구자들	연구자/NNG+들/XSN
모임인	모임/NNG+이/VCP+ㄴ/ETM
'아시아생물공학연합체'가	'/SS+아시아생물공학연합체/NNP+'/SS+가/JKS
7일	7/SN+일/NNB
인천	인천/NNP
송도테크노파크에서	송도테크노파크/NNP+에서/JKB
전용	전용/NNG
사무실	사무실/NNG
개소식을	개소식/NNG+을/JKO
가졌다.	가지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.334.2.2
이 단체는 바이오테크놀로지 학문과 산업에 대해 서로의정보를 공유하고 인적 네트워크도 만들기 위해 2008년 중국에서 결성됐으며, 회원은 1100여명이다.

이	이/MMD
단체는	단체/NNG+는/JX
바이오테크놀로지	바이오테크놀로지/NNG
학문과	학문/NNG+과/JC
산업에	산업/NNG+에/JKB
대해	대하/VV+아/EC
서로의정보를	서로/NNG+의/JKG+정보/NNG+를/JKO
공유하고	공유/NNG+하/XSV+고/EC
인적	인/NNG+적/XSN
네트워크도	네트워크/NNG+도/JX
만들기	만들/VV+기/ETN
위해	위하/VV+아/EC
2008년	2008/SN+년/NNB
중국에서	중국/NNP+에서/JKB
결성됐으며,	결성/NNG+되/XSV+었/EP+으며/EC+,/SP
회원은	회원/NNG+은/JX
1100여명이다.	1100/SN+여/XSN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.334.2.3
사무실은 이번에 한국에 처음 마련됐다.

사무실은	사무실/NNG+은/JX
이번에	이번/NNG+에/JKB
한국에	한국/NNP+에/JKB
처음	처음/NNG
마련됐다.	마련/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.334.3.1
개소식에는 회장인 요시다(일본 오사카대) 교수와 박정극(동국대 바이오시스템대 학장) 사무총장, 임교빈 한국생물공학회 회장, 교육부장관을 지낸 조완규 전 생물산업협회장 등 100여명이 참석했다.

개소식에는	개소식/NNG+에/JKB+는/JX
회장인	회장/NNG+이/VCP+ㄴ/ETM
요시다(일본	요시다/NNP+(/SS+일본/NNP
오사카대)	오사카대/NNP+)/SS
교수와	교수/NNG+와/JC
박정극(동국대	박정극/NNP+(/SS+동국대/NNP
바이오시스템대	바이오시스템대/NNG
학장)	학장/NNG+)/SS
사무총장,	사무총장/NNG+,/SP
임교빈	임교빈/NNP
한국생물공학회	한국생물공학회/NNP
회장,	회장/NNG+,/SP
교육부장관을	교육부/NNG+장관/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
조완규	조완규/NNP
