# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.90
metadata : {}


# id : NWRW1800000045.90.1.1
[CEO&]㈜토페스, 국민의 안전과 행복 지키는 ‘가장 빛나는 눈’

[CEO&]㈜토페스,	[/SS+CEO/SL+&/SW+]/SS+㈜/SW+토페스/NNP+,/SP
국민의	국민/NNG+의/JKG
안전과	안전/NNG+과/JC
행복	행복/NNG
지키는	지키/VV+는/ETM
‘가장	‘/SS+가장/MAG
빛나는	빛나/VV+는/ETM
눈’	눈/NNG+’/SS


# id : NWRW1800000045.90.2.1
“하고 싶은 일을 남들보다 오래 해온 것이 강점입니다.

“하고	“/SS+하/VV+고/EC
싶은	싶/VX+은/ETM
일을	일/NNG+을/JKO
남들보다	남/NNG+들/XSN+보다/JKB
오래	오래/MAG
해온	하/VV+아/EC+오/VX+ㄴ/ETM
것이	것/NNB+이/JKS
강점입니다.	강점/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000045.90.2.2
국가와 사회에 꼭 필요한, 믿을 수 있는 제품을 만든다는 것에 전 직원이 자부심과 보람을 느끼고 있습니다.”

국가와	국가/NNG+와/JC
사회에	사회/NNG+에/JKB
꼭	꼭/MAG
필요한,	필요/NNG+하/XSA+ㄴ/ETM+,/SP
믿을	믿/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
제품을	제품/NNG+을/JKO
만든다는	만들/VV+ㄴ다는/ETM
것에	것/NNB+에/JKB
전	전/MMN
직원이	직원/NNG+이/JKS
자부심과	자부심/NNG+과/JC
보람을	보람/NNG+을/JKO
느끼고	느끼/VV+고/EC
있습니다.”	있/VX+습니다/EF+./SF+”/SS


# id : NWRW1800000045.90.3.1
경기 남양주에 위치한 종합 교통통제시스템 업체 ㈜토페스(www.topes.com)를 이끄는 임철규 회장은 국내 폐쇄회로(CC)TV 업계의 산증인이다.

경기	경기/NNP
남양주에	남양주/NNP+에/JKB
위치한	위치/NNG+하/XSV+ㄴ/ETM
종합	종합/NNG
교통통제시스템	교통/NNG+통제/NNG+시스템/NNG
업체	업체/NNG
㈜토페스(www.topes.com)를	㈜/SW+토페스/NNP+(/SS+www/SL+./SP+topes/SL+./SP+com/SL+)/SS+를/JKO
이끄는	이끌/VV+는/ETM
임철규	임철규/NNP
회장은	회장/NNG+은/JX
국내	국내/NNG
폐쇄회로(CC)TV	폐쇄/NNG+회로/NNG+(/SS+CC/SL+)/SS+TV/SL
업계의	업계/NNG+의/JKG
산증인이다.	산증인/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.90.4.1
임 회장은 1984년 창업 당시 CCTV 초기 모델인 ‘진공관 카메라’를 직접 개발하면서 100% 수입에 의존하던 산업용 CCTV를 가장 먼저 국산화했다.

임	임/NNP
회장은	회장/NNG+은/JX
1984년	1984/SN+년/NNB
창업	창업/NNG
당시	당시/NNG
CCTV	CCTV/SL
초기	초기/NNG
모델인	모델/NNG+이/VCP+ㄴ/ETM
‘진공관	‘/SS+진공관/NNG
카메라’를	카메라/NNG+’/SS+를/JKO
직접	직접/MAG
개발하면서	개발/NNG+하/XSV+면서/EC
100%	100/SN+%/SW
수입에	수입/NNG+에/JKB
의존하던	의존/NNG+하/XSV+던/ETM
산업용	산업/NNG+용/XSN
CCTV를	CCTV/SL+를/JKO
가장	가장/MAG
먼저	먼저/MAG
국산화했다.	국산/NNG+화/XSN+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.90.5.1
우리나라는 1990년대 초반만 해도 이렇다 할 교통단속 장비가 없었다.

우리나라는	우리나라/NNG+는/JX
1990년대	1990/SN+년대/NNB
초반만	초반/NNG+만/JX
해도	하/VV+아도/EC
이렇다	이렇/VA+다/EF
할	하/VV+ㄹ/ETM
교통단속	교통/NNG+단속/NNG
장비가	장비/NNG+가/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000045.90.5.2
범국가적 교통사고 감소대책이 추진되면서 대안으로 등장한 게 바로 교통 CCTV 카메라다.

범국가적	범/XPN+국가/NNG+적/XSN
교통사고	교통사고/NNG
감소대책이	감소/NNG+대책/NNG+이/JKS
추진되면서	추진/NNG+되/XSV+면서/EC
대안으로	대안/NNG+으로/JKB
등장한	등장/NNG+하/XSV+ㄴ/ETM
