# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.343
metadata : {}


# id : NWRW1800000041.343.1.1
日 반대 딛고 美에 2번째 소녀상 제막

日	日/SH
반대	반대/NNG
딛고	딛/VV+고/EC
美에	美/SH+에/JKB
2번째	2/SN+번/NNB+째/XSN
소녀상	소녀상/NNG
제막	제막/NNG


# id : NWRW1800000041.343.2.1
미시간 사우스필드서 16일 공개… 加州 풀러턴시의회 “3번째 건립”

미시간	미시간/NNP
사우스필드서	사우스필드/NNP+서/JKB
16일	16/SN+일/NNB
공개…	공개/NNG+…/SE
加州	加州/SH
풀러턴시의회	풀러턴시의회/NNP
“3번째	“/SS+3/SN+번/NNB+째/XSN
건립”	건립/NNG+”/SS


# id : NWRW1800000041.343.3.1
미국 캘리포니아 주 글렌데일 시립공원에 홀로 앉아 있는 ‘평화의 소녀상’이 외롭지 않게 됐다.

미국	미국/NNP
캘리포니아	캘리포니아/NNP
주	주/NNG
글렌데일	글렌데일/NNP
시립공원에	시립/NNG+공원/NNG+에/JKB
홀로	홀로/MAG
앉아	앉/VV+아/EC
있는	있/VX+는/ETM
‘평화의	‘/SS+평화/NNG+의/JKG
소녀상’이	소녀상/NNG+’/SS+이/JKS
외롭지	외롭/VA+지/EC
않게	않/VX+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.343.3.2
미시간 주 사우스필드 시에 또 하나의 일본군 위안부 소녀상이 설치됐고 캘리포니아 오렌지카운티의 풀러턴 시에도 조만간 소녀상이 세워질 예정이기 때문이다.

미시간	미시간/NNP
주	주/NNG
사우스필드	사우스필드/NNP
시에	시/NNG+에/JKB
또	또/MAG
하나의	하나/NR+의/JKG
일본군	일본군/NNG
위안부	위안부/NNG
소녀상이	소녀상/NNG+이/JKS
설치됐고	설치/NNG+되/XSV+었/EP+고/EC
캘리포니아	캘리포니아/NNP
오렌지카운티의	오렌지카운티/NNP+의/JKG
풀러턴	풀러턴/NNP
시에도	시/NNG+에/JKB+도/JX
조만간	조만간/MAG
세워질	세우/VV+어/EC+지/VX+ㄹ/ETM
예정이기	예정/NNG+이/VCP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.343.4.1
미시간 위안부 소녀상 건립위원회는 16일(현지 시간) 미국의 대표적 공업도시인 디트로이트 북서부에 위치한 사우스필드의 미시간 한인문화회관 앞마당에서 소녀상 제막식을 가졌다.

미시간	미시간/NNP
위안부	위안부/NNG
소녀상	소녀상/NNG
건립위원회는	건립/NNG+위원회/NNG+는/JX
16일(현지	16/SN+일/NNB+(/SS+현지/NNG
시간)	시간/NNG+)/SS
미국의	미국/NNP+의/JKG
대표적	대표/NNG+적/XSN
공업도시인	공업/NNG+도시/NNG+이/VCP+ㄴ/ETM
디트로이트	디트로이트/NNP
북서부에	북서부/NNG+에/JKB
위치한	위치/NNG+하/XSV+ㄴ/ETM
사우스필드의	사우스필드/NNP+의/JKG
한인문화회관	한인/NNG+문화/NNG+회관/NNG
앞마당에서	앞마당/NNG+에서/JKB
제막식을	제막식/NNG+을/JKO
가졌다.	가지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.343.4.2
글렌데일 소녀상에 이어 미국 내 두 번째이다.

글렌데일	글렌데일/NNP
