# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.289
metadata : {}


# id : NWRW1800000048.289.1.1
11일부터 군포 헌책방 축제

11일부터	11/SN+일/NNB+부터/JX
군포	군포/NNP
헌책방	헌책방/NNG
축제	축제/NNG


# id : NWRW1800000048.289.2.1
13일까지 중앙공원에 부스 90곳

13일까지	13/SN+일/NNB+까지/JX
중앙공원에	중앙공원/NNP+에/JKB
부스	부스/NNG
90곳	90/SN+곳/NNG


# id : NWRW1800000048.289.3.1
묵혀둔 책 팔거나 바꿀 수 있어

묵혀둔	묵히/VV+어/EC+두/VX+ㄴ/ETM
책	책/NNG
팔거나	팔/VV+거나/EC
바꿀	바꾸/VV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EF


# id : NWRW1800000048.289.4.1
“책을 통한 공유와 나눔의 경제죠.”

“책을	“/SS+책/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
공유와	공유/NNG+와/JC
나눔의	나눔/NNG+의/JKG
경제죠.”	경제/NNG+이/VCP+죠/EF+./SF+”/SS


# id : NWRW1800000048.289.5.1
9일 오후 경기도 군포시 중앙공원에서는 이틀 앞으로 다가온 ‘2015년 군포독서대전’(11~13일)에 맞춰 헌책방과 부스 90여곳, ‘책 나무’와 ‘책 우물’을 만드는 작업이 한창이다.

9일	9/SN+일/NNB
오후	오후/NNG
경기도	경기도/NNP
군포시	군포시/NNP
중앙공원에서는	중앙공원/NNP+에서/JKB+는/JX
이틀	이틀/NNG
앞으로	앞/NNG+으로/JKB
다가온	다가오/VV+ㄴ/ETM
‘2015년	‘/SS+2015/SN+년/NNB
군포독서대전’(11~13일)에	군포/NNP+독서/NNG+대전/NNG+’/SS+(/SS+11/SN+~/SO+13/SN+일/NNB+)/SS+에/JKB
맞춰	맞추/VV+어/EC
헌책방과	헌책방/NNG+과/JC
부스	부스/NNG
90여곳,	90/SN+여/XSN+곳/NNG+,/SP
‘책	‘/SS+책/NNG
나무’와	나무/NNG+’/SS+와/JC
우물’을	우물/NNG+’/SS+을/JKO
만드는	만들/VV+는/ETM
작업이	작업/NNG+이/JKS
한창이다.	한창/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.289.5.2
2.5m 높이의 ‘책 나무’를 3일째 쌓고 있는 군포시 임현주 책읽는정책팀장은 “이틀 뒤면 이곳은 헌책방 공원으로 바뀌고 어른과 아이들로 가득 찰 것”이라고 말했다.

2.5m	2/SN+./SP+5/SN+m/SW
높이의	높이/NNG+의/JKG
‘책	‘/SS+책/NNG
나무’를	나무/NNG+’/SS+를/JKO
3일째	3/SN+일/NNB+째/XSN
쌓고	쌓/VV+고/EC
있는	있/VX+는/ETM
군포시	군포시/NNP
임현주	임현주/NNP
책읽는정책팀장은	책/NNG+읽/VV+는/ETM+정책/NNG+팀장/NNG+은/JX
“이틀	“/SS+이틀/NNG
뒤면	뒤/NNG+이/VCP+면/EC
이곳은	이곳/NP+은/JX
헌책방	헌책방/NNG
공원으로	공원/NNG+으로/JKB
바뀌고	바뀌/VV+고/EC
어른과	어른/NNG+과/JC
아이들로	아이/NNG+들/XSN+로/JKB
가득	가득/MAG
찰	차/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.289.6.1
올해 5년째를 맞는 군포독서대전은 매년 40만명이 찾는 헌책방 축제다.

올해	올해/NNG
5년째를	5/SN+년/NNB+째/XSN+를/JKO
맞는	맞/VV+는/ETM
군포독서대전은	군포/NNP+독서/NNG+대전/NNG+은/JX
매년	매년/MAG
40만명이	40/SN+만/NR+명/NNB+이/JKS
찾는	찾/VV+는/ETM
헌책방	헌책방/NNG
축제다.	축제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.289.6.2
인구 1400여명의 소박한 시골마을인 영국의 헌책방 명소 ‘헤이온와이’에서 매년 5월 열리는 책 축제에 수십만명의 관광객들이 몰려드는 것처럼, 인구 29만명의 소도시인 군포시는 한국의 ‘헤이온와이’를 꿈꾼다.

인구	인구/NNG
1400여명의	1400/SN+여/XSN+명/NNB+의/JKG
소박한	소박하/VA+ㄴ/ETM
시골마을인	시골/NNG+마을/NNG+이/VCP+ㄴ/ETM
영국의	영국/NNP+의/JKG
헌책방	헌책방/NNG
명소	명소/NNG
‘헤이온와이’에서	‘/SS+헤이온와이/NNP+’/SS+에서/JKB
매년	매년/MAG
5월	5/SN+월/NNB
열리는	열리/VV+는/ETM
책	책/NNG
축제에	축제/NNG+에/JKB
수십만명의	수십만/NR+명/NNB+의/JKG
관광객들이	관광객/NNG+들/XSN+이/JKS
몰려드는	몰려들/VV+는/ETM
것처럼,	것/NNB+처럼/JKB+,/SP
29만명의	29/SN+만/NR+명/NNB+의/JKG
소도시인	소/XPN+도시/NNG+이/VCP+ㄴ/ETM
군포시는	군포시/NNP+는/JX
한국의	한국/NNP+의/JKG
‘헤이온와이’를	‘/SS+헤이온와이/NNP+’/SS+를/JKO
