# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.183
metadata : {}


# id : NWRW1800000025.183.1.1
춤추는 위안화 환율

춤추는	춤추/VV+는/ETM
위안화	위안화/NNG
환율	환율/NNG


# id : NWRW1800000025.183.2.1
21일 5년 만에 최저치까지 떨어졌던 달러당 위안화 환율이 하루 만에 큰 폭으로 반등했다.

21일	21/SN+일/NNB
5년	5/SN+년/NNB
만에	만/NNB+에/JKB
최저치까지	최저/NNG+치/XSN+까지/JX
떨어졌던	떨어지/VV+었/EP+던/ETM
달러당	달러/NNG+당/XSN
위안화	위안화/NNG
환율이	환율/NNG+이/JKS
하루	하루/NNG
큰	크/VA+ㄴ/ETM
폭으로	폭/NNG+으로/JKB
반등했다.	반등/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.183.2.2
23∼27일 캐나다 토론토에서 열리는 주요 20개국(G20) 정상회의를 앞두고 절상 추세를 이어가리라는 당초 예상을 크게 비켜간 셈이다.

23∼27일	23/SN+∼/SO+27/SN+일/NNB
캐나다	캐나다/NNP
토론토에서	토론토/NNP+에서/JKB
열리는	열리/VV+는/ETM
주요	주요/NNG
20개국(G20)	20/SN+개국/NNB+(/SS+G/SL+20/SN+)/SS
정상회의를	정상/NNG+회의/NNG+를/JKO
앞두고	앞두/VV+고/EC
절상	절상/NNG
추세를	추세/NNG+를/JKO
이어가리라는	잇/VV+어/EC+가/VX+리라는/ETM
당초	당초/NNG
예상을	예상/NNG+을/JKO
크게	크/VA+게/EC
비켜간	비키/VV+어/EC+가/VV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.183.2.3
전문가들은 중국 정부의 ‘보이지 않는 손’이 개입했을 가능성을 염두에 두고 있다.

전문가들은	전문가/NNG+들/XSN+은/JX
중국	중국/NNP
정부의	정부/NNG+의/JKG
‘보이지	‘/SS+보이/VV+지/EC
않는	않/VX+는/ETM
손’이	손/NNG+’/SS+이/JKS
개입했을	개입/NNG+하/XSV+았/EP+을/ETM
가능성을	가능/NNG+성/XSN+을/JKO
염두에	염두/NNG+에/JKB
두고	두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.183.2.4
하지만 전문가들은 당국의 영향을 받지 않는 역외 선물시장에서는 절상 추세가 계속돼 장기적으로는 위안화가 계속 절상될 것으로 내다봤다.

하지만	하지만/MAJ
전문가들은	전문가/NNG+들/XSN+은/JX
당국의	당국/NNG+의/JKG
영향을	영향/NNG+을/JKO
받지	받/VV+지/EC
않는	않/VX+는/ETM
역외	역외/NNG
선물시장에서는	선물/NNG+시장/NNG+에서/JKB+는/JX
절상	절상/NNG
추세가	추세/NNG+가/JKS
계속돼	계속/NNG+되/XSV+어/EC
장기적으로는	장기/NNG+적/XSN+으로/JKB+는/JX
위안화가	위안화/NNG+가/JKS
계속	계속/MAG
절상될	절상/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
내다봤다.	내다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.183.3.1
○ 5년 만에 최저치…하루 만에 회복

○	○/SW
5년	5/SN+년/NNB
만에	만/NNB+에/JKB
최저치…하루	최저/NNG+치/XSN+…/SE+하루/NNG
회복	회복/NNG


# id : NWRW1800000025.183.4.1
22일 상하이(上海) 외환시장에서 달러당 위안화 환율은 6.8133위안으로 마감돼 전날 떨어진 환율 폭을 대부분 회복했다.

22일	22/SN+일/NNB
상하이(上海)	상하이/NNP+(/SS+上海/SH+)/SS
외환시장에서	외환/NNG+시장/NNG+에서/JKB
달러당	달러/NNG+당/XSN
위안화	위안화/NNG
환율은	환율/NNG+은/JX
6.8133위안으로	6/SN+./SP+8133/SN+위안/NNB+으로/JKB
마감돼	마감/NNG+되/XSV+어/EC
전날	전날/NNG
떨어진	떨어지/VV+ㄴ/ETM
환율	환율/NNG
폭을	폭/NNG+을/JKO
대부분	대/XPN+부분/NNG
회복했다.	회복/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.183.4.2
18일 6.8261위안에서 21일 6.7976위안까지 떨어진 뒤 다시 올랐다.

18일	18/SN+일/NNB
6.8261위안에서	6/SN+./SP+8261/SN+위안/NNB+에서/JKB
21일	21/SN+일/NNB
6.7976위안까지	6/SN+./SP+7976/SN+위안/NNB+까지/JX
떨어진	떨어지/VV+ㄴ/ETM
뒤	뒤/NNG
다시	다시/MAG
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.183.5.1
