# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.285
metadata : {}


# id : NWRW1800000022.285.1.1
中·대만 노트북PC 업체들 "한국 시장을 잡아라";에이서·레노버·아수스 등 싸고 좋은 넷북으로 도전 AS강화, 대대적 광고까지… 국산제품과 진검승부 예고

中·대만	中/SH+·/SP+대만/NNP
노트북PC	노트북/NNG+PC/SL
업체들	업체/NNG+들/XSN
"한국	"/SS+한국/NNP
시장을	시장/NNG+을/JKO
잡아라";에이서·레노버·아수스	잡/VV+아라/EF+"/SS+;/SP+에이서/NNP+·/SP+레노버/NNP+·/SP+아수스/NNP
등	등/NNB
싸고	싸/VA+고/EC
좋은	좋/VA+은/ETM
넷북으로	넷북/NNG+으로/JKB
도전	도전/NNG
AS강화,	AS/SL+강화/NNG+,/SP
대대적	대대적/MMA
광고까지…	광고/NNG+까지/JX+…/SE
국산제품과	국산/NNG+제품/NNG+과/JKB
진검승부	진검승부/NNG
예고	예고/NNG


# id : NWRW1800000022.285.2.1
중국·대만산 노트북PC가 몰려온다.

중국·대만산	중국/NNP+·/SP+대만/NNP+산/XSN
노트북PC가	노트북/NNG+PC/SL+가/JKS
몰려온다.	몰려오/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.285.3.1
국내 노트북PC시장은 삼성전자·LG전자·TG삼보컴퓨터 등 품질과 고객 서비스를 앞세운 국산 제품이 전체의 70% 정도를 차지, '외국산 컴퓨터의 무덤'이라고 불릴 정도였다.

국내	국내/NNG
노트북PC시장은	노트북/NNG+PC/SL+시장/NNG+은/JX
삼성전자·LG전자·TG삼보컴퓨터	삼성전자/NNP+·/SP+LG전자/NNP+·/SP+TG삼보컴퓨터/NNP
등	등/NNB
품질과	품질/NNG+과/JC
고객	고객/NNG
서비스를	서비스/NNG+를/JKO
앞세운	앞세우/VV+ㄴ/ETM
국산	국산/NNG
제품이	제품/NNG+이/JKS
전체의	전체/NNG+의/JKG
70%	70/SN+%/SW
정도를	정도/NNG+를/JKO
차지,	차지/NNG+,/SP
'외국산	'/SS+외국/NNG+산/XSN
컴퓨터의	컴퓨터/NNG+의/JKG
무덤'이라고	무덤/NNG+'/SS+이라고/JKQ
불릴	불리/VV+ㄹ/ETM
정도였다.	정도/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.285.3.2
하지만 최근 에이서·레노버·아수스·MSI 등 중국·대만 업체들이 저렴하고 성능 좋은 넷북(미니 노트북PC)을 선보이며 도전장을 던졌다.

하지만	하지만/MAJ
최근	최근/NNG
에이서·레노버·아수스·MSI	에이서/NNP+·/SP+레노버/NNP+·/SP+아수스/NNP+·/SP+MSI/SL
등	등/NNB
중국·대만	중국/NNP+·/SP+대만/NNP
업체들이	업체/NNG+들/XSN+이/JKS
저렴하고	저렴하/VA+고/EC
성능	성능/NNG
좋은	좋/VA+은/ETM
넷북(미니	넷북/NNG+(/SS+미니/NNG
노트북PC)을	노트북/NNG+PC/SL+)/SS+을/JKO
선보이며	선보이/VV+며/EC
도전장을	도전장/NNG+을/JKO
던졌다.	던지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.285.3.3
특히 이들은 애프터서비스를 강화하고, 대대적인 광고활동까지 펼칠 계획이어서 국산 제품과 치열한 경쟁이 벌어질 전망이다.

특히	특히/MAG
이들은	이/NP+들/XSN+은/JX
애프터서비스를	애프터서비스/NNG+를/JKO
강화하고,	강화/NNG+하/XSV+고/EC+,/SP
대대적인	대대적/NNG+이/VCP+ㄴ/ETM
광고활동까지	광고/NNG+활동/NNG+까지/JX
펼칠	펼치/VV+ㄹ/ETM
계획이어서	계획/NNG+이/VCP+어서/EC
국산	국산/NNG
제품과	제품/NNG+과/JKB
치열한	치열/NNG+하/XSA+ㄴ/ETM
경쟁이	경쟁/NNG+이/JKS
벌어질	벌어지/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.285.4.1
◆중국·대만 대표 업체 한국 공략 시동

◆중국·대만	◆/SW+중국/NNP+·/SP+대만/NNP
대표	대표/NNG
업체	업체/NNG
한국	한국/NNP
공략	공략/NNG
시동	시동/NNG


# id : NWRW1800000022.285.5.1
세계 넷북시장의 30%를 차지하는 1위 업체 에이서가 한국에 진출했다.

세계	세계/NNG
넷북시장의	넷북/NNG+시장/NNG+의/JKG
30%를	30/SN+%/SW+를/JKO
차지하는	차지/NNG+하/XSV+는/ETM
1위	1/SN+위/NNB
업체	업체/NNG
에이서가	에이서/NNP+가/JKS
한국에	한국/NNP+에/JKB
진출했다.	진출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.285.5.2
대만 업체인 에이서는 20일 서울 프라자호텔에서 넷북 4종과 노트북PC 2종 등을 발표하고, 다음 달 초 GS홈쇼핑을 시작으로 TV홈쇼핑과 인터넷에서 본격적인 판매에 들어간다고 밝혔다.

대만	대만/NNP
업체인	업체/NNG+이/VCP+ㄴ/ETM
에이서는	에이서/NNP+는/JX
20일	20/SN+일/NNB
서울	서울/NNP
프라자호텔에서	프라자호텔/NNP+에서/JKB
넷북	넷북/NNG
4종과	4/SN+종/NNG+과/JC
노트북PC	노트북/NNG+PC/SL
2종	2/SN+종/NNG
등을	등/NNB+을/JKO
발표하고,	발표/NNG+하/XSV+고/EC+,/SP
다음	다음/NNG
달	달/NNG
초	초/NNB
GS홈쇼핑을	GS홈쇼핑/NNP+을/JKO
시작으로	시작/NNG+으로/JKB
TV홈쇼핑과	TV/SL+홈쇼핑/NNG+과/JC
인터넷에서	인터넷/NNG+에서/JKB
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
판매에	판매/NNG+에/JKB
들어간다고	들어가/VV+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.285.5.3
에이서는 넷북의 성공을 바탕으로 전체 PC시장에서도 HP와 델에 이어 3위를 달리는 업체.

에이서는	에이서/NNP+는/JX
넷북의	넷북/NNG+의/JKG
성공을	성공/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
전체	전체/NNG
PC시장에서도	PC/SL+시장/NNG+에서/JKB+도/JX
HP와	HP/SL+와/JC
델에	델/NNP+에/JKB
이어	잇/VV+어/EC
3위를	3/SN+위/NNB+를/JKO
달리는	달리/VV+는/ETM
업체.	업체/NNG+./SF


# id : NWRW1800000022.285.5.4
지난해 매출만 166억5000만달러(약 20조원)에 이른다.

지난해	지난해/NNG
매출만	매출/NNG+만/JX
166억5000만달러(약	166/SN+억/NR+5000/SN+만/NR+달러/NNB+(/SS+약/MMA
20조원)에	20/SN+조/NR+원/NNB+)/SS+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.285.6.1
같은 날 레노버도 넷북 신제품인 '아이디어패드 S10-2'를 출시한다고 밝혔다.

같은	같/VA+은/ETM
날	날/NNG
레노버도	레노버/NNP+도/JX
넷북	넷북/NNG
신제품인	신/XPN+제품/NNG+이/VCP+ㄴ/ETM
'아이디어패드	'/SS+아이디어패드/NNP
S10-2'를	S/SL+10/SN+-/SO+2/SN+'/SS+를/JKO
출시한다고	출시/NNG+하/XSV+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.285.6.2
지난 2005년 미국 IBM의 PC 부문을 인수한 중국의 대형 PC업체 레노버는 그동안 한국 시장에서 직장인들을 겨냥한 노트북PC '씽크패드' 판매에 집중했지만, 이번에 최초로 일반 소비자에게 적합한 넷북 제품을 선보인 것이다.

지난	지나/VV+ㄴ/ETM
2005년	2005/SN+년/NNB
미국	미국/NNP
IBM의	IBM/SL+의/JKG
PC	PC/SL
부문을	부문/NNG+을/JKO
인수한	인수/NNG+하/XSV+ㄴ/ETM
중국의	중국/NNP+의/JKG
대형	대형/NNG
PC업체	PC/SL+업체/NNG
레노버는	레노버/NNP+는/JX
그동안	그동안/NNG
한국	한국/NNP
시장에서	시장/NNG+에서/JKB
직장인들을	직장인/NNG+들/XSN+을/JKO
겨냥한	겨냥/NNG+하/XSV+ㄴ/ETM
노트북PC	노트북/NNG+PC/SL
'씽크패드'	'/SS+씽크패드/NNP+'/SS
판매에	판매/NNG+에/JKB
집중했지만,	집중/NNG+하/XSV+았/EP+지만/EC+,/SP
이번에	이번/NNG+에/JKB
최초로	최초/NNG+로/JKB
일반	일반/NNG
소비자에게	소비자/NNG+에게/JKB
적합한	적합/NNG+하/XSA+ㄴ/ETM
넷북	넷북/NNG
제품을	제품/NNG+을/JKO
선보인	선보이/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.285.6.3
레노버는 2대 가격으로 3대를 구입하는 예약 행사를 진행한다.

레노버는	레노버/NNP+는/JX
2대	2/SN+대/NNB
가격으로	가격/NNG+으로/JKB
3대를	3/SN+대/NNB+를/JKO
구입하는	구입/NNG+하/XSV+는/ETM
예약	예약/NNG
행사를	행사/NNG+를/JKO
진행한다.	진행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.285.7.1
MSI코리아는 하반기에 TV·극장·신문 등 다양한 매체에서 광고활동을 펼쳐 일반 소비자들에게 브랜드 알리기에 나선다고 밝혔다.

MSI코리아는	MSI코리아/NNP+는/JX
하반기에	하반기/NNG+에/JKB
TV·극장·신문	TV/SL+·/SP+극장/NNG+·/SP+신문/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
매체에서	매체/NNG+에서/JKB
광고활동을	광고/NNG+활동/NNG+을/JKO
펼쳐	펼치/VV+어/EC
일반	일반/NNG
소비자들에게	소비자/NNG+들/XSN+에게/JKB
브랜드	브랜드/NNG
알리기에	알리/VV+기/ETN+에/JKB
나선다고	나서/VV+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.285.7.2
구형 노트북을 가져오면 할인해주는 보상 판매도 한다.

구형	구형/NNG
노트북을	노트북/NNG+을/JKO
가져오면	가져오/VV+면/EC
할인해주는	할인/NNG+하/XSV+아/EC+주/VX+는/ETM
보상	보상/NNG
판매도	판매/NNG+도/JX
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.285.7.3
