# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.385
metadata : {}


# id : NWRW1800000040.385.1.1
통일장관의 부적절한 표현

통일장관의	통일/NNG+장관/NNG+의/JKG
부적절한	부적절하/VA+ㄴ/ETM
표현	표현/NNG


# id : NWRW1800000040.385.2.1
현장에서

현장에서	현장/NNG+에서/JKB


# id : NWRW1800000040.385.3.1
류길재 통일부 장관이 개성공단 사태 등 남북관계 파행에 관해 주무장관으로서 작심하고 말을 했다.

류길재	류길재/NNP
통일부	통일부/NNG
장관이	장관/NNG+이/JKS
개성공단	개성공단/NNP
사태	사태/NNG
등	등/NNB
남북관계	남북/NNP+관계/NNG
파행에	파행/NNG+에/JKB
관해	관하/VV+아/EC
주무장관으로서	주무/NNG+장관/NNG+으로서/JKB
작심하고	작심/NNG+하/XSV+고/EC
말을	말/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.385.3.2
박근혜 정부 100일을 즈음해 29일 현대경제연구원이 주최한 한반도포럼 조찬 강연에서다.

박근혜	박근혜/NNP
정부	정부/NNG
100일을	100/SN+일/NNB+을/JKO
즈음해	즈음/NNB+하/XSV+아/EC
29일	29/SN+일/NNB
현대경제연구원이	현대경제연구원/NNP+이/JKS
주최한	주최/NNG+하/XSV+ㄴ/ETM
한반도포럼	한반도/NNP+포럼/NNG
조찬	조찬/NNG
강연에서다.	강연/NNG+에서/JKB+이/VCP+다/EF+./SF


# id : NWRW1800000040.385.4.1
류 장관은 그동안 남북관계 전문가로서 교수로 있던 때에 견주어 뭔가 말하는 게 조심스럽다며 답답함을 토로하곤 했다.

류	류/NNP
장관은	장관/NNG+은/JX
그동안	그동안/NNG
남북관계	남북/NNP+관계/NNG
전문가로서	전문가/NNG+로서/JKB
교수로	교수/NNG+로/JKB
있던	있/VA+던/ETM
때에	때/NNG+에/JKB
견주어	견주/VV+어/EC
뭔가	뭐/NP+이/VCP+ㄴ가/EF
말하는	말/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
조심스럽다며	조심/NNG+스럽/XSA+다며/EC
답답함을	답답하/VA+ㅁ/ETN+을/JKO
토로하곤	토로/NNG+하/XSV+곤/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.385.4.2
그런데 이날만큼은 달랐다.

그런데	그런데/MAJ
이날만큼은	이날/NNG+만큼/JKB+은/JX
달랐다.	다르/VA+았/EP+다/EF+./SF


# id : NWRW1800000040.385.4.3
북한이 박근혜 대통령을 ‘괴뢰 대통령’ 등 원색적인 표현으로 비난하는데 왜 가만있느냐는 질책을 의식해서일까?

북한이	북한/NNP+이/JKS
박근혜	박근혜/NNP
대통령을	대통령/NNG+을/JKO
‘괴뢰	‘/SS+괴뢰/NNG
대통령’	대통령/NNG+’/SS
등	등/NNB
원색적인	원색/NNG+적/XSN+이/VCP+ㄴ/ETM
표현으로	표현/NNG+으로/JKB
