# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.311
metadata : {}


# id : NWRW1800000028.311.1.1
수억원 내고도 60살미만 입주불가…‘실버주택’ 시끌시끌

수억원	수억/NR+원/NNB
내고도	내/VV+고/EC+도/JX
60살미만	60/SN+살/NNB+미만/NNG
입주불가…‘실버주택’	입주/NNG+불가/NNG+…/SE+‘/SS+실버/NNG+주택/NNG+’/SS
시끌시끌	시끌시끌/MAG


# id : NWRW1800000028.311.2.1
정부는 노태우 정권 때인 1989년 노령화 사회에 대비한다며 ‘실버타운’ 개념인 노인복지주택을 도입했다.

정부는	정부/NNG+는/JX
노태우	노태우/NNP
정권	정권/NNG
때인	때/NNG+이/VCP+ㄴ/ETM
1989년	1989/SN+년/NNB
노령화	노령/NNG+화/XSN
사회에	사회/NNG+에/JKB
대비한다며	대비/NNG+하/XSV+ㄴ다며/EC
‘실버타운’	‘/SS+실버타운/NNG+’/SS
개념인	개념/NNG+이/VCP+ㄴ/ETM
노인복지주택을	노인/NNG+복지/NNG+주택/NNG+을/JKO
도입했다.	도입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.311.2.2
1997년 노인복지주택을 분양할 수 있도록 허용한 이래, 건설업체와 계약자들 사이의 사기 분양 논란 같은 갖가지 분쟁이 끊이질 않는다.

1997년	1997/SN+년/NNB
노인복지주택을	노인/NNG+복지/NNG+주택/NNG+을/JKO
분양할	분양/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
허용한	허용/NNG+하/XSV+ㄴ/ETM
이래,	이래/NNB+,/SP
건설업체와	건설업체/NNG+와/JC
계약자들	계약자/NNG+들/XSN
사이의	사이/NNG+의/JKG
사기	사기/NNG
분양	분양/NNG
논란	논란/NNG
같은	같/VA+은/ETM
갖가지	갖가지/NNG
분쟁이	분쟁/NNG+이/JKS
끊이질	끊이/VV+지/EC+ㄹ/JX
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000028.311.2.3
이런 갈등의 근본적인 원인은 노인복지주택이 ‘복지시설’과 ‘개인 소유 주택’이라는 양립하기 힘든 두 가지 개념이 섞여 있기 때문으로 분석된다.

이런	이런/MMD
갈등의	갈등/NNG+의/JKG
근본적인	근본/NNG+적/XSN+이/VCP+ㄴ/ETM
원인은	원인/NNG+은/JX
노인복지주택이	노인/NNG+복지/NNG+주택/NNG+이/JKS
‘복지시설’과	‘/SS+복지/NNG+시설/NNG+’/SS+과/JC
‘개인	‘/SS+개인/NNG
소유	소유/NNG
주택’이라는	주택/NNG+’/SS+이/VCP+라는/ETM
양립하기	양립/NNG+하/XSV+기/ETN
힘든	힘들/VA+ㄴ/ETM
두	두/MMN
가지	가지/NNB
개념이	개념/NNG+이/JKS
섞여	섞이/VV+어/EC
있기	있/VX+기/ETN
때문으로	때문/NNB+으로/JKB
분석된다.	분석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.311.2.4
그러나 정작 이 제도를 만든 정부는 아직 뚜렷한 해결책을 내놓지 못하고 있다.

그러나	그러나/MAJ
정작	정작/MAG
이	이/MMD
제도를	제도/NNG+를/JKO
만든	만들/VV+ㄴ/ETM
정부는	정부/NNG+는/JX
아직	아직/MAG
뚜렷한	뚜렷하/VA+ㄴ/ETM
해결책을	해결책/NNG+을/JKO
내놓지	내놓/VV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.311.2.5
노인복지주택을 둘러싼 갈등과 해결 방안은 무엇인지 살펴본다.

노인복지주택을	노인/NNG+복지/NNG+주택/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
갈등과	갈등/NNG+과/JC
해결	해결/NNG
방안은	방안/NNG+은/JX
무엇인지	무엇/NP+이/VCP+ㄴ지/EF
살펴본다.	살펴보/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.311.2.6
오는 11월 서울 마포구 상암동 한 아파트 입주를 앞둔 임아무개(57)씨는 최근 계약서를 살펴보다가 깜짝 놀랐다.

오는	오/VV+는/ETM
11월	11/SN+월/NNB
서울	서울/NNP
마포구	마포구/NNP
상암동	상암동/NNP
한	한/MMN
아파트	아파트/NNG
입주를	입주/NNG+를/JKO
앞둔	앞두/VV+ㄴ/ETM
임아무개(57)씨는	임/NNP+아무개/NP+(/SS+57/SN+)/SS+씨/NNB+는/JX
최근	최근/NNG
계약서를	계약서/NNG+를/JKO
살펴보다가	살펴보/VV+다가/EC
깜짝	깜짝/MAG
놀랐다.	놀라/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.311.2.7
주상복합 아파트인 줄 알았는데 알고 보니 60살 이상만 살 수 있는 ‘노인복지주택’이었던 것이다.

주상복합	주상/NNG+복합/NNG
아파트인	아파트/NNG+이/VCP+ㄴ/ETM
줄	줄/NNB
알았는데	알/VV+았/EP+는데/EC
알고	알/VV+고/EC
보니	보/VX+니/EC
60살	60/SN+살/NNB
이상만	이상/NNG+만/JX
살	살/VV+ㄹ/ETM
수	수/NNB
