# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.75
metadata : {}


# id : NWRW1800000033.75.1.1
[뉴욕은 지금]‘폐식용유 도둑’

[뉴욕은	[/SS+뉴욕/NNP+은/JX
지금]‘폐식용유	지금/NNG+]/SS+‘/SS+폐/XPN+식용유/NNG
도둑’	도둑/NNG+’/SS


# id : NWRW1800000033.75.2.1
불황에 길거리 폐품 절도 기승

불황에	불황/NNG+에/JKB
길거리	길거리/NNG
폐품	폐품/NNG
절도	절도/NNG
기승	기승/NNG


# id : NWRW1800000033.75.3.1
미국 뉴욕 시의 레스토랑들이 버린 폐식용유를 수거해 재활용업체에 넘기는 일을 하고 있는 트럭운전사 에디 씨는 요즘 당혹스러울 때가 한두 번이 아니다.

미국	미국/NNP
뉴욕	뉴욕/NNP
시의	시/NNG+의/JKG
레스토랑들이	레스토랑/NNG+들/XSN+이/JKS
버린	버리/VV+ㄴ/ETM
폐식용유를	폐/XPN+식용유/NNG+를/JKO
수거해	수거/NNG+하/XSV+아/EC
재활용업체에	재활용업체/NNG+에/JKB
넘기는	넘기/VV+는/ETM
일을	일/NNG+을/JKO
하고	하/VV+고/EC
있는	있/VX+는/ETM
트럭운전사	트럭/NNG+운전사/NNG
에디	에디/NNP
씨는	씨/NNB+는/JX
요즘	요즘/NNG
당혹스러울	당혹/NNG+스럽/XSA+ㄹ/ETM
때가	때/NNG+가/JKS
한두	한두/MMN
번이	번/NNB+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000033.75.3.2
폐식용유가 담긴 드럼통을 열어보면 기름이 하나도 없기 때문.

폐식용유가	폐/XPN+식용유/NNG+가/JKS
담긴	담기/VV+ㄴ/ETM
드럼통을	드럼통/NNG+을/JKO
열어보면	열/VV+어/EC+보/VX+면/EC
기름이	기름/NNG+이/JKS
하나도	하나/NR+도/JX
없기	없/VA+기/ETN
때문.	때문/NNB+./SF


# id : NWRW1800000033.75.3.3
이미 누군가가 가져가버린 것이다.

이미	이미/MAG
누군가가	누구/NP+이/VCP+ㄴ가/EF+가/JKS
가져가버린	가져가/VV+아/EC+버리/VX+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.75.3.4
그는 심지어 진공청소기로 드럼통에 담긴 폐식용유를 빼내가는 장면을 직접 목격하기도 했다.

그는	그/NP+는/JX
심지어	심지어/MAG
진공청소기로	진공청소기/NNG+로/JKB
드럼통에	드럼통/NNG+에/JKB
담긴	담기/VV+ㄴ/ETM
폐식용유를	폐/XPN+식용유/NNG+를/JKO
빼내가는	빼내/VV+어/EC+가/VX+는/ETM
장면을	장면/NNG+을/JKO
직접	직접/MAG
목격하기도	목격/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.75.4.1
기름값이 오르고 살림살이도 크게 나아질 기미를 보이지 않자 뉴욕 시에 때아닌 폐식용유 도둑들이 들끓고 있다고 뉴욕포스트가 10일 전했다.

기름값이	기름값/NNG+이/JKS
오르고	오르/VV+고/EC
살림살이도	살림살이/NNG+도/JX
크게	크/VA+게/EC
나아질	나아지/VV+ㄹ/ETM
기미를	기미/NNG+를/JKO
보이지	보이/VV+지/EC
않자	않/VX+자/EC
뉴욕	뉴욕/NNP
시에	시/NNG+에/JKB
때아닌	때/NNG+아니/VCN+ㄴ/ETM
폐식용유	폐/XPN+식용유/NNG
도둑들이	도둑/NNG+들/XSN+이/JKS
들끓고	들끓/VV+고/EC
있다고	있/VX+다고/EC
뉴욕포스트가	뉴욕포스트/NNP+가/JKS
10일	10/SN+일/NNB
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.75.4.2
폐식용유는 4년 전에는 거의 값이 나가지 않았으나 최근에는 1파운드(0.454kg)에 38센트에 이른다.

폐식용유는	폐/XPN+식용유/NNG+는/JX
4년	4/SN+년/NNB
전에는	전/NNG+에/JKB+는/JX
거의	거의/MAG
값이	값/NNG+이/JKS
나가지	나가/VV+지/EC
않았으나	않/VX+았/EP+으나/EC
최근에는	최근/NNG+에/JKB+는/JX
1파운드(0.454kg)에	1/SN+파운드/NNB+(/SS+0/SN+./SP+454/SN+kg/SW+)/SS+에/JKB
38센트에	38/SN+센트/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.75.4.3
가공 과정을 거쳐 디젤 엔진에 사용되는 바이오연료로 재활용되기 때문에 기름값이 비싼 상황에서 값어치가 높아졌다.

가공	가공/NNG
과정을	과정/NNG+을/JKO
거쳐	거치/VV+어/EC
디젤	디젤/NNG
엔진에	엔진/NNG+에/JKB
사용되는	사용/NNG+되/XSV+는/ETM
