# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.270
metadata : {}


# id : NWRW1800000029.270.1.1
연아 복귀무대 ‘반갑지 않은 손님’

연아	연아/NNP
복귀무대	복귀/NNG+무대/NNG
‘반갑지	‘/SS+반갑/VA+지/EC
않은	않/VX+은/ETM
손님’	손/NNG+님/XSN+’/SS


# id : NWRW1800000029.270.2.1
두번 오심 논란 로리올오버빌러 심판도 참가

두번	두/MMN+번/NNB
오심	오심/NNG
논란	논란/NNG
로리올오버빌러	로리올오버빌러/NNP
심판도	심판/NNG+도/JX
참가	참가/NNG


# id : NWRW1800000029.270.3.1
‘피겨 여왕’ 김연아(21·고려대)는 25일 러시아 모스크바에서 개막하는 세계선수권대회에 출전하기 위해 23일 결전지에 도착했다.

‘피겨	‘/SS+피겨/NNG
여왕’	여왕/NNG+’/SS
김연아(21·고려대)는	김연아/NNP+(/SS+21/SN+·/SP+고려대/NNP+)/SS+는/JX
25일	25/SN+일/NNB
러시아	러시아/NNP
모스크바에서	모스크바/NNP+에서/JKB
개막하는	개막/NNG+하/XSV+는/ETM
세계선수권대회에	세계/NNG+선수/NNG+권/XSN+대회/NNG+에/JKB
출전하기	출전/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
23일	23/SN+일/NNB
결전지에	결전지/NNG+에/JKB
도착했다.	도착/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.270.3.2
이번 대회는 김연아에게 호재와 악재가 공존한다.

이번	이번/NNG
대회는	대회/NNG+는/JX
김연아에게	김연아/NNP+에게/JKB
호재와	호재/NNG+와/JC
악재가	악재/NNG+가/JKS
공존한다.	공존/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.270.4.1
23일 발표된 심판진 명단에 따르면 미리암 로리올오버빌러 심판(스위스)이 여자 싱글 테크니컬 패널로 참가한다.

23일	23/SN+일/NNB
발표된	발표/NNG+되/XSV+ㄴ/ETM
심판진	심판진/NNG
명단에	명단/NNG+에/JKB
따르면	따르/VV+면/EC
미리암	미리암/NNP
로리올오버빌러	로리올오버빌러/NNP
심판(스위스)이	심판/NNG+(/SS+스위스/NNP+)/SS+이/JKS
여자	여자/NNG
싱글	싱글/NNG
테크니컬	테크니컬/NNG
패널로	패널/NNG+로/JKB
참가한다.	참가/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.270.4.2
점프의 회전수 부족 등을 판단해 감점 여부를 결정하는 테크니컬 패널에 이름을 올린 로리올오버빌러 심판은 그동안 ‘교과서 점프’라 평가받던 김연아의 연기에 감점을 줘 논란이 됐던 심판이다.

점프의	점프/NNG+의/JKG
회전수	회전수/NNG
부족	부족/NNG
등을	등/NNB+을/JKO
판단해	판단/NNG+하/XSV+아/EC
감점	감점/NNG
여부를	여부/NNG+를/JKO
결정하는	결정/NNG+하/XSV+는/ETM
테크니컬	테크니컬/NNG
패널에	패널/NNG+에/JKB
이름을	이름/NNG+을/JKO
올린	올리/VV+ㄴ/ETM
로리올오버빌러	로리올오버빌러/NNP
심판은	심판/NNG+은/JX
그동안	그동안/NNG
‘교과서	‘/SS+교과서/NNG
점프’라	점프/NNG+’/SS+이/VCP+라/EC
평가받던	평가/NNG+받/XSV+던/ETM
김연아의	김연아/NNP+의/JKG
연기에	연기/NNG+에/JKB
감점을	감점/NNG+을/JKO
줘	주/VV+어/EC
논란이	논란/NNG+이/JKC
됐던	되/VV+었/EP+던/ETM
심판이다.	심판/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.270.5.1
김연아는 2008∼2009시즌 그랑프리 3차 대회 쇼트프로그램에서 트리플 플립-트리플 토루프 콤비네이션 점프를 깔끔하게 처리했지만 플립 점프에서 ‘잘못된 에지’ 판정을 받아 0.80점이 깎였다.

김연아는	김연아/NNP+는/JX
2008∼2009시즌	2008/SN+∼/SO+2009/SN+시즌/NNG
그랑프리	그랑프리/NNG
3차	3/SN+차/NNB
대회	대회/NNG
쇼트프로그램에서	쇼트프로그램/NNG+에서/JKB
트리플	트리플/NNG
플립-트리플	플립/NNG+-/SO+트리플/NNG
토루프	토루프/NNG
콤비네이션	콤비네이션/NNG
점프를	점프/NNG+를/JKO
깔끔하게	깔끔/NNG+하/XSA+게/EC
처리했지만	처리/NNG+하/XSV+았/EP+지만/EC
플립	플립/NNG
점프에서	점프/NNG+에서/JKB
‘잘못된	‘/SS+잘못/MAG+되/XSV+ㄴ/ETM
에지’	에지/NNG+’/SS
판정을	판정/NNG+을/JKO
받아	받/VV+아/EC
0.80점이	0/SN+./SP+80/SN+점/NNB+이/JKS
깎였다.	깎이/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.270.5.2
로리올오버빌러 심판이 당시 테크니컬 패널이었다.

로리올오버빌러	로리올오버빌러/NNP
심판이	심판/NNG+이/JKS
당시	당시/NNG
테크니컬	테크니컬/NNG
