# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.412
metadata : {}


# id : NWRW1800000054.412.1.1
李총리, 방송장악 문건 만든 민주당 관련 "쓸데없는 짓 했다"

李총리,	李/SH+총리/NNG+,/SP
방송장악	방송/NNG+장악/NNG
문건	문건/NNG
만든	만들/VV+ㄴ/ETM
민주당	민주당/NNP
관련	관련/NNG
"쓸데없는	"/SS+쓸데없/VA+는/ETM
짓	짓/NNG
했다"	하/VV+았/EP+다/EF+"/SS


# id : NWRW1800000054.412.2.1
국회 대정부 질문서 밝혀

국회	국회/NNG
대정부	대정부/NNG
질문서	질문/NNG+서/JKB
밝혀	밝히/VV+어/EF


# id : NWRW1800000054.412.3.1
이낙연 국무총리는 14일 여당 당직자가 공영방송 경영진 교체와 관련한 로드맵을 담은 내부 문건을 작성한 것에 대해 "쓸데없는 짓을 했다고 생각한다"고 말했다.

이낙연	이낙연/NNP
국무총리는	국무총리/NNG+는/JX
14일	14/SN+일/NNB
여당	여당/NNG
당직자가	당직자/NNG+가/JKS
공영방송	공영/NNG+방송/NNG
경영진	경영진/NNG
교체와	교체/NNG+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
로드맵을	로드맵/NNG+을/JKO
담은	담/VV+은/ETM
내부	내부/NNG
문건을	문건/NNG+을/JKO
작성한	작성/NNG+하/XSV+ㄴ/ETM
것에	것/NNB+에/JKB
대해	대하/VV+아/EC
"쓸데없는	"/SS+쓸데없/VA+는/ETM
짓을	짓/NNG+을/JKO
했다고	하/VV+았/EP+다고/EC
생각한다"고	생각/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.412.4.1
이 총리는 이날 국회에서 열린 교육·사회·문화 분야 대정부질문에서 자유한국당 이우현 의원이 "방송 장악 문건이 나왔는데 잘된 일이냐, 잘못된 일이냐"고 묻자 이같이 말하며 "그 짓이 잘된 짓이라고 생각하지 않는다"고 했다.

이	이/NNP
총리는	총리/NNG+는/JX
이날	이날/NNG
국회에서	국회/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
교육·사회·문화	교육/NNG+·/SP+사회/NNG+·/SP+문화/NNG
분야	분야/NNG
대정부질문에서	대정부/NNG+질문/NNG+에서/JKB
자유한국당	자유한국당/NNP
이우현	이우현/NNP
의원이	의원/NNG+이/JKS
"방송	"/SS+방송/NNG
장악	장악/NNG
문건이	문건/NNG+이/JKS
나왔는데	나오/VV+았/EP+는데/EC
잘된	잘/MAG+되/XSV+ㄴ/ETM
일이냐,	일/NNG+이/VCP+냐/EF+,/SP
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
일이냐"고	일/NNG+이/VCP+냐/EF+"/SS+고/JKQ
묻자	묻/VV+자/EC
이같이	이/NP+같이/JKB
말하며	말/NNG+하/XSV+며/EC
"그	"/SS+그/MMD
짓이	짓/NNG+이/JKS
짓이라고	짓/NNG+이/VCP+라고/EC
생각하지	생각/NNG+하/XSV+지/EC
않는다"고	않/VX+는다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.412.4.2
이 의원이 "박근혜 전 대통령이 했다면 (민주당이) 당장 탄핵해야 한다고 했을 것"이라고 하자, 이 총리는 "(문건 작성자로 지목된) 전문위원실 실무자가 탄핵할 가치가 있는지 모르겠다"고 했다.

이	이/NNP
의원이	의원/NNG+이/JKS
"박근혜	"/SS+박근혜/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
했다면	하/VV+았/EP+다면/EC
(민주당이)	(/SS+민주당/NNP+이/JKS+)/SS
당장	당장/NNG
탄핵해야	탄핵/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
했을	하/VV+았/EP+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
하자,	하/VV+자/EC+,/SP
총리는	총리/NNG+는/JX
"(문건	"/SS+(/SS+문건/NNG
작성자로	작성자/NNG+로/JKB
지목된)	지목/NNG+되/XSV+ㄴ/ETM+)/SS
전문위원실	전문/NNG+위원실/NNG
실무자가	실무자/NNG+가/JKS
탄핵할	탄핵/NNG+하/XSV+ㄹ/ETM
가치가	가치/NNG+가/JKS
있는지	있/VV+는지/EF
모르겠다"고	모르/VV+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.412.4.3
이에 한국당 의원들이 웅성대기도 했다.

이에	이/NP+에/JKB
한국당	한국당/NNP
의원들이	의원/NNG+들/XSN+이/JKS
웅성대기도	웅성대/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.412.5.1
이날 대정부질문에선 자사고·외고 폐지 논란도 도마 위에 올랐다.

이날	이날/NNG
대정부질문에선	대정부/NNG+질문/NNG+에서/JKB+ㄴ/JX
자사고·외고	자사고/NNG+·/SP+외고/NNG
폐지	폐지/NNG
논란도	논란/NNG+도/JX
도마	도마/NNG
위에	위/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.412.5.2
한국당 이종배 의원이 "자사고와 외고를 폐지하는 이유가 뭔가. 현 정부 국무위원 다수가 자녀를 자사고·외고·강남 8학군에 보냈는데 '내로남불' 아니냐"고 하자, 김상곤 사회부총리 겸 교육부장관은 "폐지가 국민 다수의 의견이라 그 방향으로 정책을 추진하려고 한다"고 했다.

한국당	한국당/NNP
이종배	이종배/NNP
의원이	의원/NNG+이/JKS
"자사고와	"/SS+자사고/NNG+와/JC
외고를	외고/NNG+를/JKO
폐지하는	폐지/NNG+하/XSV+는/ETM
이유가	이유/NNG+가/JKS
뭔가.	뭐/NP+이/VCP+ㄴ가/EF+./SF
현	현/MMD
정부	정부/NNG
국무위원	국무/NNG+위원/NNG
다수가	다수/NNG+가/JKS
자녀를	자녀/NNG+를/JKO
자사고·외고·강남	자사고/NNG+·/SP+외고/NNG+·/SP+강남/NNP
8학군에	8/SN+학군/NNG+에/JKB
보냈는데	보내/VV+었/EP+는데/EC
'내로남불'	'/SS+내로남불/NNG+'/SS
아니냐"고	아니/VCN+냐/EF+"/SS+고/JKQ
하자,	하/VV+자/EC+,/SP
김상곤	김상곤/NNP
사회부총리	사회/NNG+부총리/NNG
겸	겸/NNB
교육부장관은	교육부/NNG+장관/NNG+은/JX
"폐지가	"/SS+폐지/NNG+가/JKS
국민	국민/NNG
